Year,State,Jan_humidity,Feb_humidity,Mar_humidity,Apr_humidity,May_humidity,Jun_humidity,Jul_humidity,Aug_humidity,Sep_humidity,Oct_humidity,Nov_humidity,Dec_humidity,Jan_wind,Feb_wind,Mar_wind,Apr_wind,May_wind,Jun_wind,Jul_wind,Aug_wind,Sep_wind,Oct_wind,Nov_wind,Dec_wind,Jan_uva,Feb_uva,Mar_uva,Apr_uva,May_uva,Jun_uva,Jul_uva,Aug_uva,Sep_uva,Oct_uva,Nov_uva,Dec_uva,Jan_uvb,Feb_uvb,Mar_uvb,Apr_uvb,May_uvb,Jun_uvb,Jul_uvb,Aug_uvb,Sep_uvb,Oct_uvb,Nov_uvb,Dec_uvb,Jan_eva,Feb_eva,Mar_eva,Apr_eva,May_eva,Jun_eva,Jul_eva,Aug_eva,Sep_eva,Oct_eva,Nov_eva,Dec_eva,Jan_temp,Feb_temp,Mar_temp,Apr_temp,May_temp,Jun_temp,Jul_temp,Aug_temp,Sep_temp,Oct_temp,Nov_temp,Dec_temp,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Wheat_Area,Wheat_Production,Wheat_price,Barley_Area,Barley_Production,Barley_price,Oats_Area,Oats_Production, Oats_Price ,Covid
2000,Tas,75.38,74.41,73.28,76.11,80.39,83.36,83.71,81.95,79.67,79.97,80.58,71.11,5.16,4.57,5.27,5.24,7.23,5.65,5.63,5.37,7.6,6,4.38,6.07,16.54,14.12,10.4,6.79,4.17,3.15,3.6,5.48,8.56,12.24,15.07,16.81,0.46,0.37,0.24,0.12,0.05,0.03,0.04,0.07,0.13,0.24,0.35,0.44,163.8,163.26,117.3,68.11,48.48,33.19,30.04,43.07,75.65,97.01,128.8,184.11,14.43,16.4,13.72,10.96,9.33,7.29,6.48,6.91,8.4,9.97,14.09,13.44,75.55,60.99,61.77,74.01,168.84,100.98,173.76,92.57,173.02,159.79,62.76,100.3,6.3,19.8,226.9,9.1,22.19,230.27,6.27,9.74,208.16,0
2001,Tas,73.24,71.85,77.61,76.42,80.07,83.92,82.75,82.5,81.92,80.8,79.86,77.39,4.57,4.91,5.11,5.74,4.17,6.06,4.48,6.07,5.38,5.18,5,5.11,16.33,14.58,10.28,6.97,4.34,2.92,3.76,5.24,8.46,11.83,14.78,15.71,0.46,0.4,0.24,0.13,0.06,0.03,0.04,0.06,0.14,0.22,0.33,0.4,168.29,148.62,109.5,63.43,28.87,33.82,26.88,51.58,63.3,89.35,99.78,111.33,16.07,16.38,14.3,11.1,8.05,7.87,6.83,7.27,9.74,10.23,11.24,11.58,41.38,24.63,129.78,90.8,55.2,166.13,79.44,227.66,113.28,170.69,130.97,95.22,6.6,25.6,226.9,9.67,26,230.27,6.62,12.62,208.16,0
2002,Tas,78.46,75.49,75.52,78.49,79.19,81.78,83,81.14,78.77,79.19,76.16,76.52,4.99,5.69,5.2,4.2,4.74,7.62,6.72,5.68,7.97,6.1,5.72,5.48,15.26,13.78,10.68,7.05,4.38,2.98,3.5,5.66,8.48,11.72,15.2,16.81,0.41,0.35,0.25,0.13,0.06,0.03,0.03,0.06,0.13,0.23,0.36,0.43,128.2,118.47,104.29,64.1,36.61,47.56,39.44,49.91,80.57,101.08,130.06,159.33,14.23,14.05,13.32,12.09,8.9,7.96,7.04,7.05,8.15,9.73,12.17,14.12,104.33,57.08,53.11,38.63,63.07,207.08,186.02,145.21,216.37,142.12,66.47,63.9,5.9,25.3,189.73,7.43,26.44,158.87,5.65,11.94,167.61,0
2003,Tas,72.52,73.69,78.19,80.52,84.33,83.92,83.17,81.64,79.05,78.91,76.82,76,5.31,4.55,4.76,4.72,4.84,6.58,5.91,6.74,7.65,5.72,4.91,5.53,16.98,14.68,10.2,6.74,4.17,3.07,3.5,5.29,8.66,12.05,16.21,16.68,0.46,0.37,0.23,0.12,0.05,0.03,0.03,0.06,0.13,0.22,0.38,0.43,185.94,139.62,107.13,56.91,30.4,38.69,31.27,49.82,76.31,82.19,136.69,158.11,15.68,15.37,13.28,11.12,9.82,8,6.32,7.01,6.67,8.33,12.39,14.31,67.78,18.96,103.53,116.02,97.49,180.98,159.99,221.16,228.68,90.01,26.93,78.48,7.4,25.3,245.06,8.27,21.24,273.16,3.86,7.46,201.27,0
2004,Tas,75.22,76.31,76.77,79.7,82.38,83.6,83.36,82.49,83.03,79.42,79.06,77.39,5.88,5.22,4.94,4.86,6.37,6.95,6.26,5.77,5.14,5.26,5.71,5.11,16.23,14.33,10.06,6.66,3.98,2.91,3.69,5.61,8.79,12.84,14.28,17.61,0.43,0.38,0.24,0.13,0.06,0.03,0.04,0.07,0.14,0.26,0.34,0.46,149.18,121.89,95.49,66.71,38.13,33.24,35.25,44.64,61.1,99.74,116,130.4,13.36,14.01,12.68,10.48,7.98,7.15,5.65,6.42,8.44,10.08,11.93,14.3,168.64,53.72,49.25,82.05,147.89,240.47,164.01,134.85,100.35,90.66,106.15,69.04,7.7,26.1,206.9,9.3,28.04,192.6,4.08,6.62,166.19,0
2005,Tas,76,76.92,75.98,78.97,80.02,84.89,83.19,81.72,82.86,82.02,79.17,78.02,5.55,5.29,4.81,5.41,5.89,4.36,6.28,7.08,4.87,5.51,5.31,6.51,16.08,13.47,10.29,6.52,4.26,3.21,3.6,5.26,8.4,12.06,15.3,16.26,0.43,0.35,0.24,0.12,0.06,0.03,0.04,0.06,0.12,0.23,0.35,0.42,129.76,122.5,95.81,57.28,47.04,24.79,35.34,52.4,67.83,99.4,109.96,152.03,14.84,14.09,12.37,12.11,8.95,7.08,7.42,7.71,8.52,11.21,12.63,14.13,67.07,76.63,39.91,91.59,97.29,90.31,144.71,211.23,124.83,193.81,125,174.35,7.4,30.5,213.12,7.58,27.81,212.23,4.05,9.1,153.92,0
2006,Tas,74.97,75.97,76.42,79.58,81.5,83.05,84.25,81.99,78.56,74.49,76.35,72.55,4.98,5.1,4.83,6.32,5.62,5.13,5.56,5.75,6.19,6.36,5.38,5.59,16.9,13.61,10.96,6.55,4.15,3.36,3.63,5.77,8.96,12.87,15.04,17.09,0.47,0.36,0.26,0.12,0.06,0.04,0.04,0.08,0.15,0.26,0.37,0.46,205.33,111.14,127.72,51.15,34.87,24.67,22.33,46.57,73.96,131.36,115.59,176.14,15.07,14.72,13.76,8.75,7.32,5.96,6.2,7.3,8.47,9.52,10.84,13.02,52.85,46.5,48.73,170.38,113.67,65.78,122.47,85.12,132.26,85.74,47.38,61.22,7.9,34,179.42,8.48,28.24,205.45,4.28,8.5,211.99,0
2007,Tas,76.3,78.63,74.94,77.92,82.56,81.72,83.8,82.66,80.11,77.97,77.42,74.69,5.58,4.11,5.36,4.47,6.78,4.89,5.04,6.27,6.05,6.46,4.05,5.47,15.39,14.84,10.76,7.13,4.1,3.36,3.65,5.48,8.48,12.17,16,16.62,0.44,0.4,0.26,0.14,0.06,0.03,0.04,0.06,0.13,0.23,0.37,0.43,188.1,150.91,127.75,76.98,50.81,15.04,26.08,56.04,58.94,104.3,137.49,148.59,15.53,17.21,13.79,11.71,10.86,5.08,5.91,7.52,8.28,9.69,13.28,14.7,107.88,31.38,87.32,38.28,209.78,51.81,97.79,186.91,133.01,139.06,19.85,111.78,7.2,17.7,242.94,7.47,16.17,253.59,3.57,3.43,262.4,0
2008,Tas,71.83,75.42,75.5,78.72,82.75,82.22,81.83,81.44,77.53,76.69,78.45,75.32,4.97,5.36,4.81,4.92,4.9,5.77,5.29,5.46,6.85,5.6,5.46,5.82,17.74,13.77,10.56,6.68,4.08,3.21,3.72,5.69,8.34,12.07,14.21,16.42,0.49,0.36,0.25,0.12,0.05,0.04,0.04,0.08,0.13,0.24,0.33,0.42,193.9,135.14,137.07,59.3,53.7,27.48,23.99,35.21,71.76,114.42,87.05,120.45,15.98,13.69,13.97,10.76,9.17,7.84,5.34,6.21,7.85,10.47,11.36,12.29,20.03,94.32,70.22,79.98,82.12,107.15,121.84,112.13,164.96,59.12,118.25,106.28,7.1,26.8,353.76,7.76,22.01,364.82,4.23,7.86,357.07,0
2009,Tas,72.91,76.14,78.41,79.39,81.25,87.14,83.53,82.88,82.32,79.68,80.21,75.97,5.28,4.59,5.23,5.38,5.49,4.69,6.23,7.81,6.42,4.61,4.64,5.52,16.96,14.04,10.01,6.62,4.42,3.04,3.55,5.04,7.94,12.62,14.53,16.83,0.48,0.39,0.24,0.12,0.06,0.03,0.04,0.06,0.12,0.24,0.35,0.45,232.5,105.92,83.3,60.37,56.45,25.1,36.23,53.38,55.49,73.7,109,99.8,14.8,14.56,13.6,10.87,9.13,7.26,6.33,8.05,8.69,9.8,13.53,13.72,66.44,59.45,105.65,110.49,108.92,134.05,189.33,306.7,172.26,63.81,87.16,81.45,8.6,34.9,281.79,10.59,28.52,277.91,3.75,6.49,208.95,0
2010,Tas,72.55,75.86,76.66,80.31,79.91,82.53,84.03,82.78,79.49,80.11,79.71,77.47,5.12,4.57,4.88,5.26,4.98,5.53,4.98,6.1,6.99,5.49,4.64,5.78,17.21,14.47,10.73,6.43,4.4,3.3,3.73,5.3,8.39,11.94,14.25,16.08,0.48,0.38,0.25,0.12,0.05,0.03,0.04,0.06,0.14,0.24,0.33,0.41,123.2,123.2,83.7,50.8,56.63,25.6,25.6,41,53.9,124.71,144.89,98.4,15.18,16.06,14.8,12.38,8.57,6.66,6.49,6.59,7.55,10.24,12.08,13.03,32.53,67.91,103.73,116.94,92.91,125.75,104.8,182.92,174.11,109.91,126.48,121.16,7.2,27.3,238.1,8.85,28.77,267.7,3.66,6.63,166.14,0
2011,Tas,78.24,77.47,79.06,82.84,82.48,84.7,82.69,85.6,80.41,79.83,79.31,77.63,5.31,4.87,5.49,5.04,4.99,6.3,6.62,5.62,6.07,4.76,5.43,4.29,15.49,13.13,10.37,6.75,4.27,3.16,3.47,5.07,8.63,12.02,14.77,17.5,0.44,0.36,0.25,0.12,0.06,0.03,0.03,0.07,0.13,0.23,0.34,0.45,102.3,74.4,67.4,47.2,29.4,36.2,26.1,55.96,101.74,115.01,143.85,172.39,15.27,13.93,12.81,11.24,8.02,6.9,5.67,8.87,8.61,9.95,12.39,14.14,122.81,94.95,124.2,95.5,74.76,174.07,152.63,164.04,117.79,103.68,138.07,56.59,8.1,31.9,219.44,10.89,39.06,215.06,3.37,6.96,172.52,0
2012,Tas,74.05,75.28,75.91,79.86,83.61,82.97,84.91,82.66,81.81,79.25,77.47,74.36,5.39,4.45,5.5,5.4,6.02,6.04,4.89,6.23,6.31,5.03,4.6,5.54,16.55,13.99,9.96,6.88,3.93,3.15,3.52,5.44,8.24,12.13,15.66,16.72,0.46,0.38,0.23,0.13,0.05,0.03,0.04,0.06,0.12,0.23,0.37,0.43,127.7,102.7,76.1,55.4,39.4,36.6,17.8,72.44,57.6,69.6,117.3,105.6,15.91,15.64,13.43,12.05,8.99,6.61,6.12,6.9,8.33,9.92,12.53,13.66,73.81,51.4,113.7,105.55,171.6,131.63,94.42,168.89,173.01,75.8,64.59,88.55,6.62,32.26,232.55,6.47,23.12,211.99,3.43,7.63,183.64,0
2013,Tas,72.33,75.25,75.52,76.23,81.31,82.89,83.82,82.5,81.52,77.97,80.41,78.31,5.27,4.68,5.29,5.62,5,5.28,6.01,7.23,6.06,7.18,4.96,5.36,16.62,14.82,10.74,6.69,4.33,3.25,3.37,5.15,8.31,11.7,14.38,16.12,0.45,0.39,0.25,0.12,0.06,0.03,0.04,0.07,0.14,0.24,0.34,0.43,146.2,104.9,92.2,49.7,57.16,33.8,51.39,89.2,94.92,145.8,108.8,110.1,15.11,15.97,15.58,10.83,8.75,7.35,7.19,7.11,9.32,9.89,11.1,13.53,51.63,43.51,101.93,82.35,104.01,72.53,188.85,298.69,152.81,191.33,129.07,90.9,5.99,30.44,288.77,5.1,16.52,256.17,3.67,7.4,224.54,0
2014,Tas,73.99,74.42,76.71,76.5,82.21,83.72,83.36,82.56,79.27,77.38,74.77,77.38,5.09,4.54,4.52,4.89,5.39,5.07,5.75,4.79,5.68,5.96,5.64,4.94,17.35,14.3,10.49,6.55,3.94,3.16,3.45,6.04,8.97,11.87,15.03,15.99,0.48,0.39,0.24,0.12,0.05,0.03,0.03,0.07,0.14,0.23,0.35,0.41,143,103,141.16,52,58,34.8,50.82,56.54,82.1,130.35,172.76,165.25,15.3,15.72,14.46,11.2,9.49,7.64,6.99,7.33,9.11,10.39,11.83,14.26,57.31,58,82.25,112.27,118.74,104.82,174.5,85.44,89.07,115.69,63.49,89.05,8.18,43.49,255.73,5.97,25.38,255.77,4.32,11.7,218.01,0
2015,Tas,74.95,76.17,75.64,79.09,82.13,83.5,81.71,81.25,82.13,76.39,75.19,73.83,5.64,4.75,5.84,4.53,6.92,5.81,6.39,5.76,4.45,4.63,5.7,4.97,15.91,13.93,9.94,6.89,4.07,3.18,3.63,5.7,8.85,13.19,15.39,17.97,0.42,0.37,0.22,0.13,0.05,0.03,0.04,0.07,0.15,0.28,0.37,0.47,178.76,146.2,130.64,77.03,69,36.32,21.2,30.2,77.51,149.44,143.74,208.63,14.79,15.72,11.96,10.45,8.21,6.52,5.46,5.57,8.65,11.53,12.54,15.03,112.23,34.46,119.81,41.71,196.22,108.71,121.4,142.21,58.89,20.39,72.07,67.4,8.33,44.24,268.29,5.24,16.95,270.75,3.65,6.29,267.57,0
2016,Tas,74.36,76.39,76.92,76.45,80.61,84.67,83.28,81.96,83.49,77.74,79.77,77.91,4.85,5.09,4.5,5.28,7.1,5.89,7.28,5.7,4.6,6.88,5.87,5.46,16.1,14.45,10.14,6.75,3.93,2.92,3.58,5.56,8.27,12.18,14.94,16.94,0.45,0.38,0.24,0.12,0.05,0.03,0.04,0.07,0.13,0.24,0.36,0.46,190.08,163.05,127.4,115.53,36.2,16,21.6,34.2,45.6,81.8,112.2,146.8,16.41,16.07,14.5,12.21,9.42,7.74,6.88,7.01,9.28,9.55,11.5,14.02,95.31,59.96,61.97,67.42,274.41,250.04,239.64,126.07,139.45,208.37,131.93,107.8,10.55,53.37,257.89,5.58,16.46,293.35,1.88,4.5,306.7,0
2017,Tas,75.3,73.23,78.89,77.89,81.09,82.52,81.87,80.96,79.25,79.19,78.1,75.44,5.72,5.54,4.43,4.5,5.13,5.39,5.52,5.68,6.94,5.34,4.22,6.01,17.24,14.27,11.02,6.99,4.07,3.25,3.65,5.83,8.16,12.69,16.8,16.53,0.48,0.37,0.27,0.12,0.05,0.03,0.03,0.06,0.12,0.25,0.4,0.44,168,122.8,138.8,59.8,29.4,20.4,21.6,31.6,52.2,94.2,135.8,146.2,15.22,13.37,15.58,11.65,8.71,7.2,5.5,6.19,7.18,11.34,14.28,14.83,73.42,53.73,50.91,65.21,134.85,66.7,142.08,149.52,173.68,91.77,48.56,101.79,10.31,55.78,227.51,8.12,33.43,246.25,2.63,5.26,275.38,0
2018,Tas,74.17,75.18,75.58,78.69,79.64,83.08,82.64,81.16,78.53,77.94,80.07,76.83,4.76,5.24,5.63,5.38,6.35,5.19,6.94,6.49,6.07,4.4,5.33,4.79,17.08,13.72,10.67,7,4.06,3.34,3.49,5.47,9.07,12.55,13.89,17.47,0.47,0.36,0.25,0.13,0.05,0.03,0.03,0.06,0.14,0.24,0.31,0.46,169.2,142,139.8,72.2,35.2,17.6,25.4,40.2,61,101.2,107.8,145.83,16.47,14.79,13.78,11.64,9.23,6.89,6.64,6.71,8.1,10.88,12.31,15.5,51.57,83.49,130.14,83.54,140.91,121.76,229.03,170.83,91.61,50.23,110.24,91.7,7.36,40.29,226.9,4.56,16.32,268.5,2.72,6.04,231.49,0
2019,Tas,71.47,74.63,76.22,75.49,81.86,82.74,82.5,81.36,78.72,76.89,74.45,73.81,5.32,5.71,5.18,5.98,5.81,5.69,6.91,6.57,5.68,5.16,6.85,5.83,17.95,14.11,10.37,7.22,4.13,3.18,3.6,5.57,8.94,12.71,14.65,17.24,0.5,0.37,0.24,0.13,0.05,0.03,0.03,0.06,0.12,0.24,0.35,0.45,160.83,124.84,107.96,61.52,41.48,27.53,29.43,47.26,65.62,101.39,120.78,145.83,17.01,14.65,14.06,11.13,9.14,6.86,6.84,6.47,8.37,10.27,10.84,13.62,17.23,85.42,76.42,100,142.67,121.09,222.82,149.36,105.14,62.27,131.75,92.61,7.6,40.1,226.9,6.11,27.54,339.34,2.26,5.07,411.11,0
2020,Tas,75.17,76.74,79.52,82.58,83.56,84.3,83.27,83.19,81.33,80.72,78.71,76.52,5.35,5.32,4.8,6.13,5.78,5.56,4.7,5.7,6.08,4.75,5.09,5.87,15.5,13.82,9.8,6.33,4.23,3.17,3.88,5.64,8.58,12.01,15.7,16.28,0.42,0.36,0.23,0.11,0.05,0.03,0.04,0.07,0.13,0.24,0.38,0.43,160.83,124.84,107.96,61.52,41.48,27.53,29.43,47.26,65.62,101.39,120.78,145.83,15.53,14.21,12.65,11,8.89,6.99,5.93,6.93,8.65,9.91,13.45,12.87,70.08,71.58,124.37,177.43,110.1,120.67,66.06,136.09,108.24,150.19,51.78,115.6,7.19,43.81,356.25,5.13,22.91,304.36,2.38,2.8,208.16,1
2021,Tas,75.97,76.27,77.67,78.75,79.81,85.77,84.22,81.58,78.72,82.03,79.7,73.78,5.28,4.99,5.53,6.2,5.9,4.93,5.74,6.68,6.48,5.8,4.48,5.27,16.46,14.38,10.47,7.13,4.3,3.06,3.55,5.33,8.81,11.83,15.45,18.23,0.47,0.39,0.25,0.13,0.05,0.03,0.03,0.07,0.14,0.23,0.36,0.47,160.83,124.84,107.96,61.52,41.48,27.53,29.43,47.26,65.62,101.39,120.78,145.83,14.72,14.65,13.58,11.27,8.6,7.99,6.65,7.6,8.19,10.27,11.38,13.95,75.5,94.95,107.69,102.12,99.58,115.48,178.57,151.3,138.13,201.58,79.29,33.82,10,56,291.09,7,39.2,203.98,3,6.4,311.69,1
