Year,State,Jan_humidity,Feb_humidity,Mar_humidity,Apr_humidity,May_humidity,Jun_humidity,Jul_humidity,Aug_humidity,Sep_humidity,Oct_humidity,Nov_humidity,Dec_humidity,Jan_wind,Feb_wind,Mar_wind,Apr_wind,May_wind,Jun_wind,Jul_wind,Aug_wind,Sep_wind,Oct_wind,Nov_wind,Dec_wind,Jan_uva,Feb_uva,Mar_uva,Apr_uva,May_uva,Jun_uva,Jul_uva,Aug_uva,Sep_uva,Oct_uva,Nov_uva,Dec_uva,Jan_uvb,Feb_uvb,Mar_uvb,Apr_uvb,May_uvb,Jun_uvb,Jul_uvb,Aug_uvb,Sep_uvb,Oct_uvb,Nov_uvb,Dec_uvb,Jan_eva,Feb_eva,Mar_eva,Apr_eva,May_eva,Jun_eva,Jul_eva,Aug_eva,Sep_eva,Oct_eva,Nov_eva,Dec_eva,Jan_temp,Feb_temp,Mar_temp,Apr_temp,May_temp,Jun_temp,Jul_temp,Aug_temp,Sep_temp,Oct_temp,Nov_temp,Dec_temp,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Wheat_Area,Wheat_Production,Wheat_export_price,Barley_Area,Barley_Production,Barley_export_price,Oats_Area,Oats_Production,Oat_export_price,Corn_Area,Corn_Production,Corn_export_price,Covid
2001,AUS,54.39,58.44,60.93,59.47,64,69.83,70.04,62.53,59.57,59.21,56.03,56.19,4.58,5,4.58,4.51,3.93,4.45,3.98,4.83,4.72,4.74,4.83,4.72,18.34,16.53,13.78,11.24,8.45,6.86,7.39,9.8,12.37,15.12,17.07,17.96,0.55,0.5,0.39,0.27,0.18,0.13,0.14,0.2,0.28,0.36,0.44,0.5,290.82,229.54,200.89,163.57,111.39,88.05,86.27,128.09,163.54,194.98,225.28,254.54,29.15,28.65,24.86,22.31,17.78,15.98,14.92,16.14,20.17,21.76,24.93,26.49,71.96,124.53,90.76,18.68,14.5,25.48,24.35,13.3,14.79,37.34,45.3,61.81,12141.3,22108.2,250.4,3454.05,6743.46,283.4,650.41,1049.75,270,74.16,344.56,174,0
2002,AUS,53.5,58.45,55.6,57.5,59.29,62.06,58.5,57.21,53.23,48.54,47.99,47.53,4.55,5.12,4.45,3.98,4.14,5.09,4.72,4.52,5.35,5.13,4.95,5,18.43,15.96,14.87,11.31,8.57,7.16,7.85,9.93,12.86,16.13,17.63,18.74,0.54,0.46,0.41,0.28,0.18,0.13,0.15,0.2,0.29,0.4,0.47,0.53,275.9,222.97,235.39,174.35,135.04,108.6,113.18,139.19,197.16,258.58,282.38,320.94,27.78,27.28,25.92,24.04,19.64,15.54,14.96,16.37,20.34,23.81,27.09,28.12,59.23,117.12,24.31,12.86,10.63,15.11,8.76,11.41,10.02,6.42,23.37,33.3,11529.3,24299.4,277.4,3707.38,8279.77,255.3,784,1433.53,359.9,82.51,453.3,182.7,0
2003,AUS,50.06,58.48,57.88,59.95,62.94,66.44,64.34,63.85,56.98,55.5,51.61,54.73,5.17,4.62,4.38,4.2,4.27,4.62,4.59,4.98,5.26,4.94,4.8,4.78,18.36,16.08,14.57,11.32,8.47,7.05,7.78,9.5,12.96,15.7,17.96,18.29,0.54,0.47,0.4,0.28,0.18,0.13,0.14,0.19,0.29,0.38,0.47,0.51,326.41,236.8,228.58,166.73,128.25,98.61,108.42,131.74,185.18,229.14,267.29,284.82,28.73,28.23,25.22,23.12,19.26,16.01,15.4,16.7,20.49,22.33,26.21,28.2,70.93,110.86,46.95,26.78,15.41,20.65,14.66,26.56,11.01,18.86,27.75,79.49,11170.3,10131.8,231.4,3863.78,3864.83,298.6,911.38,956.98,253.7,49.55,310,162.2,0
2004,AUS,55.66,57.78,56.09,57.91,65.84,69.23,67.13,61.57,59.7,53.04,52.03,52.79,4.81,4.6,4.51,4.26,4.53,4.86,4.54,4.59,4.41,4.76,5.16,4.82,18.58,16.66,14.34,11.38,8,7.11,7.69,10.03,12.82,16.19,17.62,19.05,0.54,0.49,0.4,0.29,0.18,0.14,0.15,0.22,0.3,0.41,0.47,0.54,282.93,235.7,231.68,173.29,112.39,91.5,100.06,132.35,162.46,242.53,260.06,286.92,28.4,27.9,25.97,23.18,18.23,15.92,14.87,16.1,18.99,24.61,25.86,27.79,91.51,111.89,61.59,21.81,32.31,20.42,17.25,14.97,14.05,14.94,32.98,57.86,13067.1,26131.8,218.7,4477.02,10381.83,218.8,1089.23,2017.88,141.7,70.11,394.95,152.4,0
2005,AUS,53.01,52.93,52.02,54.29,58.13,68.26,69.51,62.69,60.23,58.58,54.79,51.33,4.99,4.74,4.43,4.45,4.26,4.31,4.5,5.02,4.49,4.67,4.83,5.11,18.69,17.19,14.36,11.45,8.55,6.8,7.6,9.73,12.59,15.19,17.91,18.91,0.55,0.5,0.4,0.29,0.18,0.12,0.14,0.19,0.27,0.37,0.47,0.53,313.23,258.49,252.65,203.59,141.35,94.07,99.84,134.67,167.08,215.36,254.73,297.42,28.52,28.02,26.78,25,19.55,16.32,15.67,16.53,20.47,24.09,26.39,28.16,62.73,36.69,36.5,10.31,17.26,43.89,24.23,21.33,18.76,36.62,35.85,50.13,13399.4,21905.1,207.4,4645.66,7739.77,229.2,893.55,1282.45,146.4,72.38,419.67,129.7,0
2006,AUS,56.85,56.46,58.44,62.58,64.49,67.22,68.85,59.42,54.71,48.55,47.09,47.78,5,4.56,4.48,4.59,4.21,4.29,4.39,4.36,4.92,5.05,4.87,5.01,18.03,17.25,14.18,10.8,8.58,7.39,7.53,10.3,13.3,16.23,18.11,18.41,0.54,0.51,0.4,0.27,0.19,0.15,0.15,0.23,0.32,0.41,0.49,0.54,292.09,238.29,236.34,150.62,115.87,91.94,92.02,140.09,187.26,253.35,284.96,302.16,29.12,28.62,26.29,21.6,17.17,14.23,14.51,17.22,20.51,24.39,27.15,27.53,129.6,58.47,91.7,65.62,10.83,12.38,24.93,7.1,12.25,10.38,17.89,40.91,12442.6,25150.4,264.9,4405.73,9481.74,217.2,930.3,1688.02,186.3,67.19,361.92,161.2,0
2007,AUS,58.47,55.92,58.79,57.88,66.17,71,67.47,61.73,54.05,51.44,55.11,55.23,4.99,4.54,4.78,4.07,4.6,4.44,4.49,4.71,4.87,5.07,4.47,4.82,17.8,17.44,14.06,11.46,8.37,6.87,7.83,9.88,13.16,15.74,17.67,18.37,0.54,0.52,0.4,0.29,0.18,0.12,0.15,0.2,0.29,0.38,0.46,0.52,284.34,266.89,223.75,176.6,124.21,80.35,101.38,141.61,189.65,260.94,264.25,270.86,28.16,27.66,26.26,23.2,20.07,13.74,14.87,17.09,20.47,24.16,26.22,27.3,106.89,50.36,94.76,18.89,22.24,37.35,12.5,13.5,8,15.97,38.62,76.57,11797.9,10821.7,316.9,4178.8,4257.03,343.1,999.48,748.29,221.8,48.64,239.45,195.6,0
2008,AUS,54.31,58.1,53.56,56.69,61.43,67.98,65.03,62.54,57.01,51.2,56.44,56.94,4.86,4.92,4.35,4.32,3.92,4.69,4.64,4.82,4.96,4.94,4.88,4.75,18.91,16.28,14.71,11.43,8.67,7.04,7.68,9.73,13.01,15.91,16.83,18.2,0.56,0.48,0.41,0.28,0.18,0.14,0.15,0.2,0.3,0.4,0.46,0.53,317.49,238.36,251.84,176.46,131.46,97.8,109.04,133.43,185.82,262.48,227.99,267.96,29.25,28.75,26.18,21.82,18.55,16.24,14.85,15.25,20.68,24.45,25.48,27.41,70.82,110.3,37.47,13.8,7.86,22.27,23.54,12.56,18.42,13.75,62.38,78.25,12578.2,13569.4,400.7,4901.84,7160.17,482.9,1237.78,1502.3,271.9,68,387,261.6,0
2009,AUS,55.02,56.5,57.97,59.84,65.42,69.17,67.23,60.8,56.76,53.37,50.22,52.75,4.87,4.68,4.4,4.38,4.3,4.15,4.69,4.97,5.08,4.8,4.82,4.85,18.78,16.86,14.56,11.27,8.32,7.05,7.76,9.92,12.82,16.07,17.75,18.69,0.57,0.51,0.41,0.28,0.17,0.13,0.14,0.21,0.29,0.39,0.47,0.54,308.26,247.57,229.72,169.63,124.6,89.1,106.04,149.2,183.53,237.98,284.31,299.74,28.46,27.96,26.22,22.89,18.17,15.96,15.33,18.66,20.42,23.24,27.43,28.08,125.54,86.81,28.18,24.73,18.55,22.55,14.72,10.99,14.81,12.9,28.72,64.19,13530.2,21420.1,303.2,5015.01,7996.51,298.4,870.25,1160,190.6,64.55,375.67,212.9,0
2010,AUS,55.27,62.23,63.02,67.13,67.9,70.88,73.63,68.55,67.92,63.95,62.04,61.82,4.82,4.54,4.44,4.1,4.11,4.3,4.37,4.91,4.94,4.81,4.47,4.75,18.65,16.64,14.34,10.73,8.22,7.13,7.2,9.33,11.92,15.01,16.8,18.1,0.56,0.49,0.4,0.26,0.17,0.13,0.14,0.19,0.27,0.37,0.44,0.51,281.38,235.59,213.84,144.5,113.59,87.33,87.3,112.08,139,199.06,230.44,237.07,28.71,28.21,25.94,23.74,18.68,15.53,15.49,16.09,19.29,22.39,24.89,26.67,100.46,101.05,62.17,41.01,30.81,11.51,35.45,28.23,46.75,55.27,60.67,110.32,13881.1,21834,262.1,4421.6,7864.55,230.1,850.03,1161.52,204,58.96,328.03,201.4,0
2011,AUS,61.83,69.6,71.82,69.18,70.71,72.43,70.89,64.73,57.2,59.68,59.01,58.7,4.57,4.55,4.71,4.27,4.26,4.64,4.65,4.33,5,4.55,4.6,4.45,18.02,15.73,13.21,11.15,8.31,7.11,7.4,9.79,12.82,14.74,16.85,18.49,0.54,0.47,0.37,0.27,0.17,0.13,0.14,0.2,0.28,0.35,0.44,0.51,263.78,180.88,167.79,142.45,104.39,83.13,91.76,127.43,177.75,202.92,233.45,260.46,28.86,28.36,24.79,21.64,16.81,14.59,15.11,17.15,19.4,23.36,25.83,26.83,110.45,142.42,146.64,38.38,15.82,20.15,20.3,16.05,12.82,36.05,62.29,75.33,13501.8,27410,319,3681,7994.72,303.9,826.03,1127.68,236.3,62.19,356.9,282.7,0
2012,AUS,57.07,59.7,65.68,63.98,65.55,69.74,69.57,61.64,55.92,51.46,51.03,50.57,4.92,4.31,4.68,4.19,4.53,4.57,4.46,4.7,4.87,4.74,4.61,4.73,17.87,16.54,13.7,11.12,8.46,7.06,7.65,9.97,13.03,16.03,17.71,18.69,0.53,0.49,0.38,0.27,0.17,0.13,0.14,0.2,0.29,0.39,0.47,0.53,276.56,225.25,181.96,156.27,124.91,87.57,91.64,137.46,178.09,226.83,256.71,273.22,28,27.5,24.67,22.36,17.67,14.67,14.12,16.48,20.37,23.69,26.99,28.39,97.21,70.65,113.45,18.74,16.7,24.97,19.36,8.83,9.79,10.3,32.01,49.83,13902.14,29905.01,316.4,3718.09,8220.86,273.5,731.14,1262.03,231,69.28,448.94,289.6,0
2013,AUS,48.84,55.01,58.84,58.43,66.65,72.71,69.52,61.89,57.05,50.7,52.69,50.92,5.12,4.54,4.58,4.11,4.37,4.21,4.72,4.84,4.87,5.29,4.75,4.75,18.92,16.69,14.09,11.18,8.09,6.72,7.59,10.02,12.89,16.07,17.48,18.73,0.56,0.48,0.39,0.27,0.18,0.13,0.15,0.22,0.3,0.41,0.47,0.54,331.11,244.19,227.51,166.67,118.41,81.95,108.91,147.99,200.47,265.55,263.4,284.12,29.83,29.33,26.51,23.47,19.38,16.03,16,17.82,22.06,24.37,26.13,27.92,68.77,60.99,65.92,20.09,34.7,30.3,18.98,11.58,13.75,11.77,42.9,42.86,12979.23,22855.17,332.4,3644.27,7471.38,323.3,728.58,1121.14,261.3,78,505.9,268.9,0
2014,AUS,52.09,58.24,59.36,64.91,67.71,70.22,67.11,62.48,58.08,50.67,49.67,54.86,5.11,4.82,4.11,4.04,4.12,4.69,4.55,4.35,4.65,4.84,4.81,4.53,18.51,16.37,14.32,10.74,8.21,7.08,7.69,10.13,13.22,16.22,17.68,18.55,0.56,0.49,0.39,0.26,0.17,0.13,0.14,0.2,0.29,0.4,0.47,0.52,312.62,234.3,230.28,157.37,120.11,97.53,100.26,135.53,181.33,262.45,276.81,282.53,28.96,28.46,26.5,23.41,19.94,15.66,14.81,16.28,20.53,24.85,27.47,28.24,95.35,109.95,43.23,40.55,21.83,16.06,14.66,15.01,12.34,9.58,26.6,68.22,12613.08,25302.71,335.3,3814.01,9174.21,302.9,714.7,1254.66,281.3,52.26,389.53,214.1,0
2015,AUS,60.01,54.34,54.27,60.8,65.4,70.52,66.93,64.28,56.37,50.06,51.43,50.85,4.99,4.51,4.58,4.38,4.78,4.31,4.67,4.47,4.42,4.57,4.84,4.9,17.73,17.25,14.49,10.86,8.38,7.01,7.59,9.84,13.42,16.01,17.86,18.69,0.53,0.5,0.39,0.27,0.18,0.14,0.15,0.21,0.31,0.4,0.48,0.53,263.61,276.12,262.53,167.3,131.26,97.68,95.27,126.25,178.95,256.55,265.29,323.73,28.03,27.53,26.6,21.63,18.05,16.55,14.92,16.8,19.47,25.83,27.45,28.31,111.7,41.18,45.78,27.8,22.75,20.11,15.99,17.11,6.24,11.08,34.28,82.72,12383.67,23742.56,308.5,4078.04,8646.32,360.1,854.42,1198.01,228.7,59.56,494.59,226.7,0
2016,AUS,55.25,53.99,58.79,55.54,63.17,71.74,69.22,63.73,64.64,53.35,50.61,54.41,4.46,4.51,3.98,4.3,4.72,4.57,4.91,4.57,4.66,5.43,4.88,4.95,17.94,17.75,14.12,11.24,8.07,6.7,7.43,9.65,12.11,15.96,18.13,18.08,0.54,0.53,0.4,0.28,0.17,0.13,0.15,0.21,0.28,0.41,0.5,0.53,280.36,274.78,255.21,186.67,127.01,77.58,85.39,118.27,135.04,216.78,259.22,278.19,28.53,28.03,27.46,24.28,20.19,16.54,15.51,16.61,19.24,22.4,26.12,28,71.74,44.23,65.24,10.62,42.8,50.89,35.17,27.25,46.96,19.91,23.81,93.47,11282.2,22274.51,263.8,4107.65,8992.27,288,821.5,1299.68,183,53.28,400.03,215.2,0
2017,AUS,56.54,55.72,57.71,59.39,61.97,65.61,62.53,58.72,52.67,54.52,53.36,50.44,4.8,4.7,4.29,4.24,4.14,4.14,4.5,4.74,5.21,4.81,4.54,4.82,18.42,17.04,14.45,11.16,8.59,7.24,7.81,10.17,12.85,15.83,17.75,18.69,0.56,0.5,0.41,0.28,0.18,0.13,0.14,0.21,0.28,0.39,0.47,0.54,290.88,258.93,246.62,160.3,115.18,93.78,99.89,121.63,161.45,201.87,257.76,305.25,28.79,28.29,27.39,22.37,18.97,15.67,16.3,17.2,20.52,24.36,26.25,28.41,126.51,85.84,71.31,25.71,15.06,8.76,12.98,14.4,10.81,36.79,40.8,45.47,12191.15,31818.74,275.5,4834.1,13505.99,252.6,1027.87,2265.5,226.2,67.77,436.19,203,0
2018,AUS,51.57,54.17,56.41,55.64,59.6,64.26,60.03,56.84,52.3,53.87,52.14,50.04,4.94,4.67,4.76,4.22,4.96,4.29,4.8,5.12,4.84,4.53,4.96,4.89,18.17,16.91,14.5,11.69,8.48,7.18,7.92,10,13.44,15.54,17.22,18.98,0.54,0.5,0.41,0.29,0.18,0.13,0.14,0.2,0.3,0.38,0.46,0.55,307.84,260.17,265.21,192.11,147.36,101.83,116.48,143.01,195.77,251.56,261.94,282.94,29.26,28.76,26.7,24.63,18.43,15.53,15.74,16.1,19.91,24.73,26.29,29.31,103,73.38,59.23,9.51,8.92,17.21,10.97,14.08,5.24,25.44,37.76,41.11,10919.18,20941.13,322.1,4124.15,9253.83,324.5,874.14,1227.39,237.3,52.75,387.24,221.2,0
2019,AUS,48.24,51.44,54.15,55.51,61.81,64.13,63.44,58.45,51.8,48.03,46.38,43.63,4.94,4.98,4.48,4.62,4.66,4.64,4.66,4.88,4.73,4.77,5.25,4.89,19,17.62,14.17,11.34,8.52,7.28,7.89,10.11,13.23,16.28,18.22,19.28,0.57,0.51,0.39,0.28,0.18,0.13,0.14,0.19,0.29,0.39,0.49,0.55,292.09,238.36,228.39,165.58,120.73,90.44,98.85,131.94,174.31,231.59,256.18,282.94,30.75,30.25,27.64,23.54,18.81,15.51,16.01,16.34,20.38,24.98,26.59,30.4,52.1,49.19,57.01,21.13,15.99,16.91,10.45,8.71,6.72,8.46,12.62,16.42,10402.27,17597.56,315.2,4436.59,8818.95,385,938.13,1134.62,282.7,58.95,327.21,245.2,0
2020,AUS,53.56,59.02,60.06,62,63.18,65.99,65.97,62.99,57.79,56.9,50.77,55.26,4.84,4.68,4.53,4.44,4.69,4.37,4.26,4.69,5.02,4.78,4.89,5.05,17.68,16.62,14.02,10.98,8.44,7.43,7.92,9.93,12.98,15.52,18.27,17.77,0.52,0.48,0.39,0.28,0.18,0.14,0.15,0.2,0.29,0.39,0.5,0.52,292.09,238.36,228.39,165.58,120.73,90.44,98.85,131.94,174.31,231.59,256.18,282.94,29.3,28.8,26.23,23.85,17.59,16.29,15.37,17.44,21.75,23.84,27.87,27.32,90.58,86.15,52.76,24.17,18.62,10.85,12.58,20.42,16.3,32.27,18.88,103.01,9863.18,14480.22,346.4,5040.9,10127.18,339.2,815.95,1142.93,291.3,37.73,267.55,239.6,1
