Year,State,Jan_humidity,Feb_humidity,Mar_humidity,Apr_humidity,May_humidity,Jun_humidity,Jul_humidity,Aug_humidity,Sep_humidity,Oct_humidity,Nov_humidity,Dec_humidity,Jan_wind,Feb_wind,Mar_wind,Apr_wind,May_wind,Jun_wind,Jul_wind,Aug_wind,Sep_wind,Oct_wind,Nov_wind,Dec_wind,Jan_uva,Feb_uva,Mar_uva,Apr_uva,May_uva,Jun_uva,Jul_uva,Aug_uva,Sep_uva,Oct_uva,Nov_uva,Dec_uva,Jan_uvb,Feb_uvb,Mar_uvb,Apr_uvb,May_uvb,Jun_uvb,Jul_uvb,Aug_uvb,Sep_uvb,Oct_uvb,Nov_uvb,Dec_uvb,Jan_eva,Feb_eva,Mar_eva,Apr_eva,May_eva,Jun_eva,Jul_eva,Aug_eva,Sep_eva,Oct_eva,Nov_eva,Dec_eva,Jan_temp,Feb_temp,Mar_temp,Apr_temp,May_temp,Jun_temp,Jul_temp,Aug_temp,Sep_temp,Oct_temp,Nov_temp,Dec_temp,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Covid
2000,NT,46.68,69.06,66.32,67.41,62.95,56.33,43.28,37.14,28.94,39.89,47.56,59.38,3.92,4.36,3.67,4.12,4.97,4.86,3.92,3.98,4.25,4.28,3.58,4.79,18.46,18.1,16.91,15.17,12.29,10.97,11.63,13.95,16.45,18.15,18.79,18.48,0.58,0.58,0.52,0.43,0.31,0.25,0.27,0.35,0.44,0.51,0.55,0.56,329.47,206.73,204.71,169.86,170.62,149.8,162.21,200.83,260.73,252.35,267.2,259.51,30.17,28.57,27.53,25.13,19.86,17.09,19.37,20.6,25.14,26.14,29.36,28.57,80.07,269.77,153.89,120.19,8.95,4.3,0.2,0.79,0.46,72.2,81.34,211.99,0
2001,NT,58.89,64.24,67.1,56.71,50.89,55.16,50.28,38.1,34.44,40.53,41.03,51.78,3.83,4.79,3.88,4.35,4.03,4.59,4.27,4.33,4.35,4.2,4.13,3.85,18.92,17.37,15.35,14.92,12.42,10.36,10.84,13.82,15.69,17.43,18.55,18.5,0.59,0.56,0.48,0.41,0.31,0.24,0.25,0.34,0.41,0.49,0.54,0.55,267.43,211.74,191.23,217.29,184.03,158,156.17,195.95,242.6,262.32,276.5,275.43,30,28.96,26.32,24.64,20.42,19.43,18.57,19.24,24.31,26.57,28.64,29.88,144.13,228.36,189.05,32.57,1.23,13.38,14.84,0.11,3.21,49.4,69.61,112.7,0
2002,NT,49.75,57.27,48.7,41.43,38,36.53,30.97,27.77,29.53,23.05,33.2,32.61,3.67,4.79,3.84,3.94,4.31,4.56,4.05,4.31,4.44,4.42,4.32,4.03,19.46,16.91,18.17,15.54,12.68,11.23,11.77,13.78,16.16,19.11,19.12,19.71,0.59,0.54,0.55,0.43,0.32,0.25,0.28,0.35,0.44,0.53,0.55,0.59,285.48,243.01,286.45,257.06,229.26,190.36,184.53,226.76,292.19,356.56,335.04,376.71,29.9,28.7,27.87,27.4,22.92,18.04,17.54,19.38,25.3,27.89,30.69,31.32,97.39,190.68,23.61,8.48,0.78,0.1,0.14,0.05,2.68,1.46,42.83,31.97,0
2003,NT,51.28,59.27,48.44,45.71,41.25,40.25,36.83,38.5,30.66,26.7,35.39,50.98,4.82,4.15,4.04,3.99,4.18,4.2,4.38,4.55,4.13,4.56,4.15,3.94,17.71,17,17.42,15.44,12.46,11.05,11.82,13.42,16.12,18.7,18.27,17.28,0.56,0.54,0.54,0.43,0.31,0.25,0.27,0.33,0.43,0.53,0.53,0.52,323.45,249.09,279.46,251.13,222.19,178.99,190.14,224.41,277.22,350.77,325.14,283.09,29.67,29.5,26.88,26.85,22.43,19.11,18.75,20.92,25.9,26.98,29.85,30.44,178.43,181.3,73.38,11.06,1.14,3.51,1.1,3.49,2.85,5.71,37.7,182.16,0
2004,NT,53.78,64.67,55.16,45.81,56.25,52.12,42.55,36.11,30.8,28.02,31.06,37.83,3.92,4.12,3.91,4.43,4.41,4.35,4.53,4.15,4.55,4.49,4.77,4.36,19.02,16.61,16.38,15.69,10.76,11.02,11.79,13.94,16.96,18.42,19.23,19.11,0.59,0.53,0.51,0.44,0.28,0.27,0.29,0.38,0.46,0.53,0.56,0.57,302.66,217.46,274.79,256.19,173.78,155.21,182.02,213.6,261.65,345.67,336.32,358.08,30.55,28.67,28.63,26.42,22.51,18.94,18.54,20.13,22.43,28.92,29.92,30.88,139.57,222.93,89.74,5.61,48.14,5.81,0.3,1.41,1.88,4.21,27.51,79.81,0
2005,NT,47.55,39.99,39.61,39.92,36.24,47.83,46.64,37.39,33.52,38.39,39.13,45.63,4.46,3.96,4.13,4.29,4.41,4.08,4.54,4.64,4.05,3.99,3.88,3.8,19.42,19.46,17.19,15.43,12.62,10.55,11.46,13.93,16.09,17.52,18.79,18.29,0.62,0.6,0.53,0.44,0.31,0.23,0.26,0.35,0.42,0.49,0.55,0.56,379.61,318.1,385.38,298.44,241.76,162.78,180.23,223.82,276.07,297.25,311.01,311.33,30.39,30.04,29.22,28.48,22.46,20,19.54,20.42,26.33,29.34,30.2,31.11,106.94,53.19,71.8,4.66,0.78,18.88,12.49,1.29,5.86,51.9,53.61,90.84,0
2006,NT,58.8,59.25,61.28,58.24,53.63,50.47,47.66,32.58,30.25,31.28,26.78,38.61,4.71,3.51,4.21,4.18,4.35,4.72,4.34,4.57,4.62,4.74,4.39,4.14,17.74,19.11,15.8,14.37,13.03,11.58,11.72,14.43,16.92,18.12,19.92,18.49,0.57,0.61,0.5,0.43,0.34,0.29,0.29,0.38,0.47,0.53,0.59,0.58,252.01,278.47,288.94,217.5,193.39,174.14,158.92,225.41,273.12,325.77,360.41,332.26,30.62,29.98,28.27,25.27,19.73,16.75,17.4,20.11,24.06,28.26,30.73,30.67,230.83,75.7,153.92,120.74,1.56,0.19,9.59,0.11,0.26,4.61,11.24,65.76,0
2007,NT,62.08,51.89,58.67,47.05,52.52,54.1,46.14,37.69,27.5,29.53,36.82,46.03,4.22,4.28,3.92,3.93,3.89,4.6,4.35,4.54,4.36,4.63,4.22,4.25,17.4,19.31,15.99,15.76,12.27,10.36,12,13.8,16.77,18.45,19.38,18.35,0.57,0.62,0.51,0.45,0.31,0.23,0.29,0.34,0.45,0.52,0.56,0.55,267.6,306.41,233.39,245.12,189.1,145.99,174.07,218.55,272.95,354.95,335.32,302.36,29.64,30.3,28.36,26.21,24.23,15.94,17.65,19.98,24.88,28.42,28.99,30.75,203.2,65.16,165.65,7.16,16.3,25.75,0.05,3.97,0.52,9.05,46.89,96.04,0
2008,NT,43.5,50.08,43.05,38.08,38.59,46.12,36.44,33.91,32.42,28.13,42.59,49.14,4.37,4.27,4.14,4.35,4.24,4.64,4.53,5.28,4.6,4.75,4.21,3.83,19.58,17.44,17.51,15.84,12.93,11.01,12.03,13.77,16.67,18.63,17.98,18.04,0.61,0.56,0.54,0.44,0.32,0.26,0.29,0.35,0.46,0.54,0.55,0.57,394.37,303.65,327.99,282.61,232.46,172.34,202.11,245.76,275.87,369.31,305.71,304.21,31.96,29.61,28.42,24.9,21.32,19.35,18.33,19.14,25.46,28.83,30.26,30.58,78.94,163.85,54.1,5.39,0.15,10.9,0.55,3.05,7.72,7.65,78.47,134.5,0
2009,NT,61.55,56.94,49.97,45.41,47,44.41,40.7,33.3,30.42,25.24,31.42,43.19,4.64,4.13,3.66,4.28,4.43,3.65,4.36,4.12,4.46,4.85,4.63,4.29,18.15,18.31,18.34,15.53,11.95,11.14,11.94,14.14,16.69,19.04,19.23,18.39,0.59,0.6,0.57,0.43,0.3,0.25,0.27,0.36,0.45,0.53,0.55,0.56,309.66,277.21,309.8,263.22,211.45,153.81,190,244.64,275.35,328.61,358.24,363.85,29.17,28.93,28.77,26.36,21.26,19.33,19.03,23.26,25.89,26.85,30.44,30.49,207.8,122.96,21.99,10.26,13.59,1.64,0.54,0.76,3.26,3.5,18.23,95.03,0
2010,NT,58.69,57.72,57.52,60.88,58.7,53.14,58.05,46.33,49.73,48.97,44.49,50.39,4.49,4.21,4.24,3.76,4.12,4.69,4.9,4.6,5,4.68,3.96,4.17,18.24,17.98,17.45,14.24,11.53,11.17,10.48,13.14,15.02,16.92,19.15,18.49,0.58,0.57,0.54,0.4,0.29,0.26,0.25,0.34,0.41,0.48,0.55,0.56,294.78,257.43,248.45,209.7,169.54,150.79,160.65,193.69,214.54,250.24,313.93,290.89,29.98,29.61,27.49,26.79,22.32,18.39,19.77,20.11,24.17,25.93,27.57,29.46,207.78,163.08,75.84,66.17,36.07,0.46,35.54,6.4,35.9,73.42,53.76,127.2,0
2011,NT,58.39,73.42,78.71,69.12,64.81,60.52,51.8,37.24,31.5,38.58,47.75,52,4.03,4.06,4.35,4.25,4.28,4.16,4.3,4.28,4.59,4.36,3.71,3.86,18.25,16.6,14.7,14.62,12.54,10.88,11.13,13.96,16.25,16.49,17.27,18.77,0.57,0.52,0.46,0.41,0.31,0.25,0.26,0.33,0.41,0.45,0.48,0.56,308.27,194.45,176.84,197.17,175.11,136.64,155.61,206.53,243.91,261.54,255.08,290.62,30.29,28.34,26.35,23.5,19.22,16.51,18.61,20.16,23.27,27.87,28.51,29.7,163.58,216.61,265.78,61.61,1,8.26,4.25,0.1,0.53,37.18,95.31,101.65,0
2012,NT,51.2,50.1,60.95,53.77,48.25,46.52,44.41,31.3,28.06,28.13,36.25,42.96,4.13,3.78,4.44,4.09,4.6,4.34,4.79,4.17,4.49,4.46,4.05,3.76,18.41,18.28,15.84,14.52,12.36,11.24,11.71,14.12,16.67,18.45,18.52,18.43,0.58,0.58,0.49,0.4,0.3,0.25,0.26,0.34,0.44,0.51,0.54,0.55,320.09,291.89,221.27,216.72,197.17,140.8,154.29,218.63,271.12,322.94,282.67,298.78,30.89,29.22,26.68,25.03,20.36,17.04,16.97,19.89,24.62,27.35,30.99,31.18,85.97,84.39,153.1,29.96,6.7,0.9,1.52,0.06,3.83,4.77,45.87,80.56,0
2013,NT,41.83,47.22,49.3,43.59,54.17,50.72,44.91,32.7,29.66,26.69,38.39,43.25,4.6,3.68,4.09,4.16,4.41,4.48,4.76,3.98,4.26,4.59,4.08,3.91,19.43,17.71,16.37,14.96,11.52,10.27,11.49,14.18,16.47,18.29,18.15,18.58,0.6,0.55,0.5,0.42,0.3,0.26,0.28,0.37,0.45,0.53,0.54,0.57,372.57,303.36,295.52,265.04,188.01,145.84,190.1,228.86,296.78,364.17,356.08,304.85,32.29,30.1,29.55,26.4,23.28,20.16,19.9,21.96,27.16,28.64,30,30.46,67.94,67.2,109.02,19.65,30.8,3.34,4.86,0.14,1.22,7.08,62.77,71.51,0
2014,NT,53.14,65.16,53.13,55.96,50.88,47.96,40.3,33.52,28.39,25.12,35.28,49.39,4.62,4.66,3.66,3.69,3.86,4.9,4.11,4.95,4.32,4.7,4.2,3.75,17.76,17,17.8,14.56,12.31,11.25,11.7,14.32,17.19,19.08,18.11,18.71,0.57,0.54,0.54,0.41,0.3,0.25,0.27,0.35,0.44,0.52,0.52,0.57,301.78,246.87,298.24,237.44,183.87,180.71,155.72,216.18,253.43,331.66,296.72,298.96,30.31,28.03,28.21,26.76,23.69,18.65,18.28,18.36,24.43,28.39,31.29,31.07,198.1,194.49,48.66,45.34,4.48,1.13,5.2,0.25,0.09,1.33,35.25,129.72,0
2015,NT,65.19,48.86,44.14,41.77,42.14,49.81,41.13,37.39,26.99,28.69,31.5,48.22,4.45,4.13,4.22,4.54,4.51,4.57,4.48,4.51,4.6,4.51,4.24,4.67,17.91,19.1,17.71,15.21,12.55,10.95,11.79,13.93,17.23,18.14,19.15,17.23,0.57,0.6,0.53,0.43,0.32,0.26,0.29,0.36,0.47,0.51,0.56,0.52,250.31,349.16,403.73,286.35,192.02,181.85,161,223.91,241.55,311.94,327.98,325.98,28.93,30.42,29.54,24.86,21.22,19.94,18.17,20.39,23.12,28.93,31.2,30.22,224.52,64.62,38.95,7.63,4.52,5,1.3,3.06,0.38,4.51,30.95,214.16,0
2016,NT,47.81,45.3,53.14,38.94,46.45,51.8,46.99,40.27,42.5,30.22,32.64,49.27,3.73,3.93,3.29,4.11,3.99,4.13,4.45,4.43,4.31,4.72,4.18,4.3,18.94,19.56,17.51,15.52,11.38,10.4,11.2,13.33,15.27,18.05,18.67,17.14,0.6,0.63,0.55,0.44,0.29,0.26,0.28,0.35,0.42,0.53,0.57,0.54,254.41,309.02,278.91,214.03,218.45,144.8,164.9,205.35,189.02,286.58,338.86,309.58,30.39,30.65,29.85,27.54,24.53,21.26,19.1,20.83,24.86,26.26,29.83,30.39,76.48,60.1,81.71,5.46,39.12,17.46,7.67,10.05,41.2,18.16,41.17,188.46,0
2017,NT,61.8,57.51,48.94,43.16,41.66,44.88,41.61,31.03,27.99,32.38,38.67,34.36,4.02,4.03,3.6,4.43,4.39,4.99,4.25,4.43,4.7,4.48,3.97,4.04,17.88,18.39,17.09,14.73,12.71,11.09,11.59,14.33,16.42,18.04,18.62,19.34,0.57,0.58,0.53,0.42,0.32,0.25,0.27,0.35,0.43,0.5,0.54,0.58,358.92,350.17,288.06,236.22,198.7,179.14,164.07,207.83,241.8,249.45,295.33,367.23,29.61,29.05,29.76,25.58,22.59,18.68,20.7,21.21,24.58,28.56,29.21,31.32,223.65,148.49,65.78,32.81,0.99,0.89,10.17,0.09,4.56,19.68,75.03,48.47,0
2018,NT,50.22,50.85,51.7,42.05,41.91,40.97,34.3,30.23,25.97,32.53,35.84,33.64,4.66,3.94,4.4,3.99,5.13,4.42,4.25,4.41,4.76,4.24,4.44,4.41,17.69,18.23,17.02,15.4,12.68,11.24,11.85,13.94,16.92,17.54,18.54,19.81,0.56,0.59,0.53,0.43,0.31,0.26,0.27,0.35,0.45,0.49,0.55,0.61,374.78,281.66,358.61,250.75,236.36,177.28,194.9,224.52,276.08,361.61,324.2,324.39,30.36,30.59,28.52,27.75,21.33,18.98,19.27,19.68,24.34,29.34,30.4,33.1,210.32,71.39,73.55,7.74,0.46,0.68,0.2,0.8,0.86,20.48,58.65,40.21,0
2019,NT,40.37,44.21,42.77,43.66,43.53,40.72,36.58,31.27,26.72,25.08,25.58,27.02,4.27,4.47,4.23,4.66,4.69,4.88,4.46,4.71,4.75,4.6,4.41,4.04,19.38,19.38,17.51,15.06,12.33,11.24,11.96,14.2,16.54,18.61,19.71,19.77,0.61,0.61,0.53,0.43,0.31,0.26,0.27,0.33,0.44,0.51,0.57,0.6,321.4,271.5,290.85,246.73,203.11,164.71,177.85,223.6,268.2,323.14,325.55,324.39,33.12,30.96,30.23,26.95,22.46,18.82,19.59,19.56,24.02,28.89,30.44,33.36,79.15,45.87,58.11,23.77,14.16,0.43,0.13,0.08,3.25,5.92,14,20.52,0
2020,NT,49.64,52.33,46.77,42.49,39.97,41.05,37.91,33.41,31.89,32.69,31.22,51.49,4.24,4.1,4.15,3.97,4.55,4.47,4.73,4.35,4.66,4.62,4.3,4.28,17.63,18.35,17.39,15.32,12.15,11.5,12.04,14.28,16.59,18.39,19.31,16.6,0.56,0.58,0.53,0.45,0.32,0.27,0.27,0.36,0.46,0.54,0.58,0.53,321.4,271.5,290.85,246.73,203.11,164.71,177.85,223.6,268.2,323.14,325.55,324.39,31.48,30.74,28.43,27.7,20.64,19.5,18.37,22.21,26.79,28.03,32.27,29.78,124.46,127.58,67.26,21.38,6.34,0.33,0.86,2.2,6.79,37.54,18.54,198.64,1
2021,NT,50.58,54.39,53.75,42.7,44.83,47.96,38.56,31.8,31.56,32.19,41.16,37.83,4.2,4.08,3.88,4.26,4.52,4.16,4.21,4.54,4.99,4.15,4.22,3.83,18.72,17.96,16.55,15.89,12.91,10.89,11.98,14.27,16.8,17.63,18.85,19.14,0.61,0.59,0.53,0.46,0.33,0.25,0.26,0.34,0.44,0.5,0.56,0.58,321.4,271.5,290.85,246.73,203.11,164.71,177.85,223.6,268.2,323.14,325.55,324.39,30.25,29.03,28.16,25.18,21.8,19.06,20.35,21.29,24.78,29.29,28.24,31.55,94.8,149.12,100.73,9.87,0.73,8.02,0.47,0.52,6.67,28.32,76.17,88.15,1
