Year,AUS_Jan_temp,AUS_Feb_temp,AUS_Mar_temp,AUS_Apr_temp,AUS_May_temp,AUS_Jun_temp,AUS_Jul_temp,AUS_Aug_temp,AUS_Sep_temp,AUS_Oct_temp,AUS_Nov_temp,AUS_Dec_temp,AUS_Jan_rain,AUS_Feb_rain,AUS_Mar_rain,AUS_Apr_rain,AUS_May_rain,AUS_Jun_rain,AUS_Jul_rain,AUS_Aug_rain,AUS_Sep_rain,AUS_Oct_rain,AUS_Nov_rain,AUS_Dec_rain,AUS_Wheat_Area,AUS_Wheat_Production,AUS_Barley_Area,AUS_Barley_Production,AUS_Oats_Area,AUS_Oats_Production,AUS_Rice_Area,AUS_Rice_Production,AUS_Corn (maize)_Area,AUS_Corn (maize)_Production,wheat_export_price,Rice_export_price,Barley_export_price,maize_export_price,Oat_export_price,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.00000 ,27.030000 ,26.530000 ,25.520000 ,22.060000 ,16.960000 ,14.430000 ,15.280000 ,16.200000 ,20.960000 ,22.540000 ,25.740000 ,27.090000 ,75.760000 ,152.150000 ,115.740000 ,72.250000 ,22.970000 ,15.880000 ,13.600000 ,16.350000 ,10.090000 ,47.350000 ,68.410000 ,100.020000 ,12 167.6,24 757.4,2 595.6,5 032.0, 583.6,1 117.7, 131.0,1 084.0, 82.2, 405.8,252,639,245,282,229,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001.00000 ,29.150000 ,28.650000 ,24.860000 ,22.310000 ,17.780000 ,15.980000 ,14.920000 ,16.140000 ,20.170000 ,21.760000 ,24.930000 ,26.490000 ,71.960000 ,124.530000 ,90.760000 ,18.680000 ,14.500000 ,25.480000 ,24.350000 ,13.300000 ,14.790000 ,37.340000 ,45.300000 ,61.810000 ,12 141.3,22 108.2,3 454.0,6 743.5, 650.4,1 049.7, 177.0,1 643.0, 74.2, 344.6,279,541,232,299,282,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002.00000 ,27.780000 ,27.280000 ,25.920000 ,24.040000 ,19.640000 ,15.540000 ,14.960000 ,16.370000 ,20.340000 ,23.810000 ,27.090000 ,28.120000 ,59.230000 ,117.120000 ,24.310000 ,12.860000 ,10.630000 ,15.110000 ,8.760000 ,11.410000 ,10.020000 ,6.420000 ,23.370000 ,33.300000 ,11 529.3,24 299.4,3 707.4,8 279.8, 784.0,1 433.5, 145.0,1 193.0, 82.5, 453.3,285,541,244,241,246,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003.00000 ,28.730000 ,28.230000 ,25.220000 ,23.120000 ,19.260000 ,16.010000 ,15.400000 ,16.700000 ,20.490000 ,22.330000 ,26.210000 ,28.200000 ,70.930000 ,110.860000 ,46.950000 ,26.780000 ,15.410000 ,20.650000 ,14.660000 ,26.560000 ,11.010000 ,18.860000 ,27.750000 ,79.490000 ,11 170.3,10 131.8,3 863.8,3 864.8, 911.4, 957.0, 47.0, 438.0, 49.5, 310.0,229,662,213,493,222,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004.00000 ,28.400000 ,27.900000 ,25.970000 ,23.180000 ,18.230000 ,15.920000 ,14.870000 ,16.100000 ,18.990000 ,24.610000 ,25.860000 ,27.790000 ,91.510000 ,111.890000 ,61.590000 ,21.810000 ,32.310000 ,20.420000 ,17.250000 ,14.970000 ,14.050000 ,14.940000 ,32.980000 ,57.860000 ,13 067.1,26 131.8,4 477.0,10 381.8,1 089.2,2 017.9, 67.0, 553.0, 70.1, 395.0,220,791,178,624,217,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005.00000 ,28.520000 ,28.020000 ,26.780000 ,25.000000 ,19.550000 ,16.320000 ,15.670000 ,16.530000 ,20.470000 ,24.090000 ,26.390000 ,28.160000 ,62.730000 ,36.690000 ,36.500000 ,10.310000 ,17.260000 ,43.890000 ,24.230000 ,21.330000 ,18.760000 ,36.620000 ,35.850000 ,50.130000 ,13 399.4,21 905.1,4 645.7,7 739.8, 893.6,1 282.4, 52.0, 339.0, 72.4, 419.7,216,754,191,913,245,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006.00000 ,29.120000 ,28.620000 ,26.290000 ,21.600000 ,17.170000 ,14.230000 ,14.510000 ,17.220000 ,20.510000 ,24.390000 ,27.150000 ,27.530000 ,129.600000 ,58.470000 ,91.700000 ,65.620000 ,10.830000 ,12.380000 ,24.930000 ,7.100000 ,12.250000 ,10.380000 ,17.890000 ,40.910000 ,12 442.6,25 150.4,4 405.7,9 481.7, 930.3,1 688.0, 102.0,1 002.0, 67.2, 361.9,245,692,240,"1,610",317,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007.00000 ,28.160000 ,27.660000 ,26.260000 ,23.200000 ,20.070000 ,13.740000 ,14.870000 ,17.090000 ,20.470000 ,24.160000 ,26.220000 ,27.300000 ,106.890000 ,50.360000 ,94.760000 ,18.890000 ,22.240000 ,37.350000 ,12.500000 ,13.500000 ,8.000000 ,15.970000 ,38.620000 ,76.570000 ,11 797.9,10 821.7,4 178.8,4 257.0, 999.5, 748.3, 20.0, 163.0, 48.6, 239.4,403,838,350,"7,399",317,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008.00000 ,29.250000 ,28.750000 ,26.180000 ,21.820000 ,18.550000 ,16.240000 ,14.850000 ,15.250000 ,20.680000 ,24.450000 ,25.480000 ,27.410000 ,70.820000 ,110.300000 ,37.470000 ,13.800000 ,7.860000 ,22.270000 ,23.540000 ,12.560000 ,18.420000 ,13.750000 ,62.380000 ,78.250000 ,12 578.2,13 569.4,4 901.8,7 160.2,1 237.8,1 502.3, 2.1, 17.6, 68.0, 387.0,373,"1,733",273,192,324,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009.00000 ,28.460000 ,27.960000 ,26.220000 ,22.890000 ,18.170000 ,15.960000 ,15.330000 ,18.660000 ,20.420000 ,23.240000 ,27.430000 ,28.080000 ,125.540000 ,86.810000 ,28.180000 ,24.730000 ,18.550000 ,22.550000 ,14.720000 ,10.990000 ,14.810000 ,12.900000 ,28.720000 ,64.190000 ,13 530.2,21 420.1,5 015.0,7 996.5, 870.2,1 160.0, 7.2, 60.9, 64.6, 375.7,268,"1,553",199,530,243,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010.00000 ,28.710000 ,28.210000 ,25.940000 ,23.740000 ,18.680000 ,15.530000 ,15.490000 ,16.090000 ,19.290000 ,22.390000 ,24.890000 ,26.670000 ,100.460000 ,101.050000 ,62.170000 ,41.010000 ,30.810000 ,11.510000 ,35.450000 ,28.230000 ,46.750000 ,55.270000 ,60.670000 ,110.320000 ,13 881.1,21 834.0,4 421.6,7 864.6, 850.0,1 161.5, 18.9, 196.7, 59.0, 328.0,299,958,253,496,171,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011.00000 ,28.860000 ,28.360000 ,24.790000 ,21.640000 ,16.810000 ,14.590000 ,15.110000 ,17.150000 ,19.400000 ,23.360000 ,25.830000 ,26.830000 ,110.450000 ,142.420000 ,146.640000 ,38.380000 ,15.820000 ,20.150000 ,20.300000 ,16.050000 ,12.820000 ,36.050000 ,62.290000 ,75.330000 ,13 501.8,27 410.0,3 681.0,7 994.7, 826.0,1 127.7, 75.8, 723.3, 62.2, 356.9,276,797,262,357,286,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012.00000 ,28.000000 ,27.500000 ,24.670000 ,22.360000 ,17.670000 ,14.670000 ,14.120000 ,16.480000 ,20.370000 ,23.690000 ,26.990000 ,28.390000 ,97.210000 ,70.650000 ,113.450000 ,18.740000 ,16.700000 ,24.970000 ,19.360000 ,8.830000 ,9.790000 ,10.300000 ,32.010000 ,49.830000 ,13 902.1,29 905.0,3 718.1,8 220.9, 731.1,1 262.0, 103.1, 918.7, 69.3, 448.9,318,785,290,371,548,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013.00000 ,29.830000 ,29.330000 ,26.510000 ,23.470000 ,19.380000 ,16.030000 ,16.000000 ,17.820000 ,22.060000 ,24.370000 ,26.130000 ,27.920000 ,68.770000 ,60.990000 ,65.920000 ,20.090000 ,34.700000 ,30.300000 ,18.980000 ,11.580000 ,13.750000 ,11.770000 ,42.900000 ,42.860000 ,12 979.2,22 855.2,3 644.3,7 471.4, 728.6,1 121.1, 113.6,1 161.1, 78.0, 505.9,332,901,287,438,724,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014.00000 ,28.960000 ,28.460000 ,26.500000 ,23.410000 ,19.940000 ,15.660000 ,14.810000 ,16.280000 ,20.530000 ,24.850000 ,27.470000 ,28.240000 ,95.350000 ,109.950000 ,43.230000 ,40.550000 ,21.830000 ,16.060000 ,14.660000 ,15.010000 ,12.340000 ,9.580000 ,26.600000 ,68.220000 ,12 613.1,25 302.7,3 814.0,9 174.2, 714.7,1 254.7, 74.9, 819.3, 52.3, 389.5,334,"1,098",322,517,751,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.00000 ,28.030000 ,27.530000 ,26.600000 ,21.630000 ,18.050000 ,16.550000 ,14.920000 ,16.800000 ,19.470000 ,25.830000 ,27.450000 ,28.310000 ,111.700000 ,41.180000 ,45.780000 ,27.800000 ,22.750000 ,20.110000 ,15.990000 ,17.110000 ,6.240000 ,11.080000 ,34.280000 ,82.720000 ,12 383.7,23 742.6,4 078.0,8 646.3, 854.4,1 198.0, 69.7, 690.4, 59.6, 494.6,324,"1,257",296,524,871,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.00000 ,28.530000 ,28.030000 ,27.460000 ,24.280000 ,20.190000 ,16.540000 ,15.510000 ,16.610000 ,19.240000 ,22.400000 ,26.120000 ,28.000000 ,71.740000 ,44.230000 ,65.240000 ,10.620000 ,42.800000 ,50.890000 ,35.170000 ,27.250000 ,46.960000 ,19.910000 ,23.810000 ,93.470000 ,11 282.2,22 274.5,4 107.6,8 992.3, 821.5,1 299.7, 26.6, 273.9, 53.3, 400.0,276,784,237,434,844,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017.00000 ,28.790000 ,28.290000 ,27.390000 ,22.370000 ,18.970000 ,15.670000 ,16.300000 ,17.200000 ,20.520000 ,24.360000 ,26.250000 ,28.410000 ,126.510000 ,85.840000 ,71.310000 ,25.710000 ,15.060000 ,8.760000 ,12.980000 ,14.400000 ,10.810000 ,36.790000 ,40.800000 ,45.470000 ,12 191.2,31 818.7,4 834.1,13 506.0,1 027.9,2 265.5, 82.2, 807.3, 67.8, 436.2,301,"1,041",272,429,800,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.00000 ,29.260000 ,28.760000 ,26.700000 ,24.630000 ,18.430000 ,15.530000 ,15.740000 ,16.100000 ,19.910000 ,24.730000 ,26.290000 ,29.310000 ,103.000000 ,73.380000 ,59.230000 ,9.510000 ,8.920000 ,17.210000 ,10.970000 ,14.080000 ,5.240000 ,25.440000 ,37.760000 ,41.110000 ,10 919.2,20 941.1,4 124.1,9 253.8, 874.1,1 227.4, 61.1, 635.1, 52.7, 387.2,374,"1,226",360,519,853,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.00000 ,30.750000 ,30.250000 ,27.640000 ,23.540000 ,18.810000 ,15.510000 ,16.010000 ,16.340000 ,20.380000 ,24.980000 ,26.590000 ,30.400000 ,52.100000 ,49.190000 ,57.010000 ,21.130000 ,15.990000 ,16.910000 ,10.450000 ,8.710000 ,6.720000 ,8.460000 ,12.620000 ,16.420000 ,10 402.3,17 597.6,4 436.6,8 818.9, 938.1,1 134.6, 7.6, 66.8, 58.9, 327.2,381,"1,237",343,528,933,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.00000 ,29.300000 ,28.800000 ,26.230000 ,23.850000 ,17.590000 ,16.290000 ,15.370000 ,17.440000 ,21.750000 ,23.840000 ,27.870000 ,27.320000 ,90.580000 ,86.150000 ,52.760000 ,24.170000 ,18.620000 ,10.850000 ,12.580000 ,20.420000 ,16.300000 ,32.270000 ,18.880000 ,103.010000 ,9 863.2,14 480.2,5 040.9,10 127.2, 816.0,1 142.9, 5.0, 50.2, 37.7, 267.6,346,"1,334",278,453,396,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021.00000 ,28.140000 ,27.640000 ,25.780000 ,22.400000 ,18.690000 ,15.550000 ,16.190000 ,17.460000 ,20.200000 ,23.720000 ,24.760000 ,28.240000 ,75.760000 ,90.400000 ,79.840000 ,19.480000 ,18.300000 ,26.450000 ,21.910000 ,11.350000 ,14.270000 ,26.110000 ,75.980000 ,49.080000 ,12 885.0,33 336.5,4 422.0,13 093.2, 948.2,1 664.6, 46.4, 457.8, 50.6, 356.1,437,"1,632",365,467,296,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.8106252,141.9009371,186.488823,209.444503,177.9608331,205.9572301,280.2967161,235.813367,240.4451215,209.9573785,199.7892642,252.2264243,279.3582228,285.0971922,229.1666667,219.9339421,215.9908547,245.251858,402.6789452,372.7533605,267.5299831,298.7791585,276.4670033,318.1861035,332.3682054,334.4627299,323.699422,275.6945705,300.9250275,373.7735078,381.2307997,345.6595723
