Year,State,Jan_humidity,Feb_humidity,Mar_humidity,Apr_humidity,May_humidity,Jun_humidity,Jul_humidity,Aug_humidity,Sep_humidity,Oct_humidity,Nov_humidity,Dec_humidity,Jan_wind,Feb_wind,Mar_wind,Apr_wind,May_wind,Jun_wind,Jul_wind,Aug_wind,Sep_wind,Oct_wind,Nov_wind,Dec_wind,Jan_uva,Feb_uva,Mar_uva,Apr_uva,May_uva,Jun_uva,Jul_uva,Aug_uva,Sep_uva,Oct_uva,Nov_uva,Dec_uva,Jan_uvb,Feb_uvb,Mar_uvb,Apr_uvb,May_uvb,Jun_uvb,Jul_uvb,Aug_uvb,Sep_uvb,Oct_uvb,Nov_uvb,Dec_uvb,Jan_eva,Feb_eva,Mar_eva,Apr_eva,May_eva,Jun_eva,Jul_eva,Aug_eva,Sep_eva,Oct_eva,Nov_eva,Dec_eva,Jan_temp,Feb_temp,Mar_temp,Apr_temp,May_temp,Jun_temp,Jul_temp,Aug_temp,Sep_temp,Oct_temp,Nov_temp,Dec_temp,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Wheat_Area,Wheat_Production,Wheat_price,Barley_Area,Barley_Production,Barely_price,Oats_Area,Oats_Production,Oats_price,Corn_Area,Corn_Production,Corn_price,Covid
2000,QLD,57.67,70.66,68.91,71.41,72.75,70.61,61.78,58.38,48.72,55.12,69.35,68.55,4.14,4.81,3.94,4.75,4.92,4.92,3.95,4.44,4.63,5.01,3.88,4.11,17.15,16.55,14.79,13,10.67,9.22,9.98,12.17,14.74,17.09,17.98,17.96,0.53,0.52,0.45,0.35,0.26,0.21,0.23,0.3,0.38,0.47,0.51,0.53,296.67,211.29,207.66,156.94,134.14,112.24,126.89,169.01,234.16,251.39,210.98,226.41,28.34,27.62,26.94,24.15,19.51,15.98,16.13,18.42,23.03,24.83,26.35,27.19,75.46,208.59,69.19,88.57,28,26.81,2.7,9.67,0.8,69.26,133.94,182.96,1096,1904,235.02,129.89,253.79,217.02,9.97,11.8,298.51,59.39,223.62,232.87,0
2001,QLD,66.85,67.35,61.34,58.77,56.52,65.3,61.83,53.3,51.05,53.03,53.83,52.47,3.98,4.76,3.96,4.87,3.91,4.95,4.14,4.31,4.98,4.43,4.69,4.09,18.25,16.15,14.79,12.53,11.29,9.05,10.14,12.48,14.38,16.6,16.52,18.04,0.56,0.51,0.45,0.34,0.27,0.2,0.23,0.3,0.37,0.45,0.46,0.53,281.41,231.64,239.75,206.18,156.4,130.28,130.58,169.19,220,246.72,262.07,308.8,29.06,28.29,27.59,24.27,18.88,18.77,16.38,17.63,22.19,24.54,27.1,29.61,71.87,134.7,75.92,19.62,4.5,16.81,14.02,1.72,5.51,35.84,67,62.21,884.9,1157,235.02,111.95,114.99,217.02,12.77,5.9,298.51,46.56,159.07,232.87,0
2002,QLD,57.58,61.36,55.98,57.04,57.41,60,53.83,53.81,47.55,40.94,43.66,45.94,4.02,4.42,4.29,4.55,4.33,4.63,4,4.46,4.77,4.81,5.24,4.73,18.18,16.23,15.7,12.95,11.03,9.44,10.49,11.96,14.78,18,18.32,19.13,0.55,0.5,0.46,0.36,0.27,0.21,0.24,0.3,0.39,0.49,0.52,0.56,290.44,253.66,278.33,216.98,175.51,144.58,147.28,180.34,246.74,314.71,348.13,376.94,29.4,29.13,27.24,25.29,20.51,17.47,16.07,18.3,22.72,25.78,29.02,29.59,107.2,131.24,36.25,10.97,7.68,15.46,1.47,17.19,3.15,3.98,12.58,37.84,604.4,901.4,218,96.42,170.73,180.41,10.59,7.5,227.83,53.26,198.36,195.11,0
2003,QLD,55.05,67.64,59.89,61.16,61.81,63.95,61.34,58.86,46.31,47.03,44.46,56.08,4.55,4.3,4.26,4.38,4.38,4.13,4.68,4.7,4.68,4.92,5.31,4.25,16.64,15.1,15.43,13.58,10.94,9.37,10.07,12.05,15.32,17.28,18.52,17.59,0.51,0.47,0.46,0.37,0.27,0.21,0.22,0.29,0.4,0.47,0.52,0.51,331.44,237.24,245.6,215.38,171.38,126.45,154.09,181.22,246.98,295.45,331.58,315.24,29.76,29.11,26.52,24.74,21.09,18.29,17.22,19.29,23.16,25.2,27.87,29.93,70.63,168.03,68.57,26.18,14.47,18.83,9.72,16.47,0.84,22.92,14.37,92.83,514.4,600.9,264.28,107.87,148.31,271.07,9.4,3.5,395.71,27.6,130.92,194.78,0
2004,QLD,63.52,66.89,60.61,57.44,61.08,61.95,59.36,51.47,50.87,45.85,49.94,55.27,4.03,4.01,4.37,4.68,4.45,4.31,4.36,4.1,4.67,4.96,5.04,4.22,17.57,16.35,15.47,13.35,10.21,9.93,10.47,12.82,15.07,17.57,18.55,18.25,0.54,0.51,0.47,0.36,0.26,0.23,0.25,0.33,0.4,0.49,0.52,0.54,283.14,226.72,257.23,213.07,155.88,138.04,147.59,187.35,221.38,298.76,293.15,299.21,29.82,28.94,27.77,24.92,20.79,17.3,16.78,17.74,21.37,26.39,27.68,28.94,178.63,126.55,64.35,31.86,13.94,2.88,3.38,6.47,11.31,14.76,47.26,102.99,789.7,1109.7,176.81,151.19,263.13,154.69,9.13,4.9,387.52,47.67,210.59,217.97,0
2005,QLD,61.81,54.38,53.05,56.52,58.44,70.91,68.64,60.38,52.09,52.92,51.95,47.42,4.49,4.17,4.3,4.91,4.27,4.1,4.76,4.81,4.5,4.48,4.61,4.49,17.29,18.15,15.13,13.09,11.08,8.73,9.87,11.93,14.97,16.04,18.07,18.82,0.54,0.55,0.45,0.36,0.26,0.19,0.22,0.28,0.38,0.43,0.51,0.56,318.57,274.67,279.51,249.23,190.6,122.03,148.25,168.06,224.22,255.07,290.47,330.49,29.08,29.15,27.83,25.9,20.11,18.73,17.74,18.28,22.91,27.19,28.63,30.92,131.63,54.5,38.3,12.24,21.52,55.5,8.64,16.97,5.86,41.79,41.73,43.02,711,1170.4,154.14,97.23,177.78,142.32,20.93,9.7,227.96,45.63,173.48,183.31,0
2006,QLD,62.06,57.83,63.69,66.86,60.8,66.73,67.46,55.94,53.3,46.57,44.52,51.69,4.45,4.29,4.26,4.06,4.07,4.96,4.17,4.44,5.03,5.23,4.95,5.23,16.81,17.65,13.86,11.85,10.55,9.23,9.77,12.6,15.1,17.41,18.88,17.5,0.52,0.55,0.43,0.34,0.26,0.22,0.23,0.32,0.41,0.49,0.54,0.53,297.95,244.39,245.56,179.18,155.24,125.49,128.73,185.46,230.85,290.65,330.18,322.02,30.89,30.38,27.48,24.14,19.12,17,16.84,18.26,22.26,25.92,28.12,28.63,135.11,62.43,129.31,115.62,19.85,19.71,28.7,3.21,10.86,3.24,20.51,51.61,778.3,1217.6,161.06,129.33,165.99,128.33,15.57,7.5,227.89,34.14,129.13,167.29,0
2007,QLD,64.8,63.83,61.84,56.2,63.06,70.11,63.63,59.52,50.25,48.81,56.35,59.63,4.41,4.87,4.13,4.45,4.47,4.44,4.16,4.67,4.58,5.05,4.92,4.54,16.33,16.59,15.29,13.33,10.45,8.15,10.31,11.36,15.05,16.96,17.07,17.91,0.52,0.53,0.47,0.36,0.26,0.18,0.23,0.27,0.39,0.46,0.48,0.53,236.9,239.38,257.06,231.94,178.1,107.16,141.19,175.61,228.86,311.32,277.38,271.17,29.06,28.3,28.3,24.55,22.74,15.26,15.49,19.09,22.29,26.58,27.07,28.73,152.52,118.26,68.75,9.47,14.68,76.58,0.79,16.07,9.42,23.71,59.87,114.45,638,776.7,218.11,80.52,78.96,230.5,24.41,3.6,308.82,27.22,92.42,216.42,0
2008,QLD,64.45,67.88,61.67,57.28,58.44,67.75,63.16,57.44,56.28,49.86,53.38,55.94,4.8,4.35,4.44,4.32,4.16,4.59,4.41,5.13,4.82,5.54,4.65,3.89,16.68,15.28,15.43,13.85,10.9,9.23,9.69,11.46,14.24,17.01,17.81,18.15,0.52,0.48,0.46,0.37,0.27,0.21,0.23,0.28,0.38,0.48,0.52,0.56,270.9,224.27,258.71,218.23,168.9,134.49,144.48,180.08,209.54,309.64,283.64,320.47,28.77,27.63,25.99,22.34,19.59,18.42,16.43,17.19,22.77,26.18,28.12,29.97,159.12,175.28,48.15,5.59,7.94,19.75,38.44,5.03,26.35,15.64,75.99,77.72,668.9,953.9,347.43,112.93,142.85,294.98,20.35,11.8,366.01,45,198,232.87,0
2009,QLD,73,72.09,64.07,63.01,65.05,65.1,62.55,54.61,49.58,45.52,48.89,56.96,4.53,4.06,4,4.11,4.36,3.7,4.22,4.43,4.6,5.12,5.18,4.49,15.5,15.99,15.4,13.01,10.24,9.56,10.37,12.53,14.9,17.36,18.44,17.35,0.5,0.52,0.47,0.36,0.25,0.21,0.23,0.3,0.39,0.48,0.51,0.53,268.65,232.23,258,193.97,162.31,129.26,149.94,205.92,241.35,310.59,320.35,333.19,28.05,27.86,27.23,24.31,20.13,17.86,16.69,21.14,22.76,24.78,28.55,29.58,267.34,168.86,28.15,41.19,20.27,15.98,1.15,0.89,4.78,13.25,31.02,90.56,1019.9,2016,234.81,91.87,173.04,233.96,7.29,7,421.98,49.27,254.92,244.57,0
2010,QLD,67.61,73.08,75.66,74.97,68.63,69.75,73.11,65.33,68.47,62.72,67.11,69.77,4.55,4.05,4.5,4.07,4,4.46,4.87,4.69,4.98,5.17,4.53,3.96,16.52,16,14.6,11.99,10.47,9.45,8.88,11.13,12.69,15.77,15.47,16.21,0.52,0.51,0.45,0.32,0.25,0.21,0.21,0.28,0.34,0.43,0.44,0.48,306.7,228.6,230.17,163.73,148.59,126.63,130.66,156.79,178.1,235.73,217.05,258.2,28.58,27.7,25.86,24.75,20.19,17.4,18.24,18.28,22.76,24.23,25.36,27.29,185,192.17,118.39,60.92,16.13,4.59,28.08,34.01,72.47,59.33,121.75,220.49,961.7,1346.3,198.85,68.55,113.08,197.22,11.61,6.6,197.6,37,146,232.87,0
2011,QLD,68.91,73.38,78.03,73.36,69.36,71.44,67.62,59.96,53.3,54.66,59.59,65.67,4.12,4.14,4.22,4.21,4.24,4.22,4.4,4.48,4.89,4.8,4.67,4,17.65,16.37,13.38,12.43,10.84,9.16,9.74,12.05,14.41,16.31,16.97,16.42,0.54,0.5,0.41,0.34,0.26,0.2,0.22,0.28,0.36,0.43,0.47,0.48,321.96,221.56,217.94,171.99,161.12,121.54,133.68,183.61,219.08,259.85,307.26,288.35,28.76,28.45,26.05,22.81,18.01,15.92,16.02,18.42,21.25,25.27,28.23,27.38,149.53,137.04,222.38,38.11,12.15,14.5,10.29,11.69,9.24,31.99,58.78,128.66,905.5,1523.6,221.45,93.97,146.18,160.08,13.65,7.3,163.78,37.03,171.48,205.28,0
2012,QLD,64.1,66.96,73.38,66.93,65.83,71.5,72.55,57.74,51.47,48.14,49.35,50.94,4.22,4.08,4.4,3.96,4.62,4.03,4.84,4.1,4.63,4.92,4.76,4.55,16.74,16.63,13.85,12.97,10.33,9.35,9.47,12.47,15,16.95,18.41,18.42,0.52,0.52,0.41,0.35,0.25,0.2,0.21,0.29,0.38,0.46,0.52,0.54,358.55,247.07,210.51,203.05,158.13,116,131.97,173.68,231.21,278.21,289.77,323.73,28.81,27.66,25.72,23.45,19.33,16.07,16.24,17.73,22.11,24.82,28.51,29.87,148.99,112.75,174.94,22.96,31.68,32.89,34.85,2.94,6.13,14.56,26.99,47.22,953.21,1886.31,190.17,79.98,191.03,182.18,17.86,22.8,153.77,42.86,216.92,203.31,0
2013,QLD,55.33,62.44,64.85,60.83,67.52,67.03,65.5,52.5,47.22,42.97,49.67,49.35,5.08,4.13,4.54,4.28,4.61,4.31,5,4.13,4.84,5.27,4.39,4.66,17.77,16.59,14.41,13.04,10.2,8.96,9.75,12.76,15,17.71,17.52,19.01,0.54,0.51,0.43,0.35,0.26,0.21,0.23,0.32,0.4,0.5,0.51,0.56,382.28,251.15,251.58,198.23,152.16,131.98,159.41,191.16,246.65,345.09,304.48,353.44,30.95,28.38,27.23,24.13,20.84,17.94,18.51,19.4,24.46,26.76,27.92,29.6,138.06,73.96,81.83,34.26,29.42,6.91,9.33,0.78,3.85,8.93,70.83,27.51,865.93,1613.97,286.83,89.66,170.21,244.53,47.97,14.4,174.16,40,213,208.55,0
2014,QLD,56.5,67.44,64.45,64.24,64.06,67.92,59.55,60.28,53.16,45.17,47.31,57.94,4.89,4.54,4.42,3.99,4.41,4.55,4.07,4.89,4.56,4.9,4.99,4.12,16.97,14.9,14.57,12.68,10.64,9.28,10.38,11.92,14.99,17.98,18.47,17.58,0.53,0.47,0.43,0.34,0.26,0.2,0.23,0.28,0.38,0.48,0.51,0.51,350.76,270.14,281.12,220.87,177.32,142.27,153,194.65,229.52,333.08,329.58,325.12,30.33,28.16,27.3,25.7,21.49,17.94,16.32,18.03,21.79,26.09,29.9,29.92,82.25,177.56,81.37,33.72,8.33,16.47,2.13,21.36,14.45,6.01,20.35,95.14,757.96,1036.45,294.57,105.76,179.54,244.53,23.3,3,167.34,26.16,137.25,285.84,0
2015,QLD,64.81,58.47,55.46,58.97,63.08,68.97,62.81,57.1,49.62,47.74,50.75,58.24,4.3,4.4,4.33,4.4,4.44,4.76,4.46,4.28,4.77,5.29,4.62,4.72,16.31,17.47,15.7,13.3,10.95,9.03,10.1,12.57,15.41,17.35,18.55,17.38,0.51,0.54,0.46,0.36,0.27,0.21,0.24,0.31,0.41,0.47,0.53,0.51,296.53,311.77,299.41,232.5,189.92,153.59,165.01,167.81,249.05,298.17,298.45,351.34,29.18,29.56,29.01,23.71,20.55,19.06,16.94,18.65,21.54,26.55,29.29,29.45,136.05,64.3,50.44,21.09,14.64,22.39,6.6,8.84,4.1,13.78,42.05,108.17,633.51,986.86,300.62,125.48,253.2,279.89,65.35,14.8,250.59,30.72,182.99,312.39,0
2016,QLD,59.91,61.12,64.58,58.53,62.56,71.92,71.09,64.38,64.17,50.33,44.92,57.33,4.13,3.89,3.76,4.43,4.09,4.35,4.35,4.55,4.79,5.06,4.69,4.47,18.42,17.6,14.82,13.07,10.42,8.94,9.55,11.7,13.51,17.56,18.37,17.73,0.57,0.55,0.45,0.36,0.26,0.21,0.23,0.3,0.36,0.49,0.54,0.54,296.01,272.3,394.18,233.16,195.2,127.16,123.13,160.56,179.16,272.88,286.76,339.36,29.75,29.91,28.37,26.32,22.9,18.62,17.58,18.55,21.82,24.03,27.9,29.95,90.58,78.2,109.55,9.02,32.18,59.91,49.13,28.96,58.43,16.41,24.81,68.97,611.1,1315.92,259.71,137.7,372.37,243.35,36.21,23.4,265.17,30.09,163.91,285.46,0
2017,QLD,66.34,60.49,62.36,61.45,64.42,65.91,61.56,52.72,47.53,56.78,54.45,50.02,4.03,3.92,3.91,4.56,4.41,4.6,4.25,4.37,4.99,4.75,4.79,4.45,17.76,17.04,14.61,13.17,10.62,9.33,9.81,12.64,14.81,16.11,17.86,19.52,0.56,0.53,0.44,0.36,0.26,0.2,0.22,0.31,0.38,0.44,0.5,0.58,342.86,361.86,283.54,236.93,186.63,147.61,138.34,163.53,198.22,234.18,332.69,389.78,30.51,30.11,28.86,23.96,21.56,17.93,18.82,19.26,23.11,26.59,27.21,30.18,143.78,81.65,114.06,11.5,26.38,5.23,9.72,2.59,1.57,72.13,44.98,36.52,622.2,1501.6,208.85,149,435.73,201.68,47.43,56.5,255.38,35.32,146.24,277.49,0
2018,QLD,53.66,59.04,68.28,60.11,59.83,63.78,56.47,49.31,46.69,50.91,47.31,51.95,4.53,4.17,4.45,4.36,4.95,4.3,4.15,4.36,5.02,4.63,4.98,4.89,17.15,17.23,14.3,13.44,10.72,9.29,10.36,12.59,15.47,17.13,18.47,17.81,0.52,0.54,0.43,0.36,0.26,0.21,0.23,0.3,0.39,0.46,0.53,0.53,373.69,352.07,337.12,251.39,216.93,155.62,162.23,214.91,278.12,401.18,354.64,312.58,30.92,29.69,27.21,25.53,20.31,17.36,17.49,18.14,22.19,27.02,28.76,30.27,84.13,108.66,149.65,12.34,4.38,8.62,4.99,4.19,2.45,33.14,31.3,78.56,639.19,765.42,289.19,104.89,187.84,275.37,44.87,12.4,227.18,25.7,114.64,306.65,0
2019,QLD,54.66,60.57,61.83,62.8,64.44,65.45,61.49,53.71,44.64,45.16,43.05,43.72,4.95,5.11,4.22,4.71,4.63,4.74,4.28,4.59,4.83,5.2,4.84,4.53,17.67,17.14,14.42,13.04,10.44,9.42,10.38,12.39,15.23,17.24,18.96,19.07,0.55,0.53,0.43,0.36,0.26,0.21,0.23,0.29,0.39,0.46,0.54,0.56,302.23,247.49,258.45,206.85,163.86,129.47,141.69,179.39,226.9,286.6,296.78,312.58,31.19,28.65,28.25,24.41,20.74,17.18,17.48,18.28,22.03,26.14,28.48,31.27,101.94,136.33,130.49,34.54,11.81,11.76,7.87,2.4,1.69,13.84,10.63,20.57,419.7,419.68,393.01,99.48,132.01,374.24,35.89,10.6,326.64,28.29,88.04,407.49,0
2020,QLD,58.87,65.59,65.61,60.2,61.97,66.33,62.95,55.58,53.28,49.87,46.34,58.18,4.21,3.75,4.5,4.04,4.51,4.58,4.64,4.49,5.47,5.1,5.1,4.24,17.13,16.64,14.7,13.28,10.44,9.6,9.96,12.17,14.64,17.45,19.24,16.97,0.52,0.51,0.44,0.37,0.26,0.22,0.22,0.3,0.38,0.49,0.55,0.52,302.23,247.49,258.45,206.85,163.86,129.47,141.69,179.39,226.9,286.6,296.78,312.58,31.07,29.45,26.99,25.19,19.31,18.41,17.07,19.02,23.69,25.86,29.65,29.86,136.09,128.82,77.69,13.97,21.48,8.04,8.97,13.04,15.29,27.25,15.53,112.17,441.48,418.48,357.83,80.49,80.08,341.77,50.1,25,380.72,16.99,57.72,458.84,1
2021,QLD,61.57,63.59,65.02,61.44,63.47,68.19,63.5,58.44,52.83,50.38,58.67,55.7,4.36,4.03,4.29,4.16,4.53,4.17,4.33,4.74,5.52,4.36,4.62,4.05,16.82,16.55,14.78,12.97,11.21,9.12,10.11,12,14.62,17.13,17.17,18.3,0.53,0.52,0.45,0.36,0.27,0.2,0.22,0.28,0.38,0.46,0.5,0.54,302.23,247.49,258.45,206.85,163.86,129.47,141.69,179.39,226.9,286.6,296.78,312.58,29.14,28.97,27.28,23.79,20.3,17.78,18.1,19.93,22.57,26.82,27.28,29.11,123.78,116.76,93.15,47.45,6.4,26.65,15.81,8.68,11.57,30.15,114.6,80.16,750,1102.5,426.37,135,240,462.75,15,7.5,1763.58,25,110,220.11,1
