Year,State,Jan_humidity,Feb_humidity,Mar_humidity,Apr_humidity,May_humidity,Jun_humidity,Jul_humidity,Aug_humidity,Sep_humidity,Oct_humidity,Nov_humidity,Dec_humidity,Jan_wind,Feb_wind,Mar_wind,Apr_wind,May_wind,Jun_wind,Jul_wind,Aug_wind,Sep_wind,Oct_wind,Nov_wind,Dec_wind,Jan_uva,Feb_uva,Mar_uva,Apr_uva,May_uva,Jun_uva,Jul_uva,Aug_uva,Sep_uva,Oct_uva,Nov_uva,Dec_uva,Jan_uvb,Feb_uvb,Mar_uvb,Apr_uvb,May_uvb,Jun_uvb,Jul_uvb,Aug_uvb,Sep_uvb,Oct_uvb,Nov_uvb,Dec_uvb,Jan_eva,Feb_eva,Mar_eva,Apr_eva,May_eva,Jun_eva,Jul_eva,Aug_eva,Sep_eva,Oct_eva,Nov_eva,Dec_eva,Jan_temp,Feb_temp,Mar_temp,Apr_temp,May_temp,Jun_temp,Jul_temp,Aug_temp,Sep_temp,Oct_temp,Nov_temp,Dec_temp,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Wheat_Area,Wheat_Production,Wheat_price,Barley_Area,Barley_Production,Barley_price,Oats_Area,Oats_Production,Oat_price,Corn_Area,Corn_Production,Corn_price,Covid
2003,NSW,38.03,49.35,51.59,58.63,67.85,74.45,71.49,68.88,59.09,60.39,49.36,49.69,5.19,4.57,4.02,4.01,4.11,3.96,4.02,4.4,4.76,4.6,4.64,4.53,19.29,15.58,14.38,10.25,7.39,6.02,6.83,8.53,12.59,14.98,18.33,18.91,0.55,0.44,0.37,0.23,0.13,0.09,0.1,0.14,0.26,0.33,0.45,0.52,370.58,249.31,222.26,137.43,95.4,68.27,70.06,94.86,165.65,187.34,254.54,301.18,26.89,25.91,21.12,16.82,14.36,11.57,10.31,11.06,14.76,16.22,21.37,25.46,14.63,79.08,29.84,48.65,32.95,31.16,34.31,58.06,11.2,50.38,38.64,52.21,2994.8,2494.9,247.63,636.37,428,243.93,308.29,149.28,188.91,20.53,163.47,233.69,0
2004,NSW,46.58,43.97,47.33,51.94,63.47,72.13,73.05,65.86,64.75,54.41,53.22,51.84,4.72,4.5,3.93,3.72,3.76,4.15,3.87,4.3,3.8,4.62,4.87,4.83,19.52,17.42,14.64,10.97,7.75,6.14,6.63,8.95,11.94,15.92,17.93,19.39,0.56,0.51,0.39,0.26,0.15,0.1,0.1,0.16,0.25,0.38,0.46,0.53,316.99,282.1,234.95,157.31,95.77,65.4,70.74,109.28,133.26,215.9,249.96,296.32,25.61,26.9,22.46,18.16,12.59,10.82,9.6,11.76,14.32,18.83,21.14,23.45,62.63,44.87,34.64,20.1,25.68,28.63,26.65,35.48,28.84,49.37,56.83,75.7,3983.4,7288.2,168.92,951.04,1955.19,148.74,449.17,610.16,156.03,21.8,177.53,185.89,0
2005,NSW,46.04,48.67,47.63,51.56,58.43,71.94,75.58,67.39,65.84,59.53,55.46,42.22,4.84,4.61,4.48,3.75,3.72,4.2,3.81,4.45,4.2,4.4,4.83,4.94,19.23,17.43,14.56,11.19,7.78,5.63,6.65,9.3,11.77,14.55,17.97,20.36,0.56,0.49,0.38,0.26,0.14,0.08,0.1,0.16,0.23,0.33,0.46,0.57,328.83,269.5,235.52,182.04,105.41,67.64,64.59,105.36,116.96,188.39,254.2,341.66,25.78,24.08,21.48,17.18,14.22,12.16,10.91,11.4,14.46,18.96,22.03,25.06,40.14,38.46,21.45,9.23,13.63,94.45,41.13,29.57,59.9,53.36,63.36,28.63,4256.3,7537.4,144.58,1023.13,1760.71,125.41,399.9,429.25,133.03,25.46,242.15,160.65,0
2006,NSW,46.33,43.35,49.03,54.46,62,72.13,73.72,63.14,54.78,42.44,42.67,41.33,4.76,4.71,4.13,4.06,3.55,3.68,3.91,3.82,4.44,4.62,4.7,4.77,19.03,17.74,14.27,10.78,8.06,6.34,6.47,9.46,12.88,16.32,17.66,18.21,0.57,0.51,0.38,0.24,0.15,0.1,0.11,0.18,0.28,0.4,0.47,0.52,341.59,279.68,237.46,147.98,91.78,55.79,59.99,106.84,164.59,244.97,279.62,304.1,28.46,26.56,23.45,19.15,11.96,9.59,10.3,11.73,15.91,19.79,22.74,23.99,57.35,30.8,32.8,20.31,7.81,41.06,49.19,16.52,26.46,7.24,33.38,25.96,3554.1,8049,142.9,1103.07,2336.41,99.26,416.39,633.04,147.07,30.63,211.88,173.69,0
2007,NSW,48.74,48.05,53.22,54.41,68.36,77.97,74.83,66.81,54.25,48.29,58.42,56.25,5.02,4.21,4.53,3.72,3.69,4.44,4.36,4.07,4.45,4.44,4.23,4.58,18.85,17.52,14.03,10.7,7.73,6.07,6.88,9.07,12.77,15.66,16.59,18.81,0.56,0.5,0.38,0.25,0.15,0.09,0.1,0.16,0.25,0.36,0.42,0.52,321.69,260.99,231.49,158.31,94.56,47.24,67.72,108.84,168.08,256.18,226.45,244.43,26.09,26.59,23.52,19.22,15.61,9.16,9.51,13,15.08,19.69,22.26,23.75,46.22,49.11,48.03,32.29,51.01,62.39,16.75,32.69,8.93,28.99,73.92,95.76,3595.8,2567.7,218.22,901.74,753.02,223.91,390.06,114.58,300.25,20.38,143.25,227.59,0
2008,NSW,55.28,57.99,52.1,59.53,65.66,76.05,72.97,69.92,59.83,52.6,55.75,50.74,4.43,4.48,3.79,4.17,3.32,4.29,4.41,4.35,4.4,4.5,4.68,4.66,18.69,16.59,14.96,10.63,7.83,5.86,6.66,9.05,12.66,15.92,16.35,18.91,0.54,0.47,0.39,0.24,0.14,0.09,0.1,0.16,0.26,0.38,0.43,0.53,290.99,212.53,215.83,139.76,88.21,58.77,73.22,95.29,155.56,213.83,217.94,286.89,25.8,22.64,22.14,17.84,13.68,12.29,9.92,9.9,15.4,19.62,21.03,23.28,73.56,72.75,22.86,27.11,13.06,44.68,28.4,26.13,41.64,31.05,81.89,55.17,4008.9,2477.1,333.26,1048.96,814.35,317.99,464.35,193.2,308.01,20,176,192.19,0
2009,NSW,43.06,47.27,52.8,60.85,68.71,75.67,74.66,64.33,58.89,56.06,49.14,49.06,4.7,4.63,4.27,4.22,3.95,4.01,4.17,4.11,4.75,4.59,4.65,4.64,19.91,16.97,14.39,10.44,7.52,5.79,6.7,8.98,12.29,15.29,17.71,18.79,0.59,0.5,0.38,0.24,0.13,0.09,0.1,0.16,0.25,0.35,0.46,0.53,338.72,251.91,232.91,140.72,97.45,58.9,72.19,118.86,159.7,213.28,308.98,310.67,26.66,25.59,22.59,18.29,13.92,11.68,10.49,13.15,15.42,17.99,25.52,24.56,24.29,67.99,30.27,52.02,45.21,53.11,22.16,11.31,27.7,39.04,37.62,75.01,4322.2,6963.3,237.92,977.48,1449.4,235.59,273.44,260.61,247.5,14.44,115.15,275.07,0
2010,NSW,47.97,62.58,63.17,66.33,69.52,76.74,78.83,74.49,71.77,69.89,69.33,66.55,4.3,4.36,4.19,3.53,3.67,3.83,3.74,4.84,4.02,4.49,4.39,4.43,19.88,15.95,13.94,10.29,7.43,6.02,6.19,8.63,11.57,14.16,16.27,18.77,0.58,0.46,0.37,0.23,0.13,0.09,0.1,0.15,0.24,0.33,0.42,0.52,314.48,212.62,185.44,119.87,81.9,53.13,49.85,74.05,102.77,149.87,181.81,208.12,26.38,24.95,21.97,17.67,13.68,10.67,10.17,10.4,14.06,17.4,20.21,22.25,43.02,115.44,75.75,32.96,46.29,27.64,64.58,45.28,52.6,100.99,107.18,106.6,3982.6,5349.8,193.86,950.73,1236.25,167.2,306.9,210.95,186.78,20,172,234.9,0
2011,NSW,60.16,66.46,68.02,66.11,71.3,76.06,76.36,69.89,60.05,62.42,60.75,58.63,4.42,4.27,4.31,3.74,4.06,4.53,4.31,3.89,4.8,4.16,4.35,4.33,19.08,16.3,12.9,10.7,7.39,6.33,6.59,8.81,12.24,14.67,16.13,18.71,0.57,0.48,0.34,0.23,0.13,0.09,0.09,0.15,0.24,0.33,0.42,0.5,273.43,200.86,168.05,123.4,79.37,60.21,67.03,94.36,147.71,171.03,222.44,231.55,26.13,25.34,21.8,17.5,12.16,10.74,9.85,12.93,15.07,18.02,22.41,21.75,85.58,86.52,69.52,32.7,33.75,36.4,23.62,40.69,42.47,39.97,101.67,72.81,3814.7,10488.4,215.2,878.02,2193.57,192.61,321.23,468.56,173.3,23.19,171.06,256.07,0
2012,NSW,54.86,62.8,70.31,68.53,69.89,77.52,77.73,67.58,59.18,50.42,49.19,44.55,4.95,3.83,4.27,3.69,3.73,3.92,4.32,4.48,4.23,4.43,4.44,4.76,18.04,16.41,13.59,10.42,7.87,6.01,6.64,9.21,12.82,16.31,17.39,19.43,0.53,0.48,0.36,0.23,0.14,0.09,0.09,0.15,0.25,0.37,0.44,0.53,260.64,189.96,168.05,131.95,89.99,54.64,61.8,102.95,151.17,203.34,255.47,309.74,24.47,23.27,20.63,16.33,12.53,10.36,9.93,10.91,14.79,18.04,22.94,24.99,90.66,104.73,120.37,24.95,22.24,39.47,44.14,14.21,18.57,15.64,35.25,34.47,3868.36,8472.92,162.83,672.88,1425.04,157.54,236.27,257.56,155.31,21.09,206.85,242.21,0
2013,NSW,42.24,51.78,57.72,57.59,66.74,79.2,76.1,67.13,57.56,48.5,46.53,43.75,4.96,4.85,4.4,3.29,3.97,3.83,3.95,4.27,4.3,4.86,4.69,4.61,19.5,16.53,14.22,10.7,7.41,5.77,6.8,9.35,12.74,16.38,18.16,19.62,0.56,0.46,0.37,0.24,0.14,0.09,0.12,0.18,0.28,0.4,0.47,0.55,360.84,246.12,217.09,139.55,92.05,53.92,67.48,104.55,158.03,250.63,278.51,341.68,27.56,24.96,22.3,18,14.02,11.34,11.43,12.48,17.34,18.67,20.99,24.41,59.3,69.69,56.44,15.35,32.2,74.65,29.59,13.38,30.23,12.92,43.64,24.83,3487.45,7364.89,284.26,618.94,1286.33,245.54,233.78,275.52,177.71,34,261,207.17,0
2014,NSW,41.91,49.5,60.98,66.92,68.58,77.32,73.16,70.42,64.97,50.94,45.06,49.95,4.78,4.43,3.68,3.65,3.7,4.25,4.32,4,4.29,4.32,4.5,4.53,19.61,16.51,13.65,9.95,7.48,6.04,6.85,9.09,12.53,16.38,18.24,18.68,0.58,0.48,0.35,0.23,0.13,0.09,0.1,0.15,0.25,0.38,0.47,0.52,367.09,244.92,173.65,131.58,99.98,54.56,71.06,94.31,150.85,249.94,295.03,294.76,26.73,26.12,22.51,18.21,15.03,11.44,10.06,11.31,14.9,20.18,23.82,24.87,19.49,49.67,84.35,45.88,23.11,40.96,14.88,51.33,24.87,15.37,22.45,75.95,3269.39,6595.63,259.46,715.25,1485.54,248.32,267.88,283.33,170.48,22.18,209.31,251.03,0
2015,NSW,55.08,50.67,47.75,63.16,73.24,77.35,75.61,72.72,62.86,51.45,54.3,44.67,4.66,4.09,4.13,4.12,4.11,3.43,4.17,3.89,4.2,4.18,4.46,4.76,18.32,17.52,14.7,9.86,7.22,5.92,6.61,8.69,12.79,15.56,18.08,19.24,0.53,0.49,0.38,0.23,0.14,0.09,0.1,0.16,0.27,0.38,0.48,0.54,257.71,256.79,251.42,127.41,102.27,59.13,49.64,83.83,135.1,241.95,251.17,320.07,24.89,25.98,22.55,18.25,13.87,10.75,9.29,11.19,13.97,22.02,22.96,25.04,93.45,32.51,19.45,74.92,44.03,49.5,38.33,38.88,15.87,25.46,65.51,43.82,3166.04,6653.67,267.11,882.35,1868.86,273.87,362.16,350.44,214.86,23.44,245.79,292.29,0
2016,NSW,53.52,48.16,51.52,53.35,64.66,76.81,75.99,68.25,69.23,56.8,49.27,49.47,4.22,4.31,3.84,3.83,4.08,4.56,4.16,3.97,4.76,4.98,4.48,4.68,17.66,18.44,13.97,10.68,7.49,5.47,6.39,8.69,11.13,15.74,19.22,18.76,0.51,0.53,0.37,0.24,0.14,0.09,0.11,0.16,0.23,0.38,0.51,0.55,286.31,283.46,243.21,170.18,83.23,46.66,47.43,63.08,92.14,174.81,214.81,298.57,25.56,26.01,24.4,20.1,15,11.26,10.95,11.31,13.67,16.5,21.17,25.39,87.06,14.55,27.46,20.03,59.83,112.18,44.44,58.85,117.96,39.94,26.93,53.82,2932.75,6897.53,242.56,966.18,2527.66,245.43,277.81,382.57,259.74,17.4,169.8,294.16,0
2017,NSW,46.31,43.45,55.66,61.02,64.97,72.02,63.84,60.83,49.27,55.16,52.58,49.58,4.75,4.63,4.53,3.99,3.48,3.39,3.93,4.48,4.68,4.49,4.48,4.59,19.06,17.81,13.96,10.61,7.77,6.31,7.03,9.37,12.66,15.6,17.77,18.96,0.58,0.52,0.37,0.24,0.14,0.09,0.11,0.16,0.25,0.36,0.45,0.54,329.17,250.69,213.65,133.33,69.49,54.51,76.38,94.99,147.29,194.04,252.31,307.01,28.14,26.84,24.24,19.94,13.73,10.68,10.34,11.22,15.47,19.65,22.06,25.3,40.2,20.52,96.32,30.24,29.75,24.93,12.15,22.64,5.15,60.22,45.67,68.64,3248.42,9819.12,202.52,1056.38,2832.13,184.51,326.99,495.66,240.4,22.66,202.51,287.97,0
2018,NSW,43.05,44.39,49.06,51.34,62.26,69.99,62.92,58.36,52.14,54.35,50.27,45.66,4.78,4.55,4.23,3.9,4.13,3.85,3.96,4.72,4.28,4.43,4.76,4.91,19.21,17.49,14.66,11.26,7.76,6.13,7.23,9.18,12.96,15.41,17.1,19.76,0.57,0.51,0.39,0.26,0.14,0.09,0.1,0.16,0.25,0.35,0.43,0.56,344.89,298.99,256.54,192.18,114.15,72.08,90.31,123.61,172.01,195.37,218.22,289.32,27.84,25.99,23.67,19.37,13.83,10.72,10.41,11.37,14.81,19.82,21.82,26.17,31.58,32.55,31.27,12.8,11.95,27.09,8.86,17.17,16.34,49.63,52.14,40.3,2793.46,4702.85,262.91,763.47,1304.65,232.59,365.96,229.36,214.7,20.17,190.21,300.95,0
2019,NSW,42.03,43.25,50.25,55.75,65.42,69.75,68.49,60.58,51.59,44.99,44.63,36.99,4.74,4.82,4.08,3.72,4.06,3.89,3.9,4.29,4.46,4.23,4.87,4.81,19.19,17.94,13.8,10.93,7.77,6.41,6.99,9.54,12.9,16.28,18.59,19.41,0.57,0.51,0.37,0.24,0.14,0.09,0.1,0.15,0.25,0.37,0.48,0.54,310.04,238.78,215.65,141.97,87.94,59.14,65.75,97.32,142.21,202.8,241.24,289.32,30.51,25.91,23.77,19.47,14.25,10.98,11.19,11.05,15.29,19.74,21.87,26.55,28.44,20.92,49.8,19.49,29.9,20.38,15.4,9.12,13.35,10.32,26.19,8.18,2381.95,1850.34,377.27,667.93,909.09,331.04,334.47,126.26,334.65,21.33,147.44,400.64,0
2020,NSW,45.2,56.38,63.34,68.8,72.89,76.47,77.24,70.45,63.45,62.19,51,50.57,4.58,4.62,4.19,3.97,4.25,3.74,3.89,4.42,4.47,4.24,4.72,4.89,18.26,16.15,13.46,10.02,7.87,6.38,6.79,8.98,12.44,14.8,18.94,18.32,0.52,0.45,0.35,0.23,0.14,0.09,0.1,0.15,0.24,0.35,0.51,0.53,310.04,238.78,215.65,141.97,87.94,59.14,65.75,97.32,142.21,202.8,241.24,289.32,28.01,24.77,21.52,17.22,12.65,10.88,10.26,11.03,15.97,18.88,23.76,23.51,42.35,103.03,75.65,69.62,22.81,25.86,43.54,50.12,34.54,67.46,21.01,83.23,2132.02,1772.37,338.37,885.4,916.3,283.01,264.45,183.16,382.93,9.75,95.17,471.13,1
2021,NSW,53.41,58.91,62.16,60.66,68.55,77.3,73.78,68.63,61.58,56.17,65.44,55.13,4.57,4.65,4.55,3.35,3.73,4.19,4.45,4.05,4.65,4.4,4.66,4.19,18.76,17.14,13.07,11.16,7.75,5.81,6.49,9.24,12.4,15.7,15.49,19.91,0.56,0.5,0.35,0.26,0.14,0.08,0.09,0.16,0.26,0.36,0.41,0.55,310.04,238.78,215.65,141.97,87.94,59.14,65.75,97.32,142.21,202.8,241.24,289.32,25.01,24.04,21.14,16.84,13.47,10.96,10.29,12.06,14.73,17.58,20.11,23.65,66.49,67.47,138.11,11.52,29.12,59.9,42.19,27.64,44.26,40.34,136.67,56.86,3800,13110,264.61,950,3230,255.37,320.16,496.24,287.2,18,176.4,335.14,1
