Year,State,Jan_humidity,Feb_humidity,Mar_humidity,Apr_humidity,May_humidity,Jun_humidity,Jul_humidity,Aug_humidity,Sep_humidity,Oct_humidity,Nov_humidity,Dec_humidity,Jan_wind,Feb_wind,Mar_wind,Apr_wind,May_wind,Jun_wind,Jul_wind,Aug_wind,Sep_wind,Oct_wind,Nov_wind,Dec_wind,Jan_uva,Feb_uva,Mar_uva,Apr_uva,May_uva,Jun_uva,Jul_uva,Aug_uva,Sep_uva,Oct_uva,Nov_uva,Dec_uva,Jan_uvb,Feb_uvb,Mar_uvb,Apr_uvb,May_uvb,Jun_uvb,Jul_uvb,Aug_uvb,Sep_uvb,Oct_uvb,Nov_uvb,Dec_uvb,Jan_eva,Feb_eva,Mar_eva,Apr_eva,May_eva,Jun_eva,Jul_eva,Aug_eva,Sep_eva,Oct_eva,Nov_eva,Dec_eva,Jan_temp,Feb_temp,Mar_temp,Apr_temp,May_temp,Jun_temp,Jul_temp,Aug_temp,Sep_temp,Oct_temp,Nov_temp,Dec_temp,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Wheat_Area,Wheat_Production,Wheat_price,Barley_Area,Barley_Production,Barley_Price,Oats_Area,Oats_Production,Oats_Price,Covid
2000,SA,38.56,49.78,51.1,59.75,66.83,68.91,63.17,59.55,52.11,49.84,50.31,39.74,5.78,5.56,4.98,4.61,4.57,4.41,4.83,4.74,5.21,5.17,5.29,5.66,20.35,18.46,15.76,11.88,8.59,7.08,7.71,10.17,13.6,16.77,18.93,20.23,0.61,0.54,0.43,0.29,0.17,0.12,0.13,0.19,0.29,0.41,0.5,0.58,386.67,317.06,266,172.47,119.08,92,108.78,128.84,201.85,238.3,300.65,366.08,26.6,28.19,25.12,19.99,14.23,11.89,12.88,13.23,18.84,19.45,25.15,26.85,15.64,64.69,17.31,39.66,17.06,11.62,14,21.47,12.22,26.55,28.16,14.92,1850,2585.5,224.7,845.34,1409.18,185.77,69.91,77.54,192.75,0
2001,SA,37.12,43.91,47.92,48.28,58.08,70.56,71.17,62.97,55.3,55.28,47.28,50.53,5.53,5.99,5.18,4.62,4.18,4.03,3.67,5.27,5.22,5.41,5.56,5.5,20.74,18.26,15.36,12.31,8.51,6.84,7.54,9.93,12.74,16.31,19.16,19.8,0.62,0.55,0.42,0.29,0.17,0.11,0.12,0.19,0.27,0.37,0.49,0.55,415.93,348.87,264.31,205.07,127.25,78.14,76.45,144.39,189.49,224.22,273.88,289.44,30.86,29.26,22.86,19.58,15.52,12.53,11.95,13.78,17.97,17.9,21.98,23.36,14.02,14.16,29.83,6.03,16.71,59.18,19.55,13.08,27.71,34.79,19.72,54.91,1975.6,4162.4,224.7,1040.86,2320.33,185.77,75.03,117.21,192.75,0
2002,SA,40.58,46.14,46.7,46.03,53.35,59.25,54.36,50.8,46.05,40.8,40.3,36.61,5.32,5.79,5.1,4.36,4.24,5.02,5.01,4.77,5.71,6.03,5.46,5.95,20.38,17.7,16.64,11.91,8.72,7.4,7.97,10.45,13.67,17.33,18.56,20.12,0.59,0.51,0.45,0.28,0.18,0.13,0.14,0.19,0.29,0.42,0.49,0.56,358.34,296.02,301.52,218.86,166.39,111.45,130.35,159.76,238.19,313.82,336.96,399.54,25.94,24.12,23.61,22.33,17.17,12.79,13.03,13.3,17.3,20.2,24.69,26.44,7.58,28.55,1.95,6.7,11.58,9.91,11.47,5.96,7.22,4.24,19.41,12.25,1986.6,4778.5,240.92,1151.18,2781.76,181.65,108.25,202.95,161.63,0
2003,SA,36.36,49.73,51.16,50.25,57.52,63.86,60.56,60.5,51.86,49.97,42.24,43,6.06,5.42,4.89,4.4,4.49,4.71,4.64,5.37,5.67,5.52,5.32,5.32,20.54,17.57,16.32,12.05,8.61,6.91,7.95,9.48,13.6,16.75,19.18,19.72,0.6,0.51,0.44,0.28,0.17,0.11,0.13,0.17,0.29,0.38,0.49,0.55,434.09,306.56,293.13,204.24,143.99,102.59,126.97,148.5,219.68,269.7,335.27,370.71,28.62,27.7,22.41,20.22,16.04,12.83,12.64,13.33,17.64,18.2,24.82,27.21,13.56,60.75,2.53,13.1,11.67,18.01,10.76,34.12,9.4,18.17,17.41,29.37,1956.5,2071.8,237.62,1193.72,1439.87,248.15,87.93,69.9,231.77,0
2004,SA,40.64,42.09,40.36,49.57,58.73,71.16,67.44,59.12,54.77,44.88,40.89,40.78,5.74,5.17,5.15,4.47,4.26,4.9,4.5,5.06,4.64,5.14,6.02,5.65,20.76,18.84,15.72,11.83,8.34,6.97,7.5,10.22,13.27,17.26,18.9,20.63,0.61,0.56,0.43,0.29,0.17,0.13,0.13,0.2,0.29,0.43,0.5,0.58,381.74,339.64,324.28,219.41,125.27,91.09,101.5,144.33,176.59,299.01,341.48,339.75,26.86,28.79,24.44,21.08,14.76,13.47,11.79,13.82,16.29,21.85,23.71,25.38,3.72,21.38,6.38,9.87,27.61,39.68,13.69,21.66,20.16,9.13,14.08,15.39,1959.5,3490.4,197.23,1215.88,2691.1,152.06,88.67,137.4,135.38,0
2005,SA,39.24,39.69,38.3,42.64,50.95,62.24,69.13,59,54.46,53.08,44.7,39.94,5.65,5.72,5.1,4.73,4.01,4.97,4.18,5.08,5.02,5.38,5.55,5.79,20.49,18.9,16.16,12.21,8.64,6.89,7.63,9.9,12.99,16.14,19.44,20.38,0.6,0.54,0.44,0.3,0.17,0.11,0.13,0.18,0.27,0.38,0.51,0.57,406.98,334.05,316.62,267.8,166.13,109.43,95.7,160.82,193.17,262.93,318.69,374.38,27.04,25.76,24.3,23.11,17.21,13.41,12.49,14.1,17.37,21.23,24.02,26.68,9.53,2.8,2.23,3.41,2.67,29.55,27.68,12.89,27.57,39.56,19.82,20.99,1979.2,2620.8,174.23,1280.08,1979.22,135.72,75.81,89.72,122.62,0
2006,SA,43.34,46.07,46.53,52.82,59.69,62.38,67.39,54.64,46.22,38.89,36.97,37.09,5.93,5.56,5.19,4.98,4.1,3.95,4.6,4.21,5.25,5.48,5.52,5.66,19.78,18.28,15.94,11.51,8.84,7.56,7.27,10.63,14.17,17.05,19.59,19.86,0.6,0.55,0.45,0.28,0.18,0.13,0.14,0.23,0.33,0.43,0.53,0.57,405.47,312.52,312.12,191.34,130.47,100.09,100.59,164.46,246.94,318.36,379.72,387.64,30.58,26.39,25.31,18.86,13.77,10.35,11.94,14.86,18.33,21.9,25.55,26.06,27.15,19.93,14.8,14.62,6.37,6.29,29.48,2.29,2.96,4.79,8.08,13.47,2034.9,3852.8,179.2,1169.41,2547.8,130.82,72.18,119.56,126.31,0
2007,SA,45.42,40.02,47.14,48.16,62.3,69.1,61.86,54.17,44.72,42.75,45.91,42.38,5.72,5.27,5.67,4.48,4.72,4.24,4.81,4.78,5.35,5.55,5.22,5.43,20.15,19.32,15.21,11.91,8.55,7.22,7.83,10.52,14.08,16.25,19.17,19.88,0.62,0.57,0.43,0.29,0.17,0.11,0.13,0.19,0.29,0.39,0.49,0.56,384.29,363.19,272.28,218.65,138.01,87.7,122.35,181.33,258.84,330.44,349.29,379.4,27.35,29.4,24.75,21.53,17,10.29,12.53,14.62,17.99,21.49,24.51,26.18,47.11,4.15,33.66,18.95,21.52,5.97,8.86,5.07,4.27,10.61,18.13,31.36,2172.5,1446,215.08,1193.16,995.97,211.36,106.36,51.52,163.05,0
2008,SA,40.5,42.42,36.72,45.66,55.69,66.17,63.61,61.53,50.52,40.33,50.25,48.29,5.7,6.03,4.83,4.79,3.87,4.6,5.07,4.77,5.11,5.37,5.32,5.39,21.55,18.27,16.43,11.91,9.08,7.04,7.63,10.09,14.18,17.26,17.99,19.45,0.64,0.53,0.45,0.29,0.18,0.12,0.14,0.19,0.31,0.43,0.49,0.57,438.11,332.71,356.29,225.99,148.43,116.35,124.63,144.13,254.3,366.07,265.36,321.78,28.78,25.34,25.52,19.59,15.99,13.06,12.18,11.52,17.82,21.98,22.88,25.17,3.51,7.66,3.04,7.02,7.69,17.9,12,18.92,4.32,2.84,42.52,52.23,2120.8,2296,378.31,1244.34,1672.37,265.68,141.58,115.29,321.88,0
2009,SA,36.8,38.39,47.69,51.96,64.66,66.58,66.83,56.59,51.57,47.02,41.44,42.56,5.58,5.75,5,4.81,3.92,4.78,4.95,5.08,5.72,5.39,5.52,5.37,21.87,19.03,15.7,12.01,8.53,7.05,7.76,10.3,13.83,17.5,18.93,21.09,0.66,0.57,0.43,0.29,0.16,0.12,0.13,0.2,0.29,0.42,0.5,0.6,365.94,369.3,296.33,212.09,123.67,99.29,115.09,177.23,237.52,312.5,394.82,408.01,28.5,28.28,24.63,19.98,14.83,13.13,12.98,16.03,17.73,20.2,26.1,25.92,4.3,1.4,18.91,15.85,14.52,18.17,19.27,11.57,22.47,10.78,38.17,23.3,2103.9,2376.1,236.31,1240.14,1876.76,160.62,100.05,81.34,221.92,0
2010,SA,39.08,53.05,54.02,60.31,62.47,70.77,71.27,68.83,69.06,61.17,57.05,49.36,5.53,5.26,4.74,4.09,4.28,3.86,4.17,5.2,4.86,4.93,4.84,5.26,20.71,18.14,15.82,11.57,8.69,7.11,7.47,9.53,12.17,15.98,18.59,20.72,0.61,0.53,0.43,0.28,0.16,0.11,0.12,0.18,0.26,0.38,0.48,0.58,355.32,339.52,321.42,167.01,131.81,89.47,84.99,109.21,146.5,234.96,303.4,324.88,28.29,27.43,24.33,21.24,15.55,11.99,11.46,12.2,15.08,18.91,22.31,25.02,14.74,43.27,20.86,25.12,26.6,9.64,27.14,29.92,52.37,49.99,29.94,31.12,2122.4,4001.3,187.12,997.42,2068.23,133.69,96.17,144.02,99.99,0
2011,SA,47.24,63.09,66.27,60.44,66.25,69.61,70.31,61.5,50.31,53.92,48.86,45.21,5.21,5.45,5.47,4.49,4.27,4.57,4.4,4.42,5.46,5.11,5.13,5.37,20.26,17.04,14.54,12.21,8.11,7.12,7.22,10.14,13.59,14.93,18.31,20,0.61,0.51,0.41,0.29,0.16,0.11,0.12,0.19,0.29,0.35,0.48,0.55,342.28,231.08,208.9,190.48,103.51,82.83,96.88,131.81,225.53,243.46,267.91,333.01,29.6,26.76,22.74,19.23,14.29,12.37,12.63,14.96,17.53,20.64,24.36,25.89,25.16,90.85,59.55,6.09,16.41,11.21,21.46,12.14,7.9,30.31,32.47,28.24,2340.6,5948.7,269.56,795.44,2122.42,205.67,67.01,124.57,199.9,0
2012,SA,45.95,48.96,56.8,53.27,59.89,67.67,66.8,58.22,47.96,41.25,38.72,39.11,5.87,5.1,4.96,4.44,4.43,4.85,4.23,5.04,5.3,5.48,5.27,5.35,19.44,17.84,15.66,11.83,8.8,7.08,7.93,10.17,13.75,17.33,19.26,20.54,0.58,0.52,0.43,0.28,0.17,0.11,0.12,0.18,0.29,0.42,0.5,0.58,357.4,278,238.87,196.68,160.71,105.11,103.96,170.43,215.57,279.45,376.91,351.41,27.81,25.81,22.88,20.36,14.67,11.68,10.91,13.42,17.61,21.46,25.92,27.22,19.95,31.77,35.6,7.4,9.04,20.13,12.59,7.61,4.22,3.45,9.2,10.16,2249.07,4524.81,217.89,881.21,1815.51,186.29,54.95,78.04,217.86,0
2013,SA,35.45,43.97,47.14,50.08,60.08,73.74,69.6,59.44,50.39,41.72,40.64,39.45,6.05,5.25,5.08,4.06,4.47,4,4.83,4.99,5.35,5.71,5.64,5.35,21.25,18.15,15.42,11.9,8.19,6.56,7.68,10.38,13.68,17.51,19.25,20.48,0.63,0.51,0.43,0.28,0.17,0.11,0.14,0.21,0.31,0.45,0.51,0.59,425.75,305.69,324.33,214.2,142.88,80.73,111.34,166.01,285.7,316.12,334.43,355.24,28.85,27.43,25.14,21.2,17.76,12.87,12.96,15.38,20.56,20.99,23.38,26.6,1.98,14.53,23.52,9.84,27.21,33.09,27.78,10.51,8.45,5.15,9.22,17.6,2118.74,3678.97,295.01,861.4,1794.44,257,67.9,88.43,210.68,0
2014,SA,38.08,47.38,48.39,61.94,67.11,71.85,66.77,59.19,53.35,40.97,39.36,41.59,5.87,5.73,4.68,4.36,3.99,4.83,4.94,4.19,5.02,5.05,5.3,5.25,20.26,18.11,16.06,11,8.18,7.02,7.71,10.57,13.96,17.32,19.1,20.81,0.61,0.53,0.43,0.26,0.16,0.11,0.13,0.19,0.29,0.42,0.5,0.58,449.42,314.66,289.67,191.48,133.31,108.24,99.8,146.16,220.53,318.6,341.65,321.04,29.13,27.35,24.86,20.71,17.84,12.74,12.18,12.97,17.92,22.83,25.47,26.41,11.44,34.11,4.79,49.17,26.48,14.69,13.88,6.31,7.73,1.97,12.33,14.14,1926.85,4254.32,307.47,810.47,1892.29,228.82,53.68,82.18,234.38,0
2015,SA,50.1,39.05,42.6,54.41,64.87,71.73,67.27,62.74,51.49,40.25,41.94,37.72,5.77,5.32,4.97,4.81,4.57,3.93,4.59,4.53,4.72,4.96,5.44,5.38,19.92,19.05,15.86,11.3,8.42,7.04,7.52,9.85,14.15,16.62,19.01,20,0.59,0.55,0.43,0.27,0.17,0.12,0.13,0.19,0.32,0.41,0.52,0.57,320.23,341.96,332.08,195.79,150.39,95.01,110.23,168.85,233.38,327.19,345.08,415.64,26.58,28.83,23.88,18.3,14.93,12.83,11.42,13.68,16.2,24.69,25.27,27.94,45.66,2.45,3.24,19.86,22.44,16,11.54,17.43,7.15,3.82,19.27,22.71,2045.01,4602.09,270.01,840.45,1941.05,245.42,56.83,89.44,242.06,0
2016,SA,42.75,43.66,50.61,49,56.39,68.69,64.39,56.66,58.66,42.11,39.83,42.63,5.41,5.37,4.34,4.5,4.89,4.7,4.95,4.76,5.31,6.16,5.36,5.63,19.64,19.18,15.09,11.7,8.2,6.54,7.49,9.88,12.72,17.12,19.37,19.44,0.59,0.57,0.42,0.28,0.17,0.11,0.14,0.19,0.28,0.43,0.52,0.58,396.94,390.06,302.3,234.94,150.4,83.43,95.39,157.48,173.96,315.24,378.86,331.63,27.65,27.11,25.53,21.13,16.98,13,12.22,13.51,15,19.48,23.28,26.76,25.86,14.36,45.27,4.58,38.44,42.58,20.34,26.45,49.86,11.63,7.69,68.5,1769.7,3679.35,235.3,769.49,1719.37,195.91,65.42,102.55,298.31,0
2017,SA,41.26,40.19,42.75,50.34,53.06,60.55,56.02,53.28,46.28,44.33,41.47,37.53,5.45,5.5,5.15,4.32,4.1,3.38,4.84,5.24,5.47,5.39,5.28,5.37,19.81,18.88,16.36,11.55,9.03,7.27,8.03,10.26,13.47,17.07,17.99,19.94,0.62,0.56,0.46,0.29,0.18,0.12,0.13,0.2,0.28,0.41,0.47,0.57,322.95,334.16,358.96,196.92,141.74,96.43,128.44,137.19,186.63,249.99,311.19,374.66,28.82,27.27,26.22,19.62,15.65,12,13.25,14.01,17.78,21.4,24.67,26.5,51.56,14.28,3.02,28.57,7.9,9.62,10.6,14.64,18.68,19.64,31.01,22.94,2178.26,6132.51,184.34,980.78,3002.01,154.09,86.1,179.38,245.34,0
2018,SA,37.27,39.33,42.89,43.93,56.27,58.78,55.78,52.05,43.83,44.86,40.24,38,5.81,5.24,5.38,4.38,4.73,4.11,5.02,5.94,4.99,5.14,5.53,5.71,19.52,18.32,16.25,12.66,8.59,7.14,8.04,10.24,14.23,15.98,18.55,20.55,0.59,0.55,0.45,0.31,0.17,0.11,0.13,0.19,0.3,0.38,0.49,0.6,370.16,335.82,312.65,279.84,198.53,136.82,159.13,185.77,283.34,301.44,376.63,356.69,29.35,28.02,24.81,23.13,15.06,12.15,12.85,13.85,16.13,22.09,23.26,27.85,23.35,17.34,6.2,3.32,9.9,11.78,8.73,21.01,2.88,15.27,32.18,14.48,1975.81,4051.96,219.72,876.49,1860.79,202.08,57.09,93.92,220.02,0
2019,SA,34.39,36.89,41.83,42.58,56.78,57.92,60.41,54.86,43.2,36.71,37.41,33.03,5.62,5.34,4.9,4.8,4.63,4.47,4.47,4.9,4.84,5.24,5.73,5.48,20.74,19.68,15.77,11.99,8.88,7.36,7.92,10.42,13.9,17.5,19.82,20.66,0.62,0.57,0.43,0.29,0.17,0.11,0.13,0.18,0.29,0.42,0.52,0.59,380.41,321.62,298.01,205.73,138.95,96.55,108.03,151.74,214.07,286.59,328.88,356.69,30.7,27.28,25.57,21.23,15.39,11.98,13.16,12.68,17.74,22.7,23.07,29.51,4.4,1.92,7.1,3.23,18.92,12.69,6.59,6.61,8.58,2.47,5.35,4.45,1820.82,3024.53,319.8,872.91,1614.99,299.53,115.38,140.28,383.81,0
2020,SA,40.6,44.7,49.19,55.38,58.05,61.99,63.85,61.3,50.18,50.08,39.24,43.19,5.71,5.49,5.24,4.58,4.69,4.25,3.95,4.97,5.44,5.51,5.67,5.84,19.77,18.85,15.13,11.54,8.88,7.56,8.14,9.98,13.52,16.18,19.55,19.48,0.58,0.53,0.41,0.28,0.17,0.12,0.13,0.18,0.28,0.4,0.54,0.58,380.41,321.62,298.01,205.73,138.95,96.55,108.03,151.74,214.07,286.59,328.88,356.69,27.66,26.25,24.24,20.39,14.11,12.21,11.83,14.09,18.99,20.53,26.49,25.07,17.76,20.41,16.33,22.44,7.7,6.8,6.02,24.57,26.19,41.79,4.32,28.73,1720.95,2689.08,300.19,1061.35,1995.14,262.14,92.24,91.8,336.98,1
2021,SA,44.81,43.94,51.09,45.38,53.06,67.64,61.74,56.83,47.08,44.48,53.95,41.13,5.7,5.56,4.8,4.27,4.45,4.81,5.41,4.61,5.45,5.47,5.53,5.49,19.71,18.35,15.52,12.55,8.65,7.09,7.71,10.72,13.99,16.86,17.75,21.28,0.6,0.55,0.44,0.31,0.17,0.11,0.12,0.19,0.3,0.4,0.47,0.6,380.41,321.62,298.01,205.73,138.95,96.55,108.03,151.74,214.07,286.59,328.88,356.69,26.92,25.91,23.86,19.75,15.55,12.57,13.32,13.98,17.29,20.44,21.94,26.09,16.97,19.7,34.07,2.14,9.53,22.93,19.2,7.18,5.6,13.49,61.06,7.67,2075,4800,233.11,860,2400,246.22,85,140,345.67,1
