Year,NSW_Jan_humidity,NSW_Feb_humidity,NSW_Mar_humidity,NSW_Apr_humidity,NSW_May_humidity,NSW_Jun_humidity,NSW_Jul_humidity,NSW_Aug_humidity,NSW_Sep_humidity,NSW_Oct_humidity,NSW_Nov_humidity,NSW_Dec_humidity,NSW_Jan_wind,NSW_Feb_wind,NSW_Mar_wind,NSW_Apr_wind,NSW_May_wind,NSW_Jun_wind,NSW_Jul_wind,NSW_Aug_wind,NSW_Sep_wind,NSW_Oct_wind,NSW_Nov_wind,NSW_Dec_wind,NSW_Jan_uva,NSW_Feb_uva,NSW_Mar_uva,NSW_Apr_uva,NSW_May_uva,NSW_Jun_uva,NSW_Jul_uva,NSW_Aug_uva,NSW_Sep_uva,NSW_Oct_uva,NSW_Nov_uva,NSW_Dec_uva,NSW_Jan_uvb,NSW_Feb_uvb,NSW_Mar_uvb,NSW_Apr_uvb,NSW_May_uvb,NSW_Jun_uvb,NSW_Jul_uvb,NSW_Aug_uvb,NSW_Sep_uvb,NSW_Oct_uvb,NSW_Nov_uvb,NSW_Dec_uvb,NSW_Jan_eva,NSW_Feb_eva,NSW_Mar_eva,NSW_Apr_eva,NSW_May_eva,NSW_Jun_eva,NSW_Jul_eva,NSW_Aug_eva,NSW_Sep_eva,NSW_Oct_eva,NSW_Nov_eva,NSW_Dec_eva,NSW_Jan_temp,NSW_Feb_temp,NSW_Mar_temp,NSW_Apr_temp,NSW_May_temp,NSW_Jun_temp,NSW_Jul_temp,NSW_Aug_temp,NSW_Sep_temp,NSW_Oct_temp,NSW_Nov_temp,NSW_Dec_temp,NSW_Jan_rain,NSW_Feb_rain,NSW_Mar_rain,NSW_Apr_rain,NSW_May_rain,NSW_Jun_rain,NSW_Jul_rain,NSW_Aug_rain,NSW_Sep_rain,NSW_Oct_rain,NSW_Nov_rain,NSW_Dec_rain,NSW_Wheat_Area,NSW_Wheat_Production,NSW_wheat_price,NSW_Barley_Area,NSW_Barley_Production,NSW_Barley_price,NSW_Oats_Area,NSW_Oats_Production,NSW_Oat_price,NSW_Rice_Area,NSW_Rice_Production,NSW_Rice_price,NSW_Corn (maize)_Area,NSW_Corn (maize)_Production,NSW_Corn_price,Covid
2000,69.12,68.56,84.94,80.38,75.62,76.44,73.38,70.56,63.25,65.19,78.88,64.94,5.29,5.34,5.44,6.17,5.24,6.55,5.71,5.28,5.66,4.87,5.8,5.7,11.06,9.69,8.03,6.17,4.55,3.56,4.11,5.57,7.57,9.27,10.34,11.14,0.33,0.28,0.21,0.14,0.08,0.06,0.06,0.09,0.15,0.22,0.27,0.31,291.84,243.35,169.77,120.76,78.25,58.88,66.25,85.57,153.66,181.69,184.59,285.79,23.03,25.25,22.66,18.36,12.83,9.93,10.03,11.03,16.11,17.35,21.63,24.31,29.65,66.08,93.89,52.28,59.92,23.73,25.49,39.03,23.49,65.69,110.76,27.54,3424.5,8601.9,213.7,475.93,1040.31,196.4,159.73,283.72,189.43,131,1084,304.85,22.06,177.76,234.9,0
2001,68,78.69,75.19,74,83.25,80.81,82.94,70.25,70.12,57.44,66.75,62.5,6.74,5.82,4.52,5.45,5,4.36,7.23,6.52,4.77,4.96,6.89,5.38,16.37,14.85,11.66,9.23,6.34,5.75,5.5,8.39,11.45,15.12,14.55,17.04,0.48,0.44,0.3,0.2,0.11,0.08,0.08,0.13,0.22,0.33,0.37,0.47,339.77,233.52,209.84,148.83,88.54,60.4,59.74,105.19,141.73,192.09,227.04,303.39,27.77,26.46,21.45,17.15,13.11,11.29,10.11,11.21,15.78,16.59,20.13,23.05,41.82,63.24,74.73,24.14,28.01,36.29,42.35,25.63,27.79,48.62,45.84,19.98,3670.8,7867.3,213.7,615.45,1253.31,196.4,167.9,245.7,189.43,175,1625,304.85,26.42,177.62,234.9,0
2002,66.25,82.69,72.81,77.69,75.88,71.5,65.38,65.5,57.81,54.12,60.56,65.12,6.54,5.52,4.74,4.89,5.57,5.23,4.91,5.51,5.73,5.32,5.95,6.61,17.63,13.09,12.28,9.7,6.68,5.58,6.7,8.3,11.72,15.26,16.42,17.34,0.51,0.37,0.32,0.21,0.12,0.08,0.1,0.14,0.23,0.34,0.43,0.47,328.08,215.88,233.38,149.24,97.15,79.82,92.47,116.59,180.36,256.43,306.38,340.83,24.94,23.57,22.29,17.99,13.69,11.07,10.1,11.95,15.54,18.76,23.94,24.26,24.36,81.15,37.82,20.29,19.13,20.36,8.15,16.03,26.5,8.26,16.87,34.81,3446,8042.8,209.63,664.71,1382.3,168.28,230.92,320.39,146.08,143,1179,274.05,28.32,245.81,163.96,0
2003,64.25,73.19,72.19,78.62,81.25,80.19,77.94,70.06,57.25,68.12,69.06,69.69,7.39,4.89,4.48,5.52,5.66,4.66,5.26,6.98,6.29,6.16,5.85,5.8,17.34,13.61,12.66,8.55,6.14,6.05,6.18,8.38,11.86,13.87,16.46,16.41,0.48,0.38,0.32,0.19,0.11,0.09,0.09,0.13,0.23,0.3,0.41,0.45,370.58,249.31,222.26,137.43,95.4,68.27,70.06,94.86,165.65,187.34,254.54,301.18,26.89,25.91,21.12,16.82,14.36,11.57,10.31,11.06,14.76,16.22,21.37,25.46,14.63,79.08,29.84,48.65,32.95,31.16,34.31,58.06,11.2,50.38,38.64,52.21,2994.8,2494.9,247.63,636.37,428,243.93,308.29,149.28,188.91,46,435,312.65,20.53,163.47,233.69,0
2004,64.75,69,71.44,70.88,63.31,63.19,71.31,66.5,66.88,70.31,67.19,70.38,5.74,5.05,4.48,4.95,5.55,5.33,7.58,5.69,4.73,6.57,6.18,6.08,17.52,14.78,12.4,9.81,7.46,6.18,6.01,8.38,10.73,14.08,16.32,17.43,0.5,0.43,0.33,0.23,0.13,0.09,0.09,0.14,0.21,0.33,0.42,0.48,316.99,282.1,234.95,157.31,95.77,65.4,70.74,109.28,133.26,215.9,249.96,296.32,25.61,26.9,22.46,18.16,12.59,10.82,9.6,11.76,14.32,18.83,21.14,23.45,62.63,44.87,34.64,20.1,25.68,28.63,26.65,35.48,28.84,49.37,56.83,75.7,3983.4,7288.2,168.92,951.04,1955.19,148.74,449.17,610.16,156.03,66,550,289.46,21.8,177.53,185.89,0
2005,69,69.88,72.81,72.56,73.25,75.69,77.44,64.88,68.06,66.56,72.31,60.5,5.7,5.69,7.15,4.97,5.08,6.14,7.2,4.95,5.81,5.33,7.88,4.48,17.46,16.38,12.15,10.06,6.67,5.51,6.49,8.65,11.07,13.37,14.71,19.5,0.5,0.46,0.31,0.23,0.12,0.08,0.09,0.14,0.2,0.3,0.38,0.53,328.83,269.5,235.52,182.04,105.41,67.64,64.59,105.36,116.96,188.39,254.2,341.66,25.78,24.08,21.48,17.18,14.22,12.16,10.91,11.4,14.46,18.96,22.03,25.06,40.14,38.46,21.45,9.23,13.63,94.45,41.13,29.57,59.9,53.36,63.36,28.63,4256.3,7537.4,144.58,1023.13,1760.71,125.41,399.9,429.25,133.03,51,335,262.09,25.46,242.15,160.65,0
2006,74.81,69.38,71.31,59.62,68.44,80.5,78.44,72.44,68.12,61.81,62.5,67.56,6.3,6.48,4.72,5.24,4.56,5.49,5.3,4.81,7.52,6.3,6.43,6.27,15.43,14.84,12.27,10.33,6.88,5.22,5.92,8.36,11.53,14.04,15.33,15.95,0.46,0.43,0.32,0.23,0.12,0.08,0.09,0.15,0.24,0.34,0.4,0.45,341.59,279.68,237.46,147.98,91.78,55.79,59.99,106.84,164.59,244.97,279.62,304.1,28.46,26.56,23.45,19.15,11.96,9.59,10.3,11.73,15.91,19.79,22.74,23.99,57.35,30.8,32.8,20.31,7.81,41.06,49.19,16.52,26.46,7.24,33.38,25.96,3554.1,8049,142.9,1103.07,2336.41,99.26,416.39,633.04,147.07,101,992,260.09,30.63,211.88,173.69,0
2007,66.31,77,74.62,76.5,73.56,84.31,80.12,79.44,73.31,63.5,78,76.44,6.13,5.13,6.42,4.89,4.86,7.45,5.51,4.34,4.76,4.74,6.01,5.49,18,15.48,12.48,9.12,7.39,4.95,6.22,8.08,11.53,14.34,16.14,16.27,0.53,0.44,0.34,0.2,0.13,0.06,0.08,0.13,0.22,0.32,0.41,0.45,321.69,260.99,231.49,158.31,94.56,47.24,67.72,108.84,168.08,256.18,226.45,244.43,26.09,26.59,23.52,19.22,15.61,9.16,9.51,13,15.08,19.69,22.26,23.75,46.22,49.11,48.03,32.29,51.01,62.39,16.75,32.69,8.93,28.99,73.92,95.76,3595.8,2567.7,218.22,901.74,753.02,223.91,390.06,114.58,300.25,20,161,337.27,20.38,143.25,227.59,0
2008,73.5,80.25,74.31,75.25,74.19,83.56,75.12,68.94,69.25,67.25,66.88,66,5.52,5.47,4.22,4.71,4.02,5.25,4.56,6.02,6.49,6.46,5.69,5.6,16.42,13.27,13.68,8.92,7.17,5.03,6.32,8.31,11.39,13.54,14.91,17,0.48,0.38,0.35,0.2,0.12,0.08,0.09,0.13,0.23,0.32,0.39,0.47,290.99,212.53,215.83,139.76,88.21,58.77,73.22,95.29,155.56,213.83,217.94,286.89,25.8,22.64,22.14,17.84,13.68,12.29,9.92,9.9,15.4,19.62,21.03,23.28,73.56,72.75,22.86,27.11,13.06,44.68,28.4,26.13,41.64,31.05,81.89,55.17,4008.9,2477.1,333.26,1048.96,814.35,317.99,464.35,193.2,308.01,2.08,17.62,415,20,176,192.19,0
2009,63.44,75.25,71.5,75.94,73.69,79.25,74.12,60,59.44,68.06,65.62,68.06,5.7,4.73,5.76,5.3,5,4.7,4.62,6.12,7.18,6.38,5.04,6.44,17.8,14.1,13,8.72,6.6,5.33,6.35,8.9,11.71,13.34,16.3,16.2,0.53,0.41,0.34,0.2,0.12,0.08,0.09,0.15,0.23,0.3,0.43,0.45,338.72,251.91,232.91,140.72,97.45,58.9,72.19,118.86,159.7,213.28,308.98,310.67,26.66,25.59,22.59,18.29,13.92,11.68,10.49,13.15,15.42,17.99,25.52,24.56,24.29,67.99,30.27,52.02,45.21,53.11,22.16,11.31,27.7,39.04,37.62,75.01,4322.2,6963.3,237.92,977.48,1449.4,235.59,273.44,260.61,247.5,7.2,60.87,566,14.44,115.15,275.07,0
2010,69.38,76.88,69.81,71,75.56,82,84.06,71.19,68.62,72.75,77.56,72.81,6.12,5.38,5.41,3.74,5.16,4.95,4.2,7.81,5.94,6.27,4.95,5.63,16.44,14.94,11.97,9.49,6.42,5.52,5.39,8.8,11.07,12.66,15.32,16.68,0.48,0.44,0.31,0.21,0.11,0.07,0.08,0.14,0.22,0.29,0.4,0.46,314.48,212.62,185.44,119.87,81.9,53.13,49.85,74.05,102.77,149.87,181.81,208.12,26.38,24.95,21.97,17.67,13.68,10.67,10.17,10.4,14.06,17.4,20.21,22.25,43.02,115.44,75.75,32.96,46.29,27.64,64.58,45.28,52.6,100.99,107.18,106.6,3982.6,5349.8,193.86,950.73,1236.25,167.2,306.9,210.95,186.78,18.45,194.51,457.07,20,172,234.9,0
2011,71.56,66.94,72.88,73.69,76.81,79.12,80.69,81.44,69.88,73.12,74.69,75.62,5.09,7.79,5.3,4.31,5.88,5.12,6.48,6.08,5.3,5.6,4.84,5.27,17.12,14.12,11.69,9.01,6.61,5.56,6.11,7.79,10.97,13.24,14.11,15.77,0.51,0.41,0.31,0.2,0.11,0.08,0.09,0.12,0.21,0.3,0.37,0.42,273.43,200.86,168.05,123.4,79.37,60.21,67.03,94.36,147.71,171.03,222.44,231.55,26.13,25.34,21.8,17.5,12.16,10.74,9.85,12.93,15.07,18.02,22.41,21.75,85.58,86.52,69.52,32.7,33.75,36.4,23.62,40.69,42.47,39.97,101.67,72.81,3814.7,10488.4,215.2,878.02,2193.57,192.61,321.23,468.56,173.3,74.96,716.34,214.01,23.19,171.06,256.07,0
2012,71.94,82.56,81,77.88,75.06,83.12,81.19,65.81,61.25,60.56,69.56,67.06,5.23,4.73,4.91,5.43,4.72,7.26,4.63,7.19,5.71,6.35,4.9,6.66,16.12,14.15,11.97,8.82,7.14,5.03,6.02,8.92,12.24,14.66,15.1,16.11,0.47,0.41,0.31,0.2,0.12,0.07,0.08,0.13,0.23,0.33,0.38,0.45,260.64,189.96,168.05,131.95,89.99,54.64,61.8,102.95,151.17,203.34,255.47,309.74,24.47,23.27,20.63,16.33,12.53,10.36,9.93,10.91,14.79,18.04,22.94,24.99,90.66,104.73,120.37,24.95,22.24,39.47,44.14,14.21,18.57,15.64,35.25,34.47,3868.36,8472.92,162.83,672.88,1425.04,157.54,236.27,257.56,155.31,101.94,912.34,243.34,21.09,206.85,242.21,0
2013,70.31,81.31,77.12,74.38,74.12,85.25,80.38,67.38,60.31,53.62,70.19,64,6.73,5.81,6.07,5.08,4.73,5.26,4.1,5.12,6.18,5.7,5.95,6.25,16.12,14.72,12.76,9.7,7.12,4.91,6.5,9.16,11.86,15.41,15.08,18.36,0.46,0.41,0.33,0.21,0.12,0.08,0.1,0.16,0.25,0.37,0.38,0.51,360.84,246.12,217.09,139.55,92.05,53.92,67.48,104.55,158.03,250.63,278.51,341.68,27.56,24.96,22.3,18,14.02,11.34,11.43,12.48,17.34,18.67,20.99,24.41,59.3,69.69,56.44,15.35,32.2,74.65,29.59,13.38,30.23,12.92,43.64,24.83,3487.45,7364.89,284.26,618.94,1286.33,245.54,233.78,275.52,177.71,113.05,1157.62,232.3,34,261,207.17,0
2014,66.56,73.12,79.12,79.56,71.19,73.94,68.62,78.31,71.75,65.94,65.81,71.88,4.98,5.66,3.66,5.29,5.02,5.38,5.2,6.1,6.05,6.5,5.13,6.67,17.57,14.23,12.05,8.6,7.25,5.55,6.32,7.66,11.62,14.66,16.32,17.04,0.52,0.41,0.31,0.2,0.12,0.08,0.09,0.12,0.22,0.33,0.42,0.47,367.09,244.92,173.65,131.58,99.98,54.56,71.06,94.31,150.85,249.94,295.03,294.76,26.73,26.12,22.51,18.21,15.03,11.44,10.06,11.31,14.9,20.18,23.82,24.87,19.49,49.67,84.35,45.88,23.11,40.96,14.88,51.33,24.87,15.37,22.45,75.95,3269.39,6595.63,259.46,715.25,1485.54,248.32,267.88,283.33,170.48,73.47,811.81,311.63,22.18,209.31,251.03,0
2015,74,75.44,68.75,80.94,81.38,83.12,77.06,72,69.31,64.62,70.06,66.44,4.99,4.78,6.17,8.71,6.61,5.19,5.25,4.71,6.12,5.83,5.39,5.77,17.1,15.17,12.52,8.41,6.54,5.34,6.41,8.41,11.3,14.25,15.26,17.37,0.49,0.42,0.33,0.19,0.12,0.08,0.09,0.14,0.23,0.34,0.41,0.48,257.71,256.79,251.42,127.41,102.27,59.13,49.64,83.83,135.1,241.95,251.17,320.07,24.89,25.98,22.55,18.25,13.87,10.75,9.29,11.19,13.97,22.02,22.96,25.04,93.45,32.51,19.45,74.92,44.03,49.5,38.33,38.88,15.87,25.46,65.51,43.82,3166.04,6653.67,267.11,882.35,1868.86,273.87,362.16,350.44,214.86,69.31,687.58,366.92,23.44,245.79,292.29,0
2016,79.56,70.88,72.56,70.19,60.69,76.94,76.5,74.31,71.62,58.25,61.38,66.06,8.02,6.24,4,5.4,4.9,7.67,5.26,4.84,6.02,4.98,5.29,5.06,15.84,16.82,13.03,9.32,7.35,5.31,6.16,8.09,10.97,14.67,18.58,17.45,0.46,0.48,0.34,0.21,0.13,0.08,0.09,0.14,0.22,0.34,0.48,0.51,286.31,283.46,243.21,170.18,83.23,46.66,47.43,63.08,92.14,174.81,214.81,298.57,25.56,26.01,24.4,20.1,15,11.26,10.95,11.31,13.67,16.5,21.17,25.39,87.06,14.55,27.46,20.03,59.83,112.18,44.44,58.85,117.96,39.94,26.93,53.82,2932.75,6897.53,242.56,966.18,2527.66,245.43,277.81,382.57,259.74,24.73,262.36,391.29,17.4,169.8,294.16,0
2017,67.62,69.44,84.62,77.25,73.12,80.44,66.94,61.31,48.38,67,69.94,69.19,5.63,6.01,5.95,4.74,4.36,4.8,4.66,6.21,5.19,5.09,4.95,4.64,16.91,15.34,11.01,9.95,7.2,5.18,6.8,8.92,12.59,13.75,16.83,17.08,0.52,0.45,0.3,0.22,0.12,0.07,0.09,0.14,0.23,0.3,0.42,0.48,329.17,250.69,213.65,133.33,69.49,54.51,76.38,94.99,147.29,194.04,252.31,307.01,28.14,26.84,24.24,19.94,13.73,10.68,10.34,11.22,15.47,19.65,22.06,25.3,40.2,20.52,96.32,30.24,29.75,24.93,12.15,22.64,5.15,60.22,45.67,68.64,3248.42,9819.12,202.52,1056.38,2832.13,184.51,326.99,495.66,240.4,82.02,806.41,285.07,22.66,202.51,287.97,0
2018,66,66.94,72.81,68,64.88,77.44,60.62,59.31,64.69,76.94,65.5,72.44,6.84,5.57,5.59,4.59,5.53,5.15,5.5,5.16,5.49,5.7,8.13,5.24,17.34,15.83,12.65,10.21,7.41,5.3,6.98,8.69,11.39,12.7,15.98,18.07,0.51,0.45,0.34,0.23,0.12,0.07,0.09,0.14,0.22,0.29,0.4,0.52,344.89,298.99,256.54,192.18,114.15,72.08,90.31,123.61,172.01,195.37,218.22,289.32,27.84,25.99,23.67,19.37,13.83,10.72,10.41,11.37,14.81,19.82,21.82,26.17,31.58,32.55,31.27,12.8,11.95,27.09,8.86,17.17,16.34,49.63,52.14,40.3,2793.46,4702.85,262.91,763.47,1304.65,232.59,365.96,229.36,214.7,60.06,628.14,358.77,20.17,190.21,300.95,0
