Year,TA_Jan_humidity,TA_Feb_humidity,TA_Mar_humidity,TA_Apr_humidity,TA_May_humidity,TA_Jun_humidity,TA_Jul_humidity,TA_Aug_humidity,TA_Sep_humidity,TA_Oct_humidity,TA_Nov_humidity,TA_Dec_humidity,TA_Jan_wind,TA_Feb_wind,TA_Mar_wind,TA_Apr_wind,TA_May_wind,TA_Jun_wind,TA_Jul_wind,TA_Aug_wind,TA_Sep_wind,TA_Oct_wind,TA_Nov_wind,TA_Dec_wind,TA_Jan_uva,TA_Feb_uva,TA_Mar_uva,TA_Apr_uva,TA_May_uva,TA_Jun_uva,TA_Jul_uva,TA_Aug_uva,TA_Sep_uva,TA_Oct_uva,TA_Nov_uva,TA_Dec_uva,TA_Jan_uvb,TA_Feb_uvb,TA_Mar_uvb,TA_Apr_uvb,TA_May_uvb,TA_Jun_uvb,TA_Jul_uvb,TA_Aug_uvb,TA_Sep_uvb,TA_Oct_uvb,TA_Nov_uvb,TA_Dec_uvb,TA_Jan_eva,TA_Feb_eva,TA_Mar_eva,TA_Apr_eva,TA_May_eva,TA_Jun_eva,TA_Jul_eva,TA_Aug_eva,TA_Sep_eva,TA_Oct_eva,TA_Nov_eva,TA_Dec_eva,TA_Jan_temp,TA_Feb_temp,TA_Mar_temp,TA_Apr_temp,TA_May_temp,TA_Jun_temp,TA_Jul_temp,TA_Aug_temp,TA_Sep_temp,TA_Oct_temp,TA_Nov_temp,TA_Dec_temp,TA_Jan_rain,TA_Feb_rain,TA_Mar_rain,TA_Apr_rain,TA_May_rain,TA_Jun_rain,TA_Jul_rain,TA_Aug_rain,TA_Sep_rain,TA_Oct_rain,TA_Nov_rain,TA_Dec_rain,TA_Wheat_Area,TA_Wheat_Production,TAS_wheat_price,TA_Barley_Area,TA_Barley_Production,TAS_Barley_price,TA_Oats_Area,TA_Oats_Production, TA_Oats_Price ,Covid
2000,80.56,74.69,79.81,86.69,94.19,95.94,94.69,92.5,92.06,88.81,83.38,81.12,11.09,11.69,11.58,12.01,10.42,10.25,10.67,11.06,11.02,11.83,8.41,14.48,15.68,13.83,9.84,6.38,3.76,2.87,3.26,4.96,7.76,11.47,14.39,15.77,0.44,0.37,0.23,0.12,0.05,0.03,0.04,0.06,0.12,0.23,0.34,0.42,163.8,163.26,117.3,68.11,48.48,33.19,30.04,43.07,75.65,97.01,128.8,184.11,14.43,16.4,13.72,10.96,9.33,7.29,6.48,6.91,8.4,9.97,14.09,13.44,75.55,60.99,61.77,74.01,168.84,100.98,173.76,92.57,173.02,159.79,62.76,100.3,6.3,19.8,226.9,9.1,22.19,230.27,6.27,9.74,208.16,0
2001,78.5,74.12,81.94,88.75,92.31,95.88,94.06,93.94,89.38,88.25,85.94,85.06,11.02,9.98,9.23,10.04,8.37,12.36,9.12,10.98,10.88,13.41,8.9,10.42,16.22,13.87,9.88,6.13,4.18,2.58,3.73,4.8,7.45,10.93,14.33,14.57,0.45,0.38,0.23,0.11,0.05,0.02,0.04,0.05,0.12,0.2,0.32,0.37,168.29,148.62,109.5,63.43,28.87,33.82,26.88,51.58,63.3,89.35,99.78,111.33,16.07,16.38,14.3,11.1,8.05,7.87,6.83,7.27,9.74,10.23,11.24,11.58,41.38,24.63,129.78,90.8,55.2,166.13,79.44,227.66,113.28,170.69,130.97,95.22,6.6,25.6,226.9,9.67,26,230.27,6.62,12.62,208.16,0
2002,84.25,83.75,85.62,86.88,89.56,95.12,95.38,93.62,92.12,89.31,84.38,84.62,10.42,10.43,10.21,7.92,7.91,11.47,9.64,10.23,11.38,12.77,11.01,12.07,14.7,13.66,9.63,6.98,3.99,2.52,3.08,4.95,7.59,10.98,14.59,15.35,0.39,0.34,0.23,0.12,0.05,0.02,0.03,0.05,0.12,0.22,0.34,0.4,128.2,118.47,104.29,64.1,36.61,47.56,39.44,49.91,80.57,101.08,130.06,159.33,14.23,14.05,13.32,12.09,8.9,7.96,7.04,7.05,8.15,9.73,12.17,14.12,104.33,57.08,53.11,38.63,63.07,207.08,186.02,145.21,216.37,142.12,66.47,63.9,5.9,25.3,189.73,7.43,26.44,158.87,5.65,11.94,167.61,0
2003,79.25,78,82.12,87.44,92,95.75,95,93.75,92.62,87.81,81.5,82.31,10.79,7.15,11.13,9.29,11.3,10.3,11.05,12.12,12.27,11.42,10.98,11.84,16.07,14.33,10.21,6.77,3.97,2.71,3.21,4.98,7.44,11.09,15.19,15.33,0.44,0.37,0.23,0.12,0.05,0.02,0.03,0.05,0.11,0.2,0.36,0.4,185.94,139.62,107.13,56.91,30.4,38.69,31.27,49.82,76.31,82.19,136.69,158.11,15.68,15.37,13.28,11.12,9.82,8,6.32,7.01,6.67,8.33,12.39,14.31,67.78,18.96,103.53,116.02,97.49,180.98,159.99,221.16,228.68,90.01,26.93,78.48,7.4,25.3,245.06,8.27,21.24,273.16,3.86,7.46,201.27,0
2004,84.12,83.19,85.38,88.88,94.12,95.94,95.75,93.38,91.5,86.31,85.38,81.75,10.8,12.41,12.74,11.86,11.27,10.46,11.21,11.54,10.52,11.92,11.84,9.75,14.6,13.51,8.95,6.41,3.55,2.59,3.34,4.88,7.88,12.18,13.06,17.09,0.38,0.36,0.21,0.12,0.05,0.02,0.03,0.06,0.12,0.24,0.31,0.45,149.18,121.89,95.49,66.71,38.13,33.24,35.25,44.64,61.1,99.74,116,130.4,13.36,14.01,12.68,10.48,7.98,7.15,5.65,6.42,8.44,10.08,11.93,14.3,168.64,53.72,49.25,82.05,147.89,240.47,164.01,134.85,100.35,90.66,106.15,69.04,7.7,26.1,206.9,9.3,28.04,192.6,4.08,6.62,166.19,0
2005,82.62,82.5,82.25,87.19,93.06,94.56,95.25,93.62,90.38,88.5,85.12,86.25,11.34,11.63,8.8,11.23,11.05,7.59,10.49,10.73,9.99,13.14,10.88,11.25,14.88,12.12,9.25,5.79,3.71,3.06,3.15,4.59,8.02,11.68,14.97,13.98,0.41,0.31,0.22,0.11,0.05,0.03,0.03,0.05,0.12,0.22,0.34,0.36,129.76,122.5,95.81,57.28,47.04,24.79,35.34,52.4,67.83,99.4,109.96,152.03,14.84,14.09,12.37,12.11,8.95,7.08,7.42,7.71,8.52,11.21,12.63,14.13,67.07,76.63,39.91,91.59,97.29,90.31,144.71,211.23,124.83,193.81,125,174.35,7.4,30.5,213.12,7.58,27.81,212.23,4.05,9.1,153.92,0
2006,82.31,85.12,82.88,91.75,93.75,95.56,95.38,92,89.19,85.62,84.31,80.88,12.4,11.55,9.84,11.31,11.33,10.23,9.05,9.68,11.38,11.93,10.48,11.18,16.41,12.47,10.89,6,3.84,2.93,3.44,5.14,7.97,11.59,13.7,16.23,0.45,0.33,0.25,0.11,0.05,0.03,0.04,0.07,0.14,0.23,0.34,0.44,205.33,111.14,127.72,51.15,34.87,24.67,22.33,46.57,73.96,131.36,115.59,176.14,15.07,14.72,13.76,8.75,7.32,5.96,6.2,7.3,8.47,9.52,10.84,13.02,52.85,46.5,48.73,170.38,113.67,65.78,122.47,85.12,132.26,85.74,47.38,61.22,7.9,34,179.42,8.48,28.24,205.45,4.28,8.5,211.99,0
2007,82.88,75.19,80.88,83.75,93.38,94.94,94.19,94,90.38,88.56,81.62,81.44,11.02,8.59,9.88,7.25,11,7.18,9.65,10.98,10.53,11.44,7.27,10.74,14.04,15.76,9.94,7.16,3.53,3.18,3.49,4.9,7.93,10.96,16.05,15.82,0.4,0.42,0.24,0.13,0.05,0.03,0.03,0.05,0.12,0.2,0.37,0.41,188.1,150.91,127.75,76.98,50.81,15.04,26.08,56.04,58.94,104.3,137.49,148.59,15.53,17.21,13.79,11.71,10.86,5.08,5.91,7.52,8.28,9.69,13.28,14.7,107.88,31.38,87.32,38.28,209.78,51.81,97.79,186.91,133.01,139.06,19.85,111.78,7.2,17.7,242.94,7.47,16.17,253.59,3.57,3.43,262.4,0
2008,74.38,76.38,76.19,88.62,93.75,93.88,94.25,93.12,90.56,86.62,85.44,83.38,11.99,11.15,9.25,14.06,8.82,10.88,11.93,10.38,9.86,10.59,12.09,10.98,17.43,13.63,9.97,6.48,3.62,2.88,3.69,5.12,7.45,11.12,13.61,15.73,0.48,0.36,0.23,0.12,0.05,0.03,0.04,0.07,0.12,0.23,0.31,0.41,193.9,135.14,137.07,59.3,53.7,27.48,23.99,35.21,71.76,114.42,87.05,120.45,15.98,13.69,13.97,10.76,9.17,7.84,5.34,6.21,7.85,10.47,11.36,12.29,20.03,94.32,70.22,79.98,82.12,107.15,121.84,112.13,164.96,59.12,118.25,106.28,7.1,26.8,353.76,7.76,22.01,364.82,4.23,7.86,357.07,0
2009,79.88,78.94,84.38,89.56,92.56,95.19,95.44,94.62,92.06,86.19,82.12,82.31,13.99,10.13,11.3,10.93,10.55,10.68,11.2,13.17,11.49,9.01,12.84,10.84,15.18,14.48,9.51,6.52,3.91,3.04,3.19,4.7,7.44,12.44,14.77,15.34,0.43,0.39,0.23,0.12,0.05,0.03,0.03,0.05,0.11,0.24,0.36,0.41,232.5,105.92,83.3,60.37,56.45,25.1,36.23,53.38,55.49,73.7,109,99.8,14.8,14.56,13.6,10.87,9.13,7.26,6.33,8.05,8.69,9.8,13.53,13.72,66.44,59.45,105.65,110.49,108.92,134.05,189.33,306.7,172.26,63.81,87.16,81.45,8.6,34.9,281.79,10.59,28.52,277.91,3.75,6.49,208.95,0
2010,77.06,73.62,80,89.5,92,95.19,95.31,94.5,92.62,87.56,84.19,84.5,10.54,10.38,12.07,10.69,9.04,9.73,9.2,10.04,13.74,10.95,9.05,10.62,16.11,15.13,10.13,5.93,4.16,3.01,3.3,4.77,7.18,11.44,13.71,15.16,0.45,0.4,0.23,0.11,0.05,0.02,0.03,0.05,0.12,0.23,0.32,0.39,123.2,123.2,83.7,50.8,56.63,25.6,25.6,41,53.9,124.71,144.89,98.4,15.18,16.06,14.8,12.38,8.57,6.66,6.49,6.59,7.55,10.24,12.08,13.03,32.53,67.91,103.73,116.94,92.91,125.75,104.8,182.92,174.11,109.91,126.48,121.16,7.2,27.3,238.1,8.85,28.77,267.7,3.66,6.63,166.14,0
2011,82.56,85.19,85.94,89.88,93.56,94.75,94.69,93.38,90.81,84.88,85.44,80.94,10.69,12.34,11.32,9.45,9.97,10.4,12.67,10.86,9.76,9.35,10.52,8.59,14.28,12.57,9.52,6.65,3.73,2.78,3.12,4.9,7.77,11.69,13.76,17.41,0.41,0.34,0.23,0.12,0.05,0.02,0.02,0.06,0.12,0.23,0.32,0.45,102.3,74.4,67.4,47.2,29.4,36.2,26.1,55.96,101.74,115.01,143.85,172.39,15.27,13.93,12.81,11.24,8.02,6.9,5.67,8.87,8.61,9.95,12.39,14.14,122.81,94.95,124.2,95.5,74.76,174.07,152.63,164.04,117.79,103.68,138.07,56.59,8.1,31.9,219.44,10.89,39.06,215.06,3.37,6.96,172.52,0
2012,80.38,77.12,83.38,89.44,95.5,95.38,95.62,94.62,91.88,86.56,81.81,83.56,10.64,11.19,9.56,11.31,10.1,9.28,9.18,10.72,12.67,11.78,10.45,10.2,15.97,14.38,9.65,6.48,3.39,2.96,3.09,4.8,7.51,10.89,15.86,15.09,0.45,0.38,0.23,0.12,0.05,0.03,0.03,0.05,0.11,0.21,0.37,0.39,127.7,102.7,76.1,55.4,39.4,36.6,17.8,72.44,57.6,69.6,117.3,105.6,15.91,15.64,13.43,12.05,8.99,6.61,6.12,6.9,8.33,9.92,12.53,13.66,73.81,51.4,113.7,105.55,171.6,131.63,94.42,168.89,173.01,75.8,64.59,88.55,6.62,32.26,232.55,6.47,23.12,211.99,3.43,7.63,183.64,0
2013,78.31,74.88,77.75,87.25,92.69,94.19,95.38,94.75,90.44,89.19,84.62,83.19,10.26,10.18,11.23,11.46,10.8,9.77,9.05,10.04,10.28,11.38,10.25,10.27,15.96,14.85,10.34,6.26,3.94,3.2,2.99,4.43,7.98,10.01,14.46,14.98,0.43,0.38,0.24,0.11,0.05,0.03,0.03,0.05,0.13,0.2,0.34,0.4,146.2,104.9,92.2,49.7,57.16,33.8,51.39,89.2,94.92,145.8,108.8,110.1,15.11,15.97,15.58,10.83,8.75,7.35,7.19,7.11,9.32,9.89,11.1,13.53,51.63,43.51,101.93,82.35,104.01,72.53,188.85,298.69,152.81,191.33,129.07,90.9,5.99,30.44,288.77,5.1,16.52,256.17,3.67,7.4,224.54,0
2014,79.12,77.19,82.38,87.75,93.62,95.38,94.88,92.12,87.81,87.12,83.19,83.25,11.12,11.98,9.42,10.01,10.31,9.62,12.55,11.3,11.13,13.49,11.1,11.49,16.64,13.57,10.24,6.39,3.66,2.93,3.08,5.65,8,11.07,13.68,15.59,0.46,0.37,0.23,0.12,0.05,0.03,0.03,0.07,0.12,0.21,0.32,0.4,143,103,141.16,52,58,34.8,50.82,56.54,82.1,130.35,172.76,165.25,15.3,15.72,14.46,11.2,9.49,7.64,6.99,7.33,9.11,10.39,11.83,14.26,57.31,58,82.25,112.27,118.74,104.82,174.5,85.44,89.07,115.69,63.49,89.05,8.18,43.49,255.73,5.97,25.38,255.77,4.32,11.7,218.01,0
2015,81,78.19,85.69,88.12,94.88,95.81,95.25,92.31,88.69,79.94,81.38,74.62,12.98,8.2,10.59,9.5,11.35,12.55,10.37,9.47,8.43,10.93,11.94,11.27,15.71,14.28,8.57,6.41,3.41,2.71,3.27,5.22,8.14,12.59,14.23,17.24,0.41,0.38,0.2,0.12,0.05,0.02,0.03,0.07,0.14,0.27,0.34,0.45,178.76,146.2,130.64,77.03,69,36.32,21.2,30.2,77.51,149.44,143.74,208.63,14.79,15.72,11.96,10.45,8.21,6.52,5.46,5.57,8.65,11.53,12.54,15.03,112.23,34.46,119.81,41.71,196.22,108.71,121.4,142.21,58.89,20.39,72.07,67.4,8.33,44.24,268.29,5.24,16.95,270.75,3.65,6.29,267.57,0
2016,68.31,76.62,77.69,84.44,93.56,94.94,95.12,91.81,89.62,87.19,86.25,81.5,9.36,11.84,10.73,10.96,11.8,9.56,10.98,10.12,9.79,13.22,11.27,11.5,16.2,13.69,10.12,6.24,3.41,2.7,3.13,4.98,7.91,11.17,13.62,15.73,0.45,0.36,0.23,0.12,0.04,0.02,0.03,0.06,0.12,0.22,0.34,0.42,190.08,163.05,127.4,115.53,36.2,16,21.6,34.2,45.6,81.8,112.2,146.8,16.41,16.07,14.5,12.21,9.42,7.74,6.88,7.01,9.28,9.55,11.5,14.02,95.31,59.96,61.97,67.42,274.41,250.04,239.64,126.07,139.45,208.37,131.93,107.8,10.55,53.37,257.89,5.58,16.46,293.35,1.88,4.5,306.7,0
2017,80.94,80.44,78.25,84.75,92.44,94.62,93.94,92.31,91.19,86.25,77.62,79.75,12.25,10.91,11.34,9.07,9.6,9.31,9.55,10.45,9.5,9.81,9.02,11.36,15.2,13.57,11.12,6.71,3.75,2.7,3.18,5.35,6.97,11.32,16.2,15.34,0.43,0.35,0.27,0.12,0.05,0.03,0.03,0.06,0.1,0.23,0.38,0.41,168,122.8,138.8,59.8,29.4,20.4,21.6,31.6,52.2,94.2,135.8,146.2,15.22,13.37,15.58,11.65,8.71,7.2,5.5,6.19,7.18,11.34,14.28,14.83,73.42,53.73,50.91,65.21,134.85,66.7,142.08,149.52,173.68,91.77,48.56,101.79,10.31,55.78,227.51,8.12,33.43,246.25,2.63,5.26,275.38,0
2018,71.5,73.81,80.12,84.19,90.62,94.12,95,92.56,89.19,83.12,83.56,77,10.17,13.07,11.53,12.37,10.58,9.13,12.55,12.88,12.09,9.16,11.89,11.77,15.95,13.33,9.98,6.08,3.65,3.17,3,5.04,8.12,12.2,13.97,17.12,0.44,0.35,0.23,0.12,0.05,0.03,0.02,0.05,0.12,0.23,0.31,0.45,169.2,142,139.8,72.2,35.2,17.6,25.4,40.2,61,101.2,107.8,145.83,16.47,14.79,13.78,11.64,9.23,6.89,6.64,6.71,8.1,10.88,12.31,15.5,51.57,83.49,130.14,83.54,140.91,121.76,229.03,170.83,91.61,50.23,110.24,91.7,7.36,40.29,226.9,4.56,16.32,268.5,2.72,6.04,231.49,0
2019,70.19,77,77.81,85,92.06,94.38,94.81,93.62,87.5,81,83.44,77.81,10.59,11.09,11.34,10.08,8.84,9.93,10.11,11.96,9.24,10.12,11.73,13.19,16.66,13.27,9.47,6.63,3.57,2.73,3.09,4.84,8.2,12.2,12.63,15.41,0.46,0.34,0.22,0.12,0.05,0.02,0.02,0.05,0.12,0.23,0.3,0.41,160.83,124.84,107.96,61.52,41.48,27.53,29.43,47.26,65.62,101.39,120.78,145.83,17.01,14.65,14.06,11.13,9.14,6.86,6.84,6.47,8.37,10.27,10.84,13.62,17.23,85.42,76.42,100,142.67,121.09,222.82,149.36,105.14,62.27,131.75,92.61,7.6,40.1,226.9,6.11,27.54,339.34,2.26,5.07,411.11,0
2020,72.88,75.44,86,92.19,93.75,95,93.19,93.62,90.19,86.25,82.38,83.25,10.42,11.23,9.2,10.91,12.59,10.52,9.51,10.74,11.33,11.51,11.23,12.07,15.16,14.07,9.14,5.62,3.88,2.84,3.63,5.25,8.1,11.62,14.64,15.12,0.41,0.36,0.21,0.09,0.05,0.02,0.04,0.06,0.12,0.23,0.35,0.41,160.83,124.84,107.96,61.52,41.48,27.53,29.43,47.26,65.62,101.39,120.78,145.83,15.53,14.21,12.65,11,8.89,6.99,5.93,6.93,8.65,9.91,13.45,12.87,70.08,71.58,124.37,177.43,110.1,120.67,66.06,136.09,108.24,150.19,51.78,115.6,7.19,43.81,356.25,5.13,22.91,304.36,2.38,2.8,208.16,1
2021,79,81.25,84.88,89.81,91.12,95.12,94.69,93.31,89.31,88.19,82.88,78.44,11.84,8.52,10.55,10.54,9.05,9.62,10.99,11.66,11.79,10.74,11.05,12.78,15.75,13.84,10,6.19,3.99,3.02,3.2,4.83,7.88,11.62,15.11,17.53,0.45,0.37,0.23,0.12,0.05,0.03,0.03,0.06,0.12,0.23,0.34,0.45,160.83,124.84,107.96,61.52,41.48,27.53,29.43,47.26,65.62,101.39,120.78,145.83,14.72,14.65,13.58,11.27,8.6,7.99,6.65,7.6,8.19,10.27,11.38,13.95,75.5,94.95,107.69,102.12,99.58,115.48,178.57,151.3,138.13,201.58,79.29,33.82,10,56,291.09,7,39.2,203.98,3,6.4,311.69,1
