Year,Qld_Jan_humidity,Qld_Feb_humidity,Qld_Mar_humidity,Qld_Apr_humidity,Qld_May_humidity,Qld_Jun_humidity,Qld_Jul_humidity,Qld_Aug_humidity,Qld_Sep_humidity,Qld_Oct_humidity,Qld_Nov_humidity,Qld_Dec_humidity,Qld_Jan_wind,Qld_Feb_wind,Qld_Mar_wind,Qld_Apr_wind,Qld_May_wind,Qld_Jun_wind,Qld_Jul_wind,Qld_Aug_wind,Qld_Sep_wind,Qld_Oct_wind,Qld_Nov_wind,Qld_Dec_wind,Qld_Jan_uva,Qld_Feb_uva,Qld_Mar_uva,Qld_Apr_uva,Qld_May_uva,Qld_Jun_uva,Qld_Jul_uva,Qld_Aug_uva,Qld_Sep_uva,Qld_Oct_uva,Qld_Nov_uva,Qld_Dec_uva,Qld_Jan_uvb,Qld_Feb_uvb,Qld_Mar_uvb,Qld_Apr_uvb,Qld_May_uvb,Qld_Jun_uvb,Qld_Jul_uvb,Qld_Aug_uvb,Qld_Sep_uvb,Qld_Oct_uvb,Qld_Nov_uvb,Qld_Dec_uvb,Qld_Jan_eva,Qld_Feb_eva,Qld_Mar_eva,Qld_Apr_eva,Qld_May_eva,Qld_Jun_eva,Qld_Jul_eva,Qld_Aug_eva,Qld_Sep_eva,Qld_Oct_eva,Qld_Nov_eva,Qld_Dec_eva,Qld_Jan_temp,Qld_Feb_temp,Qld_Mar_temp,Qld_Apr_temp,Qld_May_temp,Qld_Jun_temp,Qld_Jul_temp,Qld_Aug_temp,Qld_Sep_temp,Qld_Oct_temp,Qld_Nov_temp,Qld_Dec_temp,Qld_Jan_rain,Qld_Feb_rain,Qld_Mar_rain,Qld_Apr_rain,Qld_May_rain,Qld_Jun_rain,Qld_Jul_rain,Qld_Aug_rain,Qld_Sep_rain,Qld_Oct_rain,Qld_Nov_rain,Qld_Dec_rain,Qld_Wheat_Area,Qld_Wheat_Production,Qld_wheat_price,Qld_Barley_Area,Qld_Barley_Production,Qld_Barely_price,Qld_Rice_Area,Qld_Rice_Production,Qld_Rice_price,Qld_Oats_Area,Qld_Oats_Production,Qld_Oats_price,Qld_Corn (maize)_Area,Qld_Corn (maize)_Production,Qld_Corn_price,Covid
2004,61.94,59.38,53.19,50,52.5,53.69,51.25,40.69,43.62,30.81,46.38,52.69,12.18,10.55,9.68,9.2,7.72,7.84,7.89,10.27,10.21,10.34,9.99,10.96,18.8,18.03,16.16,12.81,10.16,9.29,9.65,12.03,14.79,17.36,18.09,18.25,0.57,0.55,0.47,0.34,0.23,0.2,0.2,0.28,0.37,0.46,0.5,0.53,283.14,226.72,257.23,213.07,155.88,138.04,147.59,187.35,221.38,298.76,293.15,299.21,29.82,28.94,27.77,24.92,20.79,17.3,16.78,17.74,21.37,26.39,27.68,28.94,178.63,126.55,64.35,31.86,13.94,2.88,3.38,6.47,11.31,14.76,47.26,102.99,789.7,1109.7,176.81,151.19,263.13,154.69,0.7,4.09,325.7,9.13,9.66,196.88,47.67,210.59,217.97,0
2005,46.44,40.12,42.19,49.19,56,72.44,71.81,57.88,44.19,44.56,49.31,38,9.87,11.63,7.53,7.27,7.59,8.16,9.57,7.19,13.09,10.64,9.34,9.61,19.48,18.63,15.91,13.11,9.78,7.84,9.41,11.88,14.44,15.82,18.37,20.1,0.6,0.56,0.45,0.34,0.2,0.15,0.19,0.26,0.34,0.41,0.52,0.59,318.57,274.67,279.51,249.23,190.6,122.03,148.25,168.06,224.22,255.07,290.47,330.49,29.08,29.15,27.83,25.9,20.11,18.73,17.74,18.28,22.91,27.19,28.63,30.92,131.63,54.5,38.3,12.24,21.52,55.5,8.64,16.97,5.86,41.79,41.73,43.02,711,1170.4,154.14,97.23,177.78,142.32,0.7,4.09,325.7,20.93,7.46,294.91,45.63,173.48,183.31,0
2006,44.12,49.38,54.56,51.56,42.94,61.06,62.62,42.19,43.81,35.25,40.5,49.38,9.37,8.16,8.06,7.43,6.4,7.34,11.13,9.03,8.45,9.04,10.59,8.91,18.57,17.96,14.01,11.82,10.44,8.52,8.39,12.15,14.48,17.72,19.09,17.11,0.56,0.55,0.42,0.31,0.23,0.18,0.18,0.28,0.38,0.48,0.54,0.52,297.95,244.39,245.56,179.18,155.24,125.49,128.73,185.46,230.85,290.65,330.18,322.02,30.89,30.38,27.48,24.14,19.12,17,16.84,18.26,22.26,25.92,28.12,28.63,135.11,62.43,129.31,115.62,19.85,19.71,28.7,3.21,10.86,3.24,20.51,51.61,778.3,1217.6,161.06,129.33,165.99,128.33,0.7,4.09,325.7,15.57,3.57,477.26,34.14,129.13,167.29,0
2007,55.31,51.25,47.44,39.25,52.94,67.75,58.25,59.81,44.38,44.31,59.81,70.25,8.06,8.63,7.8,6.91,7.72,8.68,8.12,8.54,10.23,9.75,8.13,8.68,18.1,17.78,15.84,13.16,9.7,7.32,9.62,10.45,14.43,17.15,15.81,17.23,0.57,0.55,0.47,0.34,0.23,0.13,0.19,0.23,0.35,0.45,0.44,0.52,236.9,239.38,257.06,231.94,178.1,107.16,141.19,175.61,228.86,311.32,277.38,271.17,29.06,28.3,28.3,24.55,22.74,15.26,15.49,19.09,22.29,26.58,27.07,28.73,152.52,118.26,68.75,9.47,14.68,76.58,0.79,16.07,9.42,23.71,59.87,114.45,638,776.7,218.11,80.52,78.96,230.5,0.7,4.09,325.7,24.41,11.77,93.49,27.22,92.42,216.42,0
2008,74.06,69.38,54.75,44.88,48.88,67.31,62.12,54,60.44,50.81,48.31,53.25,9.95,8.88,7.72,8.21,9.6,9.2,9.41,8.43,8.71,9.04,9.73,9.78,16.54,15.95,15.86,13.17,10.12,8.4,8.66,11.49,13.67,17.3,17.55,19.39,0.51,0.5,0.46,0.34,0.23,0.17,0.18,0.26,0.35,0.48,0.51,0.59,270.9,224.27,258.71,218.23,168.9,134.49,144.48,180.08,209.54,309.64,283.64,320.47,28.77,27.63,25.99,22.34,19.59,18.42,16.43,17.19,22.77,26.18,28.12,29.97,159.12,175.28,48.15,5.59,7.94,19.75,38.44,5.03,26.35,15.64,75.99,77.72,668.9,953.9,347.43,112.93,142.85,294.98,0.7,4.09,325.7,20.35,7.01,614.43,45,198,232.87,0
2009,59.12,53.88,45.25,54.5,62,63.44,58,39.44,36.81,35.38,39.94,47.5,9.08,7.92,8.83,8.17,8.07,7.67,8.27,9.48,10.11,10.02,8.27,9.23,17.36,17.44,16.27,12.03,9.06,8.27,9.8,11.87,14.39,17.16,18.62,16.58,0.55,0.55,0.48,0.31,0.2,0.16,0.19,0.26,0.35,0.45,0.5,0.5,268.65,232.23,258,193.97,162.31,129.26,149.94,205.92,241.35,310.59,320.35,333.19,28.05,27.86,27.23,24.31,20.13,17.86,16.69,21.14,22.76,24.78,28.55,29.58,267.34,168.86,28.15,41.19,20.27,15.98,1.15,0.89,4.78,13.25,31.02,90.56,1019.9,2016,234.81,91.87,173.04,233.96,0.7,4.09,325.7,7.29,6.58,449.56,49.27,254.92,244.57,0
2010,54.06,78.44,77.75,65.25,57.69,67.62,69.88,63.94,71.94,69.75,68,79.69,13.76,9.83,10.13,7.5,8.97,8.35,7.66,9.88,11.22,11.66,9.15,8.29,18.17,15.69,14.8,12.64,9.48,8.23,7.86,10.77,11.98,15.55,14.87,16.23,0.56,0.49,0.43,0.32,0.2,0.16,0.16,0.23,0.3,0.41,0.41,0.48,306.7,228.6,230.17,163.73,148.59,126.63,130.66,156.79,178.1,235.73,217.05,258.2,28.58,27.7,25.86,24.75,20.19,17.4,18.24,18.28,22.76,24.23,25.36,27.29,185,192.17,118.39,60.92,16.13,4.59,28.08,34.01,72.47,59.33,121.75,220.49,961.7,1346.3,198.85,68.55,113.08,197.22,0.46,1.88,480.77,11.61,7.33,177.43,37,146,232.87,0
2011,74.94,66.5,75.75,69.94,67.31,71.06,61.5,56.06,45.69,49.25,48.88,66.12,8.96,8.06,9.38,8.35,7.68,9.15,6.77,8.66,10.84,12.08,10.26,8.69,18.99,17.79,13.08,12.36,9.77,7.77,9.5,11.2,14.32,16.05,17.31,16.83,0.58,0.53,0.38,0.31,0.21,0.15,0.18,0.23,0.34,0.41,0.47,0.48,321.96,221.56,217.94,171.99,161.12,121.54,133.68,183.61,219.08,259.85,307.26,288.35,28.76,28.45,26.05,22.81,18.01,15.92,16.02,18.42,21.25,25.27,28.23,27.38,149.53,137.04,222.38,38.11,12.15,14.5,10.29,11.69,9.24,31.99,58.78,128.66,905.5,1523.6,221.45,93.97,146.18,160.08,0.37,2.3,260.99,13.65,22.77,52.72,37.03,171.48,205.28,0
2012,60.06,75.19,66.88,56,60.56,79.31,77.38,52.12,46.75,38.25,45.19,42.5,10.02,7.79,10.08,8.77,8.64,8.47,6.98,9.28,8.23,9.53,8.56,8.4,17.45,16.98,14.43,11.72,9.77,7.95,9.09,12.11,14.34,17.12,18.97,19.12,0.53,0.52,0.42,0.3,0.21,0.15,0.17,0.25,0.34,0.44,0.52,0.55,358.55,247.07,210.51,203.05,158.13,116,131.97,173.68,231.21,278.21,289.77,323.73,28.81,27.66,25.72,23.45,19.33,16.07,16.24,17.73,22.11,24.82,28.51,29.87,148.99,112.75,174.94,22.96,31.68,32.89,34.85,2.94,6.13,14.56,26.99,47.22,953.21,1886.31,190.17,79.98,191.03,182.18,0.3,0.19,325.7,17.86,14.36,243.82,42.86,216.92,203.31,0
2013,45.69,54,60.5,50.19,60.94,64.44,61.06,38.88,31.81,32.75,44.38,36.56,12.77,8.79,10.15,8.95,8.63,7.3,7.6,9.97,12.48,9.95,9.43,8.98,18.67,15.73,14.98,12.49,9.39,8.28,9.01,12.39,14.52,18.32,17.89,20.04,0.56,0.47,0.43,0.32,0.22,0.18,0.2,0.29,0.37,0.51,0.5,0.59,382.28,251.15,251.58,198.23,152.16,131.98,159.41,191.16,246.65,345.09,304.48,353.44,30.95,28.38,27.23,24.13,20.84,17.94,18.51,19.4,24.46,26.76,27.92,29.6,138.06,73.96,81.83,34.26,29.42,6.91,9.33,0.78,3.85,8.93,70.83,27.51,865.93,1613.97,286.83,89.66,170.21,244.53,0.14,0.01,325.7,47.97,2.99,836.69,40,213,208.55,0
2014,41.06,56.19,56.44,56.75,57.75,62.44,51.75,55.38,49.75,43,40.5,62.06,12.82,9.66,8.31,6.34,8.92,9.66,9.24,9.36,9.2,9.19,9.31,9.44,18.96,16.45,14.82,12.87,9.95,8.72,9.67,11.46,13.84,18.03,17.95,17.72,0.59,0.51,0.43,0.33,0.23,0.17,0.19,0.25,0.32,0.46,0.49,0.52,350.76,270.14,281.12,220.87,177.32,142.27,153,194.65,229.52,333.08,329.58,325.12,30.33,28.16,27.3,25.7,21.49,17.94,16.32,18.03,21.79,26.09,29.9,29.92,82.25,177.56,81.37,33.72,8.33,16.47,2.13,21.36,14.45,6.01,20.35,95.14,757.96,1036.45,294.57,105.76,179.54,244.53,0.74,0.23,325.7,23.3,14.79,33.81,26.16,137.25,285.84,0
2015,60.88,55.12,50.56,56.25,60.56,68.5,63,51.06,45.12,43,44.31,50.88,8.83,8.77,8.88,8.85,9.56,8.09,7.91,9.57,10.16,9.01,8.44,7.77,18.43,18.52,16.01,12.61,9.86,7.98,9.35,11.84,14.59,17.21,18.54,18.12,0.56,0.55,0.46,0.32,0.23,0.16,0.19,0.27,0.36,0.45,0.52,0.53,296.53,311.77,299.41,232.5,189.92,153.59,165.01,167.81,249.05,298.17,298.45,351.34,29.18,29.56,29.01,23.71,20.55,19.06,16.94,18.65,21.54,26.55,29.29,29.45,136.05,64.3,50.44,21.09,14.64,22.39,6.6,8.84,4.1,13.78,42.05,108.17,633.51,986.86,300.62,125.48,253.2,279.89,0.01,0.04,357.83,65.35,23.38,158.57,30.72,182.99,312.39,0
2016,54,57.19,52.56,49,50,73.06,72.12,67,66.88,45.19,33.56,45.81,9.48,9.5,7.86,7.79,9.45,7.66,12.59,8.98,13.11,12.05,9.76,7.65,17.82,17.68,15.27,12.82,9.54,7.4,8.4,10.83,12.57,17.38,19.28,18.37,0.55,0.55,0.45,0.33,0.23,0.16,0.19,0.24,0.32,0.48,0.55,0.55,296.01,272.3,394.18,233.16,195.2,127.16,123.13,160.56,179.16,272.88,286.76,339.36,29.75,29.91,28.37,26.32,22.9,18.62,17.58,18.55,21.82,24.03,27.9,29.95,90.58,78.2,109.55,9.02,32.18,59.91,49.13,28.96,58.43,16.41,24.81,68.97,611.1,1315.92,259.71,137.7,372.37,243.35,1.65,11.11,387.1,36.21,56.47,109.75,30.09,163.91,285.46,0
2017,51,41.94,58.81,55.62,58.38,56.69,51.25,35.38,28.62,55.56,50.69,45.31,8.66,7.97,13.81,8.17,7.78,7.66,7.73,8.29,9.02,11.16,8.25,10.07,18.87,18.84,15.1,13.42,9.88,9.14,9.33,12.39,15.26,15.08,18.09,19.99,0.59,0.58,0.45,0.34,0.23,0.17,0.19,0.27,0.36,0.39,0.49,0.59,342.86,361.86,283.54,236.93,186.63,147.61,138.34,163.53,198.22,234.18,332.69,389.78,30.51,30.11,28.86,23.96,21.56,17.93,18.82,19.26,23.11,26.59,27.21,30.18,143.78,81.65,114.06,11.5,26.38,5.23,9.72,2.59,1.57,72.13,44.98,36.52,622.2,1501.6,208.85,149,435.73,201.68,0.12,0.57,280.89,47.43,12.38,1164.85,35.32,146.24,277.49,0
2018,37.12,50.5,65.69,50.56,51.81,56.44,46.56,37.38,38.88,49.81,39.75,40.69,8.98,9.95,9.59,8.38,8.82,7.83,7.71,11.45,9.13,8.63,14.62,8.81,20.22,17.05,15.06,13.33,10.34,8.39,9.6,12.16,14.94,16.37,18.62,20.64,0.61,0.52,0.45,0.34,0.23,0.16,0.18,0.26,0.36,0.42,0.52,0.61,373.69,352.07,337.12,251.39,216.93,155.62,162.23,214.91,278.12,401.18,354.64,312.58,30.92,29.69,27.21,25.53,20.31,17.36,17.49,18.14,22.19,27.02,28.76,30.27,84.13,108.66,149.65,12.34,4.38,8.62,4.99,4.19,2.45,33.14,31.3,78.56,639.19,765.42,289.19,104.89,187.84,275.37,1.03,6.89,354.49,44.87,10.63,264.73,25.7,114.64,306.65,0
