Year,AUS_Jan_temp,AUS_Feb_temp,AUS_Mar_temp,AUS_Apr_temp,AUS_May_temp,AUS_Jun_temp,AUS_Jul_temp,AUS_Aug_temp,AUS_Sep_temp,AUS_Oct_temp,AUS_Nov_temp,AUS_Dec_temp,AUS_Jan_rain,AUS_Feb_rain,AUS_Mar_rain,AUS_Apr_rain,AUS_May_rain,AUS_Jun_rain,AUS_Jul_rain,AUS_Aug_rain,AUS_Sep_rain,AUS_Oct_rain,AUS_Nov_rain,AUS_Dec_rain,AUS_Wheat_Area,AUS_Wheat_Production,AUS_Barley_Area,AUS_Barley_Production,AUS_Oats_Area,AUS_Oats_Production,AUS_Rice_Area,AUS_Rice_Production,AUS_Corn (maize)_Area,AUS_Corn (maize)_Production,wheat_export_price,Rice_export_price,Barley_export_price,maize_export_price,Oat_export_price
2000,27.03,26.53,25.52,22.06,16.96,14.43,15.28,16.20,20.96,22.54,25.74,27.09,75.76,152.15,115.74,72.25,22.97,15.88,13.60,16.35,10.09,47.35,68.41,100.02,12167.60,24757.40,2595.63,5032.02,583.57,1117.68,131.00,1084.00,82.16,405.82,252.19,638.56,244.90,282.20,229.00
2001,29.15,28.65,24.86,22.31,17.78,15.98,14.92,16.14,20.17,21.76,24.93,26.49,71.96,124.53,90.76,18.68,14.50,25.48,24.35,13.30,14.79,37.34,45.30,61.81,12141.30,22108.20,3454.05,6743.46,650.41,1049.75,177.00,1643.00,74.16,344.56,279.38,540.63,232.06,299.25,282.46
2002,27.78,27.28,25.92,24.04,19.64,15.54,14.96,16.37,20.34,23.81,27.09,28.12,59.23,117.12,24.31,12.86,10.63,15.11,8.76,11.41,10.02,6.42,23.37,33.30,11529.30,24299.40,3707.38,8279.77,784.00,1433.53,145.00,1193.00,82.51,453.30,285.14,541.09,244.12,240.72,245.79
2003,28.73,28.23,25.22,23.12,19.26,16.01,15.40,16.70,20.49,22.33,26.21,28.20,70.93,110.86,46.95,26.78,15.41,20.65,14.66,26.56,11.01,18.86,27.75,79.49,11170.30,10131.80,3863.78,3864.83,911.38,956.98,47.00,438.00,49.55,310.00,229.18,662.23,212.70,493.22,221.54
2004,28.40,27.90,25.97,23.18,18.23,15.92,14.87,16.10,18.99,24.61,25.86,27.79,91.51,111.89,61.59,21.81,32.31,20.42,17.25,14.97,14.05,14.94,32.98,57.86,13067.10,26131.80,4477.02,10381.83,1089.23,2017.88,67.00,553.00,70.11,394.95,219.92,791.30,177.76,624.20,217.03
2005,28.52,28.02,26.78,25.00,19.55,16.32,15.67,16.53,20.47,24.09,26.39,28.16,62.73,36.69,36.50,10.31,17.26,43.89,24.23,21.33,18.76,36.62,35.85,50.13,13399.40,21905.10,4645.66,7739.77,893.55,1282.45,52.00,339.00,72.38,419.67,216.01,754.01,191.14,913.21,244.58
2006,29.12,28.62,26.29,21.60,17.17,14.23,14.51,17.22,20.51,24.39,27.15,27.53,129.60,58.47,91.70,65.62,10.83,12.38,24.93,7.10,12.25,10.38,17.89,40.91,12442.60,25150.40,4405.73,9481.74,930.30,1688.02,102.00,1002.00,67.19,361.92,245.20,692.47,240.06,1610.49,316.94
2007,28.16,27.66,26.26,23.20,20.07,13.74,14.87,17.09,20.47,24.16,26.22,27.30,106.89,50.36,94.76,18.89,22.24,37.35,12.50,13.50,8.00,15.97,38.62,76.57,11797.90,10821.70,4178.80,4257.03,999.48,748.29,20.00,163.00,48.64,239.45,402.68,838.27,349.59,7399.38,317.42
2008,29.25,28.75,26.18,21.82,18.55,16.24,14.85,15.25,20.68,24.45,25.48,27.41,70.82,110.30,37.47,13.80,7.86,22.27,23.54,12.56,18.42,13.75,62.38,78.25,12578.20,13569.40,4901.84,7160.17,1237.78,1502.30,2.07,17.61,68.00,387.00,372.76,1733.07,272.65,191.79,324.06
2009,28.46,27.96,26.22,22.89,18.17,15.96,15.33,18.66,20.42,23.24,27.43,28.08,125.54,86.81,28.18,24.73,18.55,22.55,14.72,10.99,14.81,12.90,28.72,64.19,13530.20,21420.10,5015.01,7996.51,870.25,1160.00,7.19,60.87,64.55,375.67,267.57,1552.65,198.65,530.16,242.85
2010,28.71,28.21,25.94,23.74,18.68,15.53,15.49,16.09,19.29,22.39,24.89,26.67,100.46,101.05,62.17,41.01,30.81,11.51,35.45,28.23,46.75,55.27,60.67,110.32,13881.10,21834.00,4421.60,7864.55,850.03,1161.52,18.93,196.69,58.96,328.03,298.77,957.72,253.45,496.22,170.95
2011,28.86,28.36,24.79,21.64,16.81,14.59,15.11,17.15,19.40,23.36,25.83,26.83,110.45,142.42,146.64,38.38,15.82,20.15,20.30,16.05,12.82,36.05,62.29,75.33,13501.80,27410.00,3681.00,7994.72,826.03,1127.68,75.78,723.28,62.19,356.90,276.47,796.64,262.45,356.53,286.39
2012,28.00,27.50,24.67,22.36,17.67,14.67,14.12,16.48,20.37,23.69,26.99,28.39,97.21,70.65,113.45,18.74,16.70,24.97,19.36,8.83,9.79,10.30,32.01,49.83,13902.14,29905.01,3718.09,8220.86,731.14,1262.03,103.12,918.73,69.28,448.94,318.18,785.23,290.01,371.33,547.85
2013,29.83,29.33,26.51,23.47,19.38,16.03,16.00,17.82,22.06,24.37,26.13,27.92,68.77,60.99,65.92,20.09,34.70,30.30,18.98,11.58,13.75,11.77,42.90,42.86,12979.23,22855.17,3644.27,7471.38,728.58,1121.14,113.64,1161.12,78.00,505.90,332.38,901.12,287.15,437.54,724.17
2014,28.96,28.46,26.50,23.41,19.94,15.66,14.81,16.28,20.53,24.85,27.47,28.24,95.35,109.95,43.23,40.55,21.83,16.06,14.66,15.01,12.34,9.58,26.60,68.22,12613.08,25302.71,3814.01,9174.21,714.70,1254.66,74.89,819.28,52.26,389.53,334.47,1097.59,321.54,516.62,750.54
2015,28.03,27.53,26.60,21.63,18.05,16.55,14.92,16.80,19.47,25.83,27.45,28.31,111.70,41.18,45.78,27.80,22.75,20.11,15.99,17.11,6.24,11.08,34.28,82.72,12383.67,23742.56,4078.04,8646.32,854.42,1198.01,69.66,690.39,59.56,494.59,323.72,1257.50,296.24,524.49,871.01
2016,28.53,28.03,27.46,24.28,20.19,16.54,15.51,16.61,19.24,22.40,26.12,28.00,71.74,44.23,65.24,10.62,42.80,50.89,35.17,27.25,46.96,19.91,23.81,93.47,11282.20,22274.51,4107.65,8992.27,821.50,1299.68,26.63,273.94,53.28,400.03,275.71,784.06,237.05,434.10,844.50
2017,28.79,28.29,27.39,22.37,18.97,15.67,16.30,17.20,20.52,24.36,26.25,28.41,126.51,85.84,71.31,25.71,15.06,8.76,12.98,14.40,10.81,36.79,40.80,45.47,12191.15,31818.74,4834.10,13505.99,1027.87,2265.50,82.20,807.30,67.77,436.19,300.94,1040.82,271.71,428.94,799.93
2018,29.26,28.76,26.70,24.63,18.43,15.53,15.74,16.10,19.91,24.73,26.29,29.31,103.00,73.38,59.23,9.51,8.92,17.21,10.97,14.08,5.24,25.44,37.76,41.11,10919.18,20941.13,4124.15,9253.83,874.14,1227.39,61.08,635.05,52.75,387.24,373.73,1226.38,360.25,518.80,853.47
2019,30.75,30.25,27.64,23.54,18.81,15.51,16.01,16.34,20.38,24.98,26.59,30.40,52.10,49.19,57.01,21.13,15.99,16.91,10.45,8.71,6.72,8.46,12.62,16.42,10402.27,17597.56,4436.59,8818.95,938.13,1134.62,7.62,66.84,58.95,327.21,381.28,1236.92,342.61,528.21,932.56
2020,29.30,28.80,26.23,23.85,17.59,16.29,15.37,17.44,21.75,23.84,27.87,27.32,90.58,86.15,52.76,24.17,18.62,10.85,12.58,20.42,16.30,32.27,18.88,103.01,9863.18,14480.22,5040.90,10127.18,815.95,1142.93,5.01,50.23,37.73,267.55,345.65,1333.83,277.59,453.36,395.57
2021,28.14,27.64,25.78,22.40,18.69,15.55,16.19,17.46,20.20,23.72,24.76,28.24,75.76,90.40,79.84,19.48,18.30,26.45,21.91,11.35,14.27,26.11,75.98,49.08,12885.00,33336.50,4422.00,13093.20,948.16,1664.64,46.37,457.78,50.56,356.13,436.66,1632.00,365.35,466.67,296.42
