Year,SA_Jan_humidity,SA_Feb_humidity,SA_Mar_humidity,SA_Apr_humidity,SA_May_humidity,SA_Jun_humidity,SA_Jul_humidity,SA_Aug_humidity,SA_Sep_humidity,SA_Oct_humidity,SA_Nov_humidity,SA_Dec_humidity,SA_Jan_wind,SA_Feb_wind,SA_Mar_wind,SA_Apr_wind,SA_May_wind,SA_Jun_wind,SA_Jul_wind,SA_Aug_wind,SA_Sep_wind,SA_Oct_wind,SA_Nov_wind,SA_Dec_wind,SA_Jan_uva,SA_Feb_uva,SA_Mar_uva,SA_Apr_uva,SA_May_uva,SA_Jun_uva,SA_Jul_uva,SA_Aug_uva,SA_Sep_uva,SA_Oct_uva,SA_Nov_uva,SA_Dec_uva,SA_Jan_uvb,SA_Feb_uvb,SA_Mar_uvb,SA_Apr_uvb,SA_May_uvb,SA_Jun_uvb,SA_Jul_uvb,SA_Aug_uvb,SA_Sep_uvb,SA_Oct_uvb,SA_Nov_uvb,SA_Dec_uvb,SA_year_eva,SA_Jan_eva,SA_Feb_eva,SA_Mar_eva,SA_Apr_eva,SA_May_eva,SA_Jun_eva,SA_Jul_eva,SA_Aug_eva,SA_Sep_eva,SA_Oct_eva,SA_Nov_eva,SA_Dec_eva,SA_Jan_temp,SA_Feb_temp,SA_Mar_temp,SA_Apr_temp,SA_May_temp,SA_Jun_temp,SA_Jul_temp,SA_Aug_temp,SA_Sep_temp,SA_Oct_temp,SA_Nov_temp,SA_Dec_temp,SA_Jan_rain,SA_Feb_rain,SA_Mar_rain,SA_Apr_rain,SA_May_rain,SA_Jun_rain,SA_Jul_rain,SA_Aug_rain,SA_Sep_rain,SA_Oct_rain,SA_Nov_rain,SA_Dec_rain,SA_Wheat_Area,SA_Wheat_Production,SA_wheat_price,SA_Barley_Area,SA_Barley_Production,SA_Barley_Price,SA_Oats_Area,SA_Oats_Production,SA_Oats_Price
2000,47.94,50.81,59.25,65.44,74.25,77.38,73.81,75.19,71.69,62.94,60.12,50,10.7,12.47,13.3,13.44,13.91,13.84,12.33,13.34,14.03,14.93,10.41,11.98,19.35047619,17.11,13.78047619,9.95047619,6.91,5.680952381,6.205714286,8.41952381,11.64904762,15.02,17.58857143,19.18571429,0.565714286,0.485714286,0.360952381,0.222380952,0.12047619,0.083809524,0.090952381,0.140952381,0.23,0.344285714,0.45,0.533333333,224.815,386.67,317.06,266,172.47,119.08,92,108.78,128.84,201.85,238.3,300.65,366.08,26.6,28.19,25.12,19.99,14.23,11.89,12.88,13.23,18.84,19.45,25.15,26.85,15.64,64.69,17.31,39.66,17.06,11.62,14,21.47,12.22,26.55,28.16,14.92,1850,2585.5,224.6927764,845.335,1409.179,185.7651786,69.907,77.534,192.7420146
2001,44.62,53.12,55.5,58.38,70.12,76.62,81.31,71.25,69.94,66.81,62.88,61.81,9.49,11.91,12.38,11.62,14.95,12.37,11.09,14.47,13.81,13.93,12.3,12.73,20.01,16.66,13.91,10.28,6.77,5.45,5.91,8.01,10.61,13.8,16.94,17.9,0.59,0.49,0.37,0.23,0.12,0.08,0.09,0.13,0.21,0.3,0.42,0.48,219.78667,415.93,348.87,264.31,205.07,127.25,78.14,76.45,144.39,189.49,224.22,273.88,289.44,30.86,29.26,22.86,19.58,15.52,12.53,11.95,13.78,17.97,17.9,21.98,23.36,14.02,14.16,29.83,6.03,16.71,59.18,19.55,13.08,27.71,34.79,19.72,54.91,1975.6,4162.4,224.6927764,1040.854,2320.321,185.7651786,75.022,117.21,192.7420146
2002,54.19,56,57.69,59.31,61.12,69.62,71,69.44,62.44,56.56,53.56,50.44,11.19,10.84,10.08,9.12,12.91,12.96,13.31,14.41,19.09,15.63,11.98,14.05,18.7,17.68,14.27,9.52,6.88,5.69,6.15,8.59,11.45,14.93,17.54,18.5,0.53,0.49,0.37,0.2,0.12,0.09,0.1,0.15,0.23,0.35,0.45,0.51,252.6,358.34,296.02,301.52,218.86,166.39,111.45,130.35,159.76,238.19,313.82,336.96,399.54,25.94,24.12,23.61,22.33,17.17,12.79,13.03,13.3,17.3,20.2,24.69,26.44,7.58,28.55,1.95,6.7,11.58,9.91,11.47,5.96,7.22,4.24,19.41,12.25,1986.6,4778.5,240.91242,1151.172,2781.758,181.64772,108.25,202.941,161.62333
2003,46.56,62.12,61.94,62.25,69.5,76.19,72.81,71.88,68.5,65.44,53.94,52.75,13.23,12.97,12.21,13.27,15.13,12.55,14.49,12.99,14.14,16.02,11.27,15.48,19.38,15.55,14.06,9.91,6.95,5.32,6.57,7.75,11.49,14.42,17.93,19.72,0.56,0.44,0.36,0.22,0.12,0.07,0.09,0.12,0.23,0.3,0.45,0.54,246.28583,434.09,306.56,293.13,204.24,143.99,102.59,126.97,148.5,219.68,269.7,335.27,370.71,28.62,27.7,22.41,20.22,16.04,12.83,12.64,13.33,17.64,18.2,24.82,27.21,13.56,60.75,2.53,13.1,11.67,18.01,10.76,34.12,9.4,18.17,17.41,29.37,1956.5,2071.8,237.61946,1193.712,1439.861,248.14895,87.923,69.898,231.76629
2004,58.94,51.25,54.62,61.12,68.12,74.38,77,73.06,69.06,55.31,51.06,55.81,11.58,12.16,11.72,11.12,12.61,13.23,13.81,12.41,10.84,12,13.05,12.3,19.91,18.03,14.31,9.51,7.14,5.71,5.9,8.46,11.19,15.8,17.9,18.6,0.56,0.52,0.38,0.23,0.13,0.09,0.09,0.15,0.23,0.37,0.46,0.52,240.34083,381.74,339.64,324.28,219.41,125.27,91.09,101.5,144.33,176.59,299.01,341.48,339.75,26.86,28.79,24.44,21.08,14.76,13.47,11.79,13.82,16.29,21.85,23.71,25.38,3.72,21.38,6.38,9.87,27.61,39.68,13.69,21.66,20.16,9.13,14.08,15.39,1959.5,3490.4,197.22668,1215.877,2691.091,152.05729,88.664,137.396,135.37512
2005,52.38,54.62,58.12,54.62,66.12,70.06,77.81,69,69,64.88,57.44,50.81,14.5,10.95,10.45,12.4,9.83,13.07,10.24,15.67,13.36,15.95,12.1,16.91,19.14,17.45,13.99,10.71,7.02,5.63,6.16,8.37,11.06,14.06,18.31,19.54,0.55,0.49,0.37,0.25,0.12,0.08,0.09,0.14,0.21,0.31,0.46,0.54,250.55833,406.98,334.05,316.62,267.8,166.13,109.43,95.7,160.82,193.17,262.93,318.69,374.38,27.04,25.76,24.3,23.11,17.21,13.41,12.49,14.1,17.37,21.23,24.02,26.68,9.53,2.8,2.23,3.41,2.67,29.55,27.68,12.89,27.57,39.56,19.82,20.99,1979.2,2620.8,174.22161,1280.071,1979.211,135.71064,75.805,89.712,122.61459
2006,55.44,60.25,57.69,65.25,73.69,73.62,77.44,68.31,57.56,50.19,50.88,49.06,12.5,9.61,10.75,11.84,11.87,10.39,12.62,13.51,11.91,12.6,11.88,10.63,18.28,17.16,13.97,9.35,6.88,6.1,5.75,9.2,12.39,16.29,17.93,19.13,0.55,0.49,0.37,0.21,0.12,0.09,0.09,0.17,0.27,0.39,0.48,0.54,254.14333,405.47,312.52,312.12,191.34,130.47,100.09,100.59,164.46,246.94,318.36,379.72,387.64,30.58,26.39,25.31,18.86,13.77,10.35,11.94,14.86,18.33,21.9,25.55,26.06,27.15,19.93,14.8,14.62,6.37,6.29,29.48,2.29,2.96,4.79,8.08,13.47,2034.9,3852.8,179.19435,1169.406,2547.798,130.81885,72.177,119.556,126.30065
2007,56.88,54.31,57,62.75,69.56,78.25,74.25,67.06,57.12,55.62,57.5,51.06,13.62,11.19,10.42,12.77,14.08,9.35,14.12,15.7,14.01,15.6,12.52,14.16,19.24,18.19,13.15,10.33,7.24,5.58,6.23,9.08,12.33,14.71,18.45,19.09,0.57,0.52,0.36,0.23,0.12,0.08,0.09,0.15,0.23,0.33,0.45,0.53,257.1475,384.29,363.19,272.28,218.65,138.01,87.7,122.35,181.33,258.84,330.44,349.29,379.4,27.35,29.4,24.75,21.53,17,10.29,12.53,14.62,17.99,21.49,24.51,26.18,47.11,4.15,33.66,18.95,21.52,5.97,8.86,5.07,4.27,10.61,18.13,31.36,2172.5,1446,215.07607,1193.154,995.963,211.35323,106.353,51.52,163.04348
2008,55.69,54.75,43,56.5,69.62,73.31,74.19,75.94,59.62,54.06,57,59.06,11.98,11.2,10.32,14.5,11.38,11.51,13.46,9.65,14.65,12.07,10.98,10.88,20.61,16.99,14.29,10.02,7.3,5.6,6.34,8.33,12.51,15.55,17.16,18.41,0.59,0.48,0.38,0.22,0.13,0.09,0.09,0.14,0.26,0.37,0.45,0.52,257.84583,438.11,332.71,356.29,225.99,148.43,116.35,124.63,144.13,254.3,366.07,265.36,321.78,28.78,25.34,25.52,19.59,15.99,13.06,12.18,11.52,17.82,21.98,22.88,25.17,3.51,7.66,3.04,7.02,7.69,17.9,12,18.92,4.32,2.84,42.52,52.23,2120.8,2296,378.30896,1244.34,1672.37,265.67579,141.579,115.284,321.8791
2009,46.5,49.44,57.19,64.5,77.56,78,78.19,72.44,65.19,63.12,49.12,52,11.05,14.05,13.63,14.15,12.94,15.37,12.53,15.5,15.04,12.05,15.7,14.34,21.32,17.64,13.42,10.18,6.7,5.55,6.26,8.72,11.36,15.42,17.42,20.66,0.63,0.52,0.34,0.23,0.12,0.08,0.09,0.15,0.22,0.35,0.45,0.58,259.31583,365.94,369.3,296.33,212.09,123.67,99.29,115.09,177.23,237.52,312.5,394.82,408.01,28.5,28.28,24.63,19.98,14.83,13.13,12.98,16.03,17.73,20.2,26.1,25.92,4.3,1.4,18.91,15.85,14.52,18.17,19.27,11.57,22.47,10.78,38.17,23.3,2103.9,2376.1,236.30622,1240.132,1876.752,160.61826,100.042,81.331,221.91283
2010,47.69,53.44,58.88,64.5,70.25,77.88,79.31,76.94,81,67.25,64.5,57.62,11.27,10.61,10.52,9.66,13.7,11.69,15.97,12.69,15.05,12.86,11.03,12.66,20.52,17.71,13.45,9.61,6.62,5.69,6.18,7.81,9.73,14.25,15.61,18.68,0.59,0.5,0.34,0.22,0.12,0.08,0.09,0.13,0.2,0.32,0.39,0.5,217.37417,355.32,339.52,321.42,167.01,131.81,89.47,84.99,109.21,146.5,234.96,303.4,324.88,28.29,27.43,24.33,21.24,15.55,11.99,11.46,12.2,15.08,18.91,22.31,25.02,14.74,43.27,20.86,25.12,26.6,9.64,27.14,29.92,52.37,49.99,29.94,31.12,2122.4,4001.3,187.11419,997.412,2068.229,133.68926,96.168,144.015,99.98958
2011,53.38,60.94,70.38,67.12,73,77,77,75.38,61.5,67.75,58,53.69,12.28,10.45,12.05,10.43,13.95,12.66,11.27,12.76,14.09,11.51,13.8,12.18,19.5,15.6,12.35,10.45,6.59,5.71,6.1,8.34,12.21,13.03,17.66,19.02,0.58,0.45,0.33,0.23,0.12,0.08,0.09,0.15,0.23,0.3,0.45,0.51,204.80667,342.28,231.08,208.9,190.48,103.51,82.83,96.88,131.81,225.53,243.46,267.91,333.01,29.6,26.76,22.74,19.23,14.29,12.37,12.63,14.96,17.53,20.64,24.36,25.89,25.16,90.85,59.55,6.09,16.41,11.21,21.46,12.14,7.9,30.31,32.47,28.24,2340.6,5948.7,269.55469,795.434,2122.415,205.66195,67.005,124.568,199.89082
2012,52.69,58.12,60.69,58.06,72.19,78.44,81.12,73.81,61.25,54.62,50.5,50.19,11.6,12.59,12.8,11.66,13.72,12.2,11.16,13.41,15.23,12.25,14.62,11.1,18.91,15.34,13.77,10.3,6.62,5.69,6.2,8.23,11.7,16.08,18.13,20.3,0.55,0.44,0.36,0.23,0.11,0.08,0.09,0.13,0.22,0.37,0.45,0.56,236.20833,357.4,278,238.87,196.68,160.71,105.11,103.96,170.43,215.57,279.45,376.91,351.41,27.81,25.81,22.88,20.36,14.67,11.68,10.91,13.42,17.61,21.46,25.92,27.22,19.95,31.77,35.6,7.4,9.04,20.13,12.59,7.61,4.22,3.45,9.2,10.16,2249.066,4524.803,217.88794,881.21,1815.51,186.28374,54.95,78.033,217.85655
2013,49.06,54.25,57,62.12,68.38,82.06,82,80.56,67.94,56.5,53.94,49.31,12.36,10.91,11.67,12.77,12.06,11.12,13.63,12.95,15.11,15.29,11.83,13.46,20.09,17.02,13.51,9.81,6.66,5.45,6.23,8.15,11.58,15.88,17.95,18.59,0.58,0.46,0.35,0.21,0.12,0.09,0.09,0.15,0.24,0.38,0.46,0.52,255.20167,425.75,305.69,324.33,214.2,142.88,80.73,111.34,166.01,285.7,316.12,334.43,355.24,28.85,27.43,25.14,21.2,17.76,12.87,12.96,15.38,20.56,20.99,23.38,26.6,1.98,14.53,23.52,9.84,27.21,33.09,27.78,10.51,8.45,5.15,9.22,17.6,2118.739,3678.962,295.00712,861.391,1794.436,256.9944,67.899,88.43,210.67511
2014,49,54.94,62.31,68.88,71.5,81.19,79.31,71.88,64.69,52.06,50.06,55.38,11.23,12.44,11.99,12.37,12.48,12.39,13.23,10.67,15.57,15.19,11.66,11.45,19.46,16.12,13.78,9.15,6.8,5.66,6.01,8.77,12.17,16.24,18.13,19.78,0.58,0.46,0.35,0.2,0.12,0.08,0.09,0.15,0.23,0.38,0.47,0.54,244.54667,449.42,314.66,289.67,191.48,133.31,108.24,99.8,146.16,220.53,318.6,341.65,321.04,29.13,27.35,24.86,20.71,17.84,12.74,12.18,12.97,17.92,22.83,25.47,26.41,11.44,34.11,4.79,49.17,26.48,14.69,13.88,6.31,7.73,1.97,12.33,14.14,1926.85,4254.313,307.4621,810.465,1892.284,228.81343,53.676,82.175,234.37785
2015,58.31,49.38,56.81,67.12,73.69,78,75.88,75.88,66.81,52.38,54.56,42.19,13.45,10.84,10.16,12.91,14.23,12.8,12.01,13.59,11.35,11.88,13.81,13.2,18.69,17.52,14.04,9.05,6.62,5.67,6.14,8.03,11.98,14.98,17.88,19.8,0.54,0.48,0.36,0.2,0.12,0.09,0.09,0.14,0.25,0.36,0.47,0.55,252.98583,320.23,341.96,332.08,195.79,150.39,95.01,110.23,168.85,233.38,327.19,345.08,415.64,26.58,28.83,23.88,18.3,14.93,12.83,11.42,13.68,16.2,24.69,25.27,27.94,45.66,2.45,3.24,19.86,22.44,16,11.54,17.43,7.15,3.82,19.27,22.71,2045.009,4602.087,270.00263,840.446,1941.042,245.4145,56.825,89.434,242.05521
2016,52.75,57.25,58.62,63.12,67.62,74.94,74.25,69.12,69.88,56.56,55.06,50.56,13.67,14.7,10.2,10.76,17.82,15.01,14.32,15.73,17.84,16.06,13.6,17.16,18.82,17.5,13.02,9.86,7,5.48,6.09,8.77,11.2,15.27,18.28,18.41,0.55,0.5,0.34,0.22,0.12,0.09,0.1,0.15,0.22,0.37,0.48,0.53,250.88583,396.94,390.06,302.3,234.94,150.4,83.43,95.39,157.48,173.96,315.24,378.86,331.63,27.65,27.11,25.53,21.13,16.98,13,12.22,13.51,15,19.48,23.28,26.76,25.86,14.36,45.27,4.58,38.44,42.58,20.34,26.45,49.86,11.63,7.69,68.5,1769.7,3679.342,235.29112,769.482,1719.367,195.9039,65.419,102.548,298.30807
2017,52.5,53.81,55.56,62.75,62.69,69.19,69.69,67.69,60.62,55.75,52.75,52.06,11.28,10.55,11.84,11.69,13.69,7,11.86,13.2,12.93,13.73,10.83,14.02,19.03,16.73,14.3,9.66,7.24,6.26,6.31,8.12,11.73,15.67,15.94,18.48,0.59,0.48,0.38,0.22,0.12,0.09,0.09,0.13,0.23,0.36,0.4,0.52,236.605,322.95,334.16,358.96,196.92,141.74,96.43,128.44,137.19,186.63,249.99,311.19,374.66,28.82,27.27,26.22,19.62,15.65,12,13.25,14.01,17.78,21.4,24.67,26.5,51.56,14.28,3.02,28.57,7.9,9.62,10.6,14.64,18.68,19.64,31.01,22.94,2178.255,6132.504,184.33486,980.776,3002.007,154.08958,86.092,179.374,245.33376
2018,48.12,51.06,56.19,56.12,65.44,69.44,65.56,63.69,57.25,52,52.12,50.25,11.38,10.38,11.53,15.44,12.3,11.27,13.62,15.79,15.14,17.24,15.04,13.7,18.21,16.74,14.78,10.96,6.99,5.71,6.52,8.33,12.33,14.38,16.89,18.12,0.54,0.48,0.39,0.25,0.12,0.08,0.09,0.13,0.23,0.32,0.42,0.52,267.28455,370.16,335.82,312.65,279.84,198.53,136.82,159.13,185.77,283.34,301.44,376.63,356.6814286,29.35,28.02,24.81,23.13,15.06,12.15,12.85,13.85,16.13,22.09,23.26,27.85,23.35,17.34,6.2,3.32,9.9,11.78,8.73,21.01,2.88,15.27,32.18,14.48,1975.81,4051.954,219.71106,876.488,1860.785,202.07191,57.088,93.916,220.01895
2019,48.31,50.69,56.81,51.56,68.06,67.94,74.19,67.19,58.12,47.94,51.06,45.44,12.48,11.62,11.45,13.44,11.38,11.58,13.53,15.45,15.72,13.81,14,12.87,19.37,18.61,14.15,10.42,6.95,5.82,6.22,8.45,12.08,15.88,18.98,20.34,0.56,0.52,0.37,0.23,0.12,0.08,0.09,0.13,0.23,0.36,0.49,0.58,240.3438631,380.4086207,321.6158621,298.0075862,205.7234483,138.9427586,96.5437931,108.0262069,151.7372414,214.0641379,286.5827586,328.8751724,356.6814286,30.7,27.28,25.57,21.23,15.39,11.98,13.16,12.68,17.74,22.7,23.07,29.51,4.4,1.92,7.1,3.23,18.92,12.69,6.59,6.61,8.58,2.47,5.35,4.45,1820.819,3024.524,319.79942,872.908,1614.987,299.52096,115.379,140.275,383.80888
