Year,WA_Jan_humidity,WA_Feb_humidity,WA_Mar_humidity,WA_Apr_humidity,WA_May_humidity,WA_Jun_humidity,WA_Jul_humidity,WA_Aug_humidity,WA_Sep_humidity,WA_Oct_humidity,WA_Nov_humidity,WA_Dec_humidity,WA_Jan_wind,WA_Feb_wind,WA_Mar_wind,WA_Apr_wind,WA_May_wind,WA_Jun_wind,WA_Jul_wind,WA_Aug_wind,WA_Sep_wind,WA_Oct_wind,WA_Nov_wind,WA_Dec_wind,WA_Jan_uva,WA_Feb_uva,WA_Mar_uva,WA_Apr_uva,WA_May_uva,WA_Jun_uva,WA_Jul_uva,WA_Aug_uva,WA_Sep_uva,WA_Oct_uva,WA_Nov_uva,WA_Dec_uva,WA_Jan_uvb,WA_Feb_uvb,WA_Mar_uvb,WA_Apr_uvb,WA_May_uvb,WA_Jun_uvb,WA_Jul_uvb,WA_Aug_uvb,WA_Sep_uvb,WA_Oct_uvb,WA_Nov_uvb,WA_Dec_uvb,WA_Jan_eva,WA_Feb_eva,WA_Mar_eva,WA_Apr_eva,WA_May_eva,WA_Jun_eva,WA_Jul_eva,WA_Aug_eva,WA_Sep_eva,WA_Oct_eva,WA_Nov_eva,WA_Dec_eva,WA_Jan_temp,WA_Feb_temp,WA_Mar_temp,WA_Apr_temp,WA_May_temp,WA_Jun_temp,WA_Jul_temp,WA_Aug_temp,WA_Sep_temp,WA_Oct_temp,WA_Nov_temp,WA_Dec_temp,WA_Jan_rain,WA_Feb_rain,WA_Mar_rain,WA_Apr_rain,WA_May_rain,WA_Jun_rain,WA_Jul_rain,WA_Aug_rain,WA_Sep_rain,WA_Oct_rain,WA_Nov_rain,WA_Dec_rain,WA_Wheat_Area,WA_Wheat_Production,WA_wheat_price,WA_Barley_Area,WA_Barley_Production,WA_Barley_Price,WA_Oats_Area,WA_Oats_Production,WA_Oats_Production,WA_Rice_Area,WA_Rice_Production,WA_Rice_Price,WA_Corn (maize)_Area,WA_Corn (maize)_Production, WA_Corn (maize)_Price 
2000,60.75,57.38,64,64.94,74.31,79,87.56,86.31,85.75,79.69,67.81,57.5,11.27,10.26,10.36,11.6,11.37,13.67,11.81,11.41,11.58,10.25,11.56,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.59,240.61,193.96,150.23,146.42,123.84,118.23,148.44,213.52,263.13,302.31,346.98,26.97,27.46,25.31,22.23,16.98,15.1,16.04,16.04,21.04,23.08,26.05,28.45,117.2,126.02,183.77,57.04,7.59,8.36,15.53,13.92,5.3,15.25,18.87,48.01,4556.2,9004.1,0,550.133,1117.271,0,199.431,438.667,0,0,0,0,0.045,0.448,0
2001,55.56,54.12,57.94,62.19,80,85.25,81.62,84.62,84.31,78.25,66.44,65.88,10.1,9.85,9.05,10.7,13.92,9.89,11.32,12.66,12.8,9.8,10.91,10.94,19.62,17.16,14.39,9.92,6.85,5.7,6.19,7.56,9.97,13.91,16.64,18.91,0.58,0.5,0.38,0.22,0.12,0.09,0.09,0.13,0.2,0.3,0.41,0.51,317.45,235.55,237.03,209.81,144.53,120.22,119.52,166.24,204.92,242.46,297.83,307.12,29.39,27,24.9,23.34,18.99,15.88,15.52,16.79,19.96,21.59,25.54,26.35,71.3,137.72,81.5,9.25,21.21,14.17,29.12,11.64,11.42,21.26,24.59,53.15,4460.3,5814.4,0,982.921,1358.391,0,248.253,316.993,0,0,0,0,0.349,0.274,0
2002,55.44,53.31,58.38,71,78.94,84.44,86.06,87.19,84.12,82.38,72.38,54.56,12.66,11.52,9.37,9.58,12.62,13.07,12.66,12.2,14.88,15.25,11.38,10.49,19.58,16.94,13.9,9.55,7.25,5.46,5.85,7.83,10.99,13.53,18.96,19.21,0.55,0.48,0.37,0.21,0.13,0.09,0.09,0.14,0.23,0.32,0.49,0.52,325.6,259.12,275.96,220.09,180.77,140.7,148.47,179.58,233.74,321.53,329.02,352.18,28.3,26.47,26.97,24.71,21.35,16.16,15.93,16.96,20.09,24.55,27.18,28.65,39.46,123.36,20.18,13.5,10.76,13.88,9.92,8.56,5.52,5.13,21.97,38.13,4349.9,7759.9,238.36647,1087.539,2262.831,180.65865,286.63,556.89,160.5344,0,0,0,0,0.024,0
2003,49.56,60.06,60.5,72.12,73.06,81.38,87.81,86.31,84.88,83.12,74.12,62.94,10.45,12.47,12.27,11.98,11.55,12.94,11.8,14.55,13.46,10.34,10.59,14.02,20.3,16.71,14.09,9.23,7.2,5.7,5.62,8,10.74,14.18,18.24,20.87,0.58,0.48,0.38,0.21,0.13,0.08,0.08,0.12,0.21,0.31,0.45,0.57,375.9,287.27,291.42,205.3,178.77,133.53,143.28,164.49,220.25,307.15,314.49,350.23,29.16,28.95,26.76,24.07,20.25,16.3,15.97,16.79,20.21,22.81,26.59,28.33,60.56,73.22,41.87,29.98,14.89,20.02,11.35,21.58,13.61,6.24,31.79,47.09,4457.7,4046.9,232.30127,1140.058,1349.023,213.04307,313.857,476.728,192.7724,0,0,0,0.043,0.41,243.90244
2004,56.56,56.31,57.81,66.12,75.69,86.06,87.44,86.94,82.75,79.88,70.06,54.81,9.88,10.41,10.27,10.12,16.78,12.75,15.22,13.09,10.7,14.81,11.21,9.86,20.4,17.64,14.86,9.88,6.89,5.38,6.01,7.84,11.2,14.96,16.69,21.04,0.59,0.52,0.39,0.23,0.12,0.09,0.09,0.14,0.23,0.36,0.43,0.58,327.06,259.7,260.79,198.7,142.58,113.75,120.37,166.28,213.52,300.49,317.77,381.14,29.08,28.33,26.03,23.71,18.55,16.79,15.41,15.95,19.28,25.31,26.16,29.03,53.95,111.51,79.95,26.11,36.9,18.89,26.35,10.76,8.33,8.48,19.4,25.1,4917,11070,195.70912,1278.016,3169.877,144.35891,343.897,751.532,118.69089,0,0,0,0.05,0.272,367.64706
2005,53.44,56.81,59.62,79.25,84.81,88.25,87.25,86.94,84.44,83.44,77,71.56,9.01,10.34,13.15,15.2,11.64,13.92,11.22,13,15.33,12.8,9.57,12.38,21.38,17.8,13.16,9.79,6.43,5.18,6.35,7.66,10.88,13.77,19.18,19.53,0.61,0.51,0.35,0.23,0.12,0.07,0.09,0.13,0.21,0.3,0.48,0.53,406.91,331.29,300.29,249.29,176.67,129.05,137.67,168.92,212.17,282.78,324.38,344.16,29.69,29.73,28.62,25.86,21.44,15.99,15.82,16.68,20.17,23.15,26.5,27.58,22.23,23.2,37.07,12.11,28.34,33.82,28.13,25.02,10.59,10.99,15.95,49.81,5118.3,8618.9,180.74232,1313.384,2489.194,163.82813,243.025,460.295,107.32248,0,0,0,0.209,1.448,414.36464
2006,62.06,56,59.5,74,73.75,76.44,82.38,85.88,82.31,75.38,66.19,52.62,9.27,11.11,10.75,9.1,9.19,12.85,11.39,14.71,12.56,12.7,11.55,9.98,17.8,18.14,14.81,9.35,7.21,6.08,6.16,7.94,11.11,15.1,17.47,20.8,0.53,0.52,0.39,0.21,0.13,0.09,0.1,0.16,0.23,0.37,0.47,0.59,293.2,253.67,269.69,179.96,157.74,130.91,129.82,188.38,213.91,284.22,323.54,350.73,27.64,27.14,26.54,21.97,18.51,14.81,14.53,18.6,20.99,25,28.11,28.16,146.9,74.91,90.61,35.69,6.21,4.3,15.5,8.39,12.91,19.82,16.99,38.08,4752.7,9088.1,194.54011,1128.979,2399.764,154.89023,270.6,591.349,151.01066,0,0,0,0.504,1.708,409.83607
2007,56.81,57.06,57.19,73.88,80.38,81.31,86.62,86.38,86.88,82.25,72.56,62.81,12.86,13.81,12.78,13.58,9.71,11.38,13.85,12.95,12.46,11.62,13.4,10.78,19.02,17.33,14.74,9.7,6.45,5.92,5.62,7.48,10.44,14.69,19.84,18.49,0.56,0.51,0.4,0.22,0.12,0.09,0.08,0.12,0.2,0.33,0.49,0.51,351.06,331.99,274.27,200.75,156.69,127.78,139.65,181.19,233.83,308.15,339.55,338.62,28.64,30.91,26.09,23.81,19.68,15.09,16.49,17.27,20.89,23.94,27.26,27.25,72.84,16.51,120.49,24.62,11.92,16.92,19.28,7.77,6.37,8.27,13.1,51.98,4037,5134.3,219.40674,1082.957,1808.41,228.76449,299.017,441.028,206.10936,0,0,0,0.727,1.243,402.25261
2008,56.06,55,61.62,73.81,85.31,85.19,87.56,83.44,84.31,81.94,79.06,71,10.7,10.42,12.62,10.13,10.82,13.34,12.84,9.29,12.39,12.99,10.9,13.01,19.77,17.42,14.11,9.8,6.54,5.92,5.7,8.89,11.02,13.55,16.25,19.95,0.58,0.5,0.38,0.22,0.12,0.09,0.09,0.16,0.23,0.32,0.41,0.56,391.1,274,286.52,218.81,177.86,134.94,144.74,183,229.21,310.61,284.31,323.98,30.42,27.71,27.46,23.62,20.02,16.36,15.45,15.89,20.87,24.65,24.91,27.65,35.23,98.07,40.32,19.91,5.61,21.22,21.2,8.76,11.57,13.08,43.76,66.61,4258.2,5820.2,391.98324,1380.935,2719.379,300.73897,396.82,839.516,238.24601,0,0,0,2,6,0
2009,58.56,55.56,60.94,64.88,67,87.12,87.44,88.69,84.81,82.5,77,60.06,9.66,13.26,12.44,9.66,13.79,11.98,12.3,13.55,12.84,12.9,10.39,10.3,19.73,17.45,13.85,10.98,7.73,5.23,6.3,7.81,10.73,14.25,17.75,21.08,0.59,0.52,0.37,0.24,0.13,0.08,0.09,0.14,0.2,0.33,0.46,0.59,371.02,282.58,275.05,219.22,169.76,123.86,133.39,164.44,223.13,297.25,297.89,364.86,29.89,28.92,26.91,24.09,18.85,16.19,15.74,18.31,19.85,24.32,27.3,29.05,77.63,59.14,32.27,11.2,9.67,24.36,17.99,10.28,10.71,5.56,20.68,44.77,4541.9,8274,284.74418,1558.808,3007.447,209.72938,294.937,568.278,177.304,0,0,0,0.286,2.114,329.65421
2010,51.56,56,59.81,72.5,76.69,82.56,85.31,83.19,78.31,65.19,55.44,58.06,10.72,10.44,11.32,10.71,10.5,8.52,12.16,10.37,11.45,11.37,8.95,11.38,20.48,17.6,13.47,9.71,7.09,5.77,6.12,8.08,11.69,15.71,17.88,19.1,0.6,0.5,0.36,0.22,0.12,0.08,0.09,0.14,0.23,0.35,0.45,0.53,331.31,305.08,292.06,217.44,154.13,129.73,126.36,155.79,202.74,281.79,317.82,319.2,30.06,30.1,27.91,25.24,19.65,16.55,15.54,16.73,18.99,23.24,26.84,28.11,46.15,27.69,26.4,19.91,31.49,11.08,31.26,17.37,25.17,24.42,14.44,57.72,5005.9,8114.1,206.61564,1419.759,2553.729,158.3175,263.274,493.253,128.93992,0,0,0,1,4,0
2011,57.56,59.75,58.12,66,78.38,81.62,87.75,84.69,83.56,81.81,72.69,63.38,9.41,10.07,10.66,10.31,10.1,13.14,13.5,13.45,10.57,9.81,12.02,10.8,19.3,17.96,14.9,10.55,7.03,5.42,5.85,8.36,11.2,13.87,17.16,18.05,0.59,0.52,0.39,0.24,0.12,0.08,0.08,0.15,0.23,0.3,0.44,0.49,311,213.19,223.56,192.12,140.4,108.98,118.62,166.04,212.53,253.69,283.62,307.13,29.79,27.48,25.71,23.38,18.16,15.45,16.16,17.65,19.35,23.55,25.59,28.16,96.23,150.35,99.87,39.19,15.68,22.1,26.12,12.87,8.04,36.02,42.51,47.14,4639.5,5004.6,260.95992,1101.075,1548.587,194.75819,254.86,283.297,157.43195,0.221,2.208,0,0.233,1.627,245.85126
2012,53.5,58.19,52.31,65.75,75.44,82.69,84.38,83.25,81.62,74.88,68.94,59.94,11.27,9.69,10.24,12.28,13.73,13.82,9.01,11.9,14.7,11.8,15.16,11.07,19.85,16.65,14.97,9.54,6.98,5.26,6.25,8.1,11.47,15.03,17.6,19.37,0.58,0.48,0.39,0.21,0.12,0.08,0.09,0.13,0.23,0.34,0.45,0.54,280.96,295.99,237.61,197.43,172.58,126.15,140.73,171.57,236.49,299.95,300.8,297.61,28.04,28.21,25.75,23.58,18.92,15.81,14.45,17.72,21.07,24.9,26.86,28.8,106.52,40.48,79.69,9.1,5.88,21.56,6.41,6.88,7.45,7.31,35.5,56.92,5155.761,11045.107,240.35983,1246.313,2761.114,235.48466,287.544,661.965,194.27009,0.084,0.09,0,0.308,2.292,261.7801
2013,54.31,51.12,66,70.75,83.31,87.12,86.25,88.88,85.69,82.44,72.81,59.62,12.68,10.32,9.95,7.48,12.34,10.46,14.84,15.27,14.49,10.65,11.2,9.41,20.05,18.25,12.46,9.05,6.59,5.84,5.95,7.41,10.29,15.22,18.05,20.45,0.59,0.5,0.33,0.21,0.12,0.09,0.09,0.14,0.22,0.38,0.47,0.58,368.02,302.96,234.23,203.34,147.05,96.64,128.58,170.67,225.34,301.11,305.9,311.63,29.98,29.14,27.05,25.38,19.83,16.13,15.71,18.15,21.11,24.94,27.05,28.36,56.75,66.31,54.37,14.45,41.47,37.95,16.7,10.53,16.03,9.62,24.53,53.34,4909.209,6744.055,303.54586,1215.047,2251.68,262.37742,258.172,502.281,233.11652,0,0,0,1,3,236.66667
2014,52.94,52.69,61.56,66.5,84.88,84.81,88.75,85.75,85,81.81,74.81,60.19,10.45,9.34,11.88,10.6,11.27,14.17,12.3,10.24,12.97,9.84,11.34,10.82,20.91,18.95,13.91,10.27,6.01,5.5,5.83,8.05,11.02,14.93,17.78,20.73,0.62,0.55,0.36,0.23,0.11,0.09,0.09,0.14,0.22,0.35,0.45,0.56,317.3,262.82,281.23,184.84,140.35,131.25,133.48,185.03,237.12,311.87,308.04,352.48,28.88,28.01,27.87,23.88,20.36,15.76,15.28,17.74,21.69,25.6,27.14,28.72,116.24,77.92,15.12,32.03,33.1,7.31,20.75,6.59,10.06,12.98,31.08,37.67,5114.891,9976.941,306.4306,1257.903,3555.662,260.29752,259.814,661.401,186.73997,0,0,0,0.504,4.923,257.97278
2015,50.5,54.5,63.62,72.56,80.31,85.56,86.62,85.75,79.19,74.12,62.19,54.69,10.12,9.56,10.54,9.03,9.74,11.19,11.05,9.87,11.99,12.19,11.8,9.86,20.77,17.41,13.95,9.48,6.86,5.59,5.89,7.76,11.91,15.2,18.66,20.43,0.6,0.49,0.36,0.22,0.12,0.09,0.09,0.14,0.26,0.36,0.48,0.57,327.15,328.61,262.48,177.41,148.45,122.96,129.72,165.67,230.35,296.49,310.76,393.15,29.37,30.7,26.88,22.36,18.24,17.35,15.93,17.62,20.4,26.42,27.87,28.82,71.93,32.41,72.33,27.32,24.29,14.2,17.76,16.77,3.38,9.91,24.48,37.94,5038.134,8824.41,287.55216,1308.458,3192.452,258.38494,233.23,557.595,222.71687,0.026,0.155,0,0.556,6.612,257.50931
2016,58.06,57.12,65.38,75.56,80.06,85.69,85.31,85.12,83.06,78.25,65.12,57.69,11.59,9.41,10.98,10.66,15.65,11.05,12.72,12.74,12.37,15.33,9.87,11.22,17.52,18.29,13.08,8.62,6.88,5.55,6.17,7.88,11.02,14.65,19.3,20.76,0.51,0.52,0.34,0.2,0.13,0.08,0.09,0.14,0.22,0.35,0.51,0.59,316.03,325.95,268.86,220.11,153.99,105.57,120.78,164.26,201.81,289.28,341.45,331.92,28.92,28.89,28.18,24.92,20.08,16.65,15.77,16.83,19.15,23.43,27.06,27.98,69.41,35.96,48.75,11.35,38.18,37.63,31.38,19.07,7.52,9.23,14.94,87.72,4615.761,8510.577,272.09597,1383.931,3247.933,234.21594,299.755,601.41,291.59464,0.003,0,0,0.32,4.18,280.19785
2017,51.19,62.19,65.19,70.75,76.62,74.38,84.5,85.62,81.94,75.38,60,56.88,12.17,10.78,14.54,8.59,10.06,11.22,13.34,12.76,14.07,15.03,8.69,14.95,21.15,16.8,13.47,10.49,7.02,5.66,5.62,7.97,10.83,14.88,18.52,20.52,0.64,0.48,0.36,0.23,0.12,0.09,0.08,0.13,0.2,0.34,0.47,0.57,303.86,234.99,268.26,182,150.11,130.55,141.66,175.6,235.46,277.24,310.64,364.91,28.36,27.59,27.36,23.3,19.4,16.49,16.37,17.84,20.64,24.45,27.07,28.68,130.94,111.22,67.23,23.18,6.8,7.79,10.76,17.34,11.57,17.95,21.1,46.67,4677.774,9644.881,234.59601,1693.705,4119.831,188.79439,402.883,1035.754,190.38986,0,0,0,1.71,16.525,305.87994
2018,56.5,57.31,61,68.38,64.5,81,84.5,85.56,82.5,77.75,66.19,57.94,13.19,10.12,11.6,11.77,15.55,16.29,12.43,12.66,11.24,10.97,9.92,9.09,20.39,17.61,13.98,9.74,7.41,5.5,6.01,8.02,11.16,13.93,17.66,20.31,0.6,0.51,0.38,0.23,0.12,0.08,0.09,0.13,0.22,0.31,0.44,0.57,309.46,224.81,284.94,209.24,186.72,130.5,141.34,166.15,224.22,274.57,301.02,,28.85,27.8,28.03,25.33,19.42,16.19,16.41,16.05,20.46,24.52,26.39,29.44,122.24,90.97,21.05,7.34,6.97,24.56,13.18,15.74,2.96,17.75,25.75,22.34,4056.574,7698.552,258.22007,1531.074,3774.555,237.8242,306.385,697.234,187.26118,0.003,0.036,0,1.537,18.389,300.38555
2019,54,55,63,66.06,71.12,76.5,86.25,80.44,79.44,71.94,59.06,48.38,14.88,10.84,10.38,11.73,10.59,12.97,11.61,12.06,13.84,14.31,9.81,12.33,20.73,18.65,13.37,10.49,7.41,5.47,5.97,8.56,11.77,15.15,20.01,21.18,0.6,0.52,0.35,0.23,0.12,0.07,0.08,0.14,0.23,0.35,0.52,0.6,,,,,,,,,,,,,30.22,30.26,28.91,24.53,19.42,16.24,16.64,17.37,21.34,25.97,27.67,31.3,34.63,20.1,29.82,16.96,4.29,22.37,7.69,10.5,3.22,5.14,5.49,17.33,4369.2,9979.22,317.23959,1897.361,4798.004,338.65893,315.929,687.05,332.2313,0,0,0,2.174,25.443,397.53362
2020,54.31,56.81,63.62,70.62,77.12,81.81,86.12,84.81,82.88,74.19,66.94,52.75,9.77,11.09,10.84,12.51,17.16,14.03,12.8,14.5,13.42,11.12,11.89,12.2,20.68,16.52,13.29,9.83,7.11,5.59,6.48,8.59,11.24,15.55,16.88,21.27,0.59,0.47,0.34,0.21,0.12,0.09,0.09,0.14,0.22,0.37,0.45,0.6,,,,,,,,,,,,,29.07,29.27,27.83,25.69,18.79,17.42,16.56,18.23,22.08,24.32,27.49,27.75,90.19,58.8,33.92,7.21,20.69,9.15,9.28,16.21,6.61,9.53,24.17,88.1,4132.709,5842.187,322.86355,1906.858,3996.15,300.2537,298.52,643.167,345.59254,0,0,0,4.984,56.038,412.71771
